event_type_id,event_type,description,dataset_name,type,action,change_type
50331649,Initial Agent Registration,A new agent has registered with the system.,endpoint,,,
553648130,Policy Update,An agent has been told to fetch policy.,alert,event,,
554696714,Scan Started,An agent has started scanning.,alert,event,,
554696715,"Scan Completed, No Detections",A scan has completed without detecting anything malicious.,alert,alert,,
1091567628,Scan Completed*,A scan has completed and detected malicious items.,malware_attack,,unknown,
2165309453,Scan Failed,"A scan has been attempted, and failed to run.",alert,alarm,,
1090519054,*Detect*,A threat was found on this system.,malware_attack,,allowed,
553648143,Threat Quarantined,A threat was successfully quarantined.,malware_operations,,blocked,
2164260880,Quarantine Failure,A detected threat was not successfully quarantined.,malware_operations,,deferred,
570425394,Quarantine Restore Requested,A request has been made to move a file from Quarantine back to its original location.,alert,alert,,file
553648149,Quarantined Item Restored,An item has been pulled restored from Quarantine to its original location.,change,,modified,file
2164260884,Quarantine Restore Failed,An item requested to be restored to its original location could not be restored.,malware_operations,,blocked,
2181038130,Quarantine Request Failed to be Delivered,A request to restore an item from quarantine was not successfully sent.,alert,alert,,
553648154,Retrospective Restore from Quarantine,A retrospective restore was completed successfully.,malware_operations,,allowed,
553648155,Retrospective Quarantine*,A retrospective quarantine was completed successfully.,malware_operations,,blocked,
2164260892,Retrospective Restore from Quarantine Failed,A retrospective restore was attemped and failed. Most likely the original location no longer exists.,malware_operations,,blocked,
2164260893,Retrospective Quarantine*,A retrospective quarantine was attemped and failed. Most likely the original location no longer exists.,malware_operations,,blocked,
553648158,Install Started,An installation has begun.,alert,event,,
2164260895,Install Failure,An installation has failed.,alert,event,,
553648166,Uninstall,,alert,event,,
2164260903,Uninstall Failure,,alert,event,,
1003,Email Confirmation,Sent when a user account gets created.,system_log,,,
1004,Forgotten Password Reset,Sent when a user forgets password.,system_log,,,
1005,Password Has Been Reset,Sent when a user has reset his password.,system_log,,,
2164260866,Policy Update Failure,"A policy update failed, and the policy was not successfully applied.",system_log,,,
2001,Report Created,A report has been successfully created,system_log,,,
1006,translation missing: en.event_types.db_constants.agent_invite,Invite a person to install agent.,unknown,,,
553648146,Retrospective Restore of False Positive,A file once thought to be malicious has been marked as clean and restored.,malware_operations,,allowed,
553648147,Retrospective*,A file once thought to be clean has been marked malicious.,malware_attack,,,
553648168,Execution Blocked,Execution of an application was blocked.,malware_attack,,blocked,
553648150,Quarantine Restore Started,The restoring of a file from Quarantine was attempted.,malware_operations,,deferred,
570425396,Application Registered,An Application was registered.,endpoint,,,
570425397,Application Deregistered,An Application was deregistered.,endpoint,,,
570425398,Application Authorized,An Application authorized to access a portion of the API.,endpoint,,,
570425399,Application Deauthorized,An Application authorized to access a portion of the API.,endpoint,,,
1090524040,APK Threat*,A threat was found on this system.,malware_attack,,allowed,
1090524041,APK Custom*,An apk matching an Android Simple Custom Detection was found on this system.,malware_attack,,allowed,
1090519081,Rootkit*,A threat was found hidden on this system.,malware_attack,,allowed,
1090519084,DFC Threat*,A connection has been detected by DFC.,intrusion_detection,,allowed,
553648135,Product Update Started,A product update has begun.,alert,event,,
553648136,Product Update Completed,A product update has successfully completed,alert,event,,
553648137,Product Update Failed,A product update has failed.,alert,alarm,,
1107296261,Adobe Reader*,A suspicious portable executable file was downloaded and executed by Adobe Reader.,malware_attack,,allowed,
1107296262,Microsoft Word*,A suspicious portable executable file was downloaded and executed by Microsoft Word.,malware_attack,,allowed,
1107296263,Microsoft Excel*,A suspicious portable executable file was downloaded and executed by Microsoft Excel.,malware_attack,,allowed,
1107296264,Microsoft PowerPoint*,A suspicious portable executable file was downloaded and executed by Microsoft PowerPoint.,malware_attack,,allowed,
1107296266,Adobe Reader*,"Adobe Reader executed an unknown application, which in turn launched a command shell.",malware_attack,,allowed,
1107296267,Microsoft Word*,"Microsoft Word executed an unknown application, which in turn launched a command shell.",malware_attack,,allowed,
1107296268,Microsoft Excel*,"Microsoft Excel executed an unknown application, which in turn launched a command shell.",malware_attack,,allowed,
1107296269,Microsoft PowerPoint*,"Microsoft PowerPoint executed an unknown application, which in turn launched a command shell.",malware_attack,,allowed,
1107296270,Apple QuickTime*,A suspicious portable executable file was downloaded and executed by Apple QuickTime.,malware_attack,,allowed,
1107296271,Apple QuickTime*,"Apple QuickTime executed an unknown application, which in turn launched a command shell.",malware_attack,,allowed,
1107296272,Executed malware,The computer executed known malware,malware_attack,,allowed,
1107296273,Suspected botnet*,The computer made outbound connections to suspected botnet command and control systems.,malware_attack,,allowed,
553648170,Reboot Pending,An agent has started the reboot process,endpoint,,,
553648171,Reboot Completed,An agent has completed its reboot,endpoint,,,
1107296274,Cloud IOC,Suspicious behavior that indicates possible compromise of the computer,malware_attack,,allowed,
1107296275,Microsoft Calculator*,A suspicious portable executable file was downloaded and executed by Microsoft Calculator.,malware_attack,,allowed,
1107296276,Microsoft Notepad*,A suspicious portable executable file was downloaded and executed by Microsoft Notepad.,malware_attack,,allowed,
553648173,File Fetch Completed,The request for a remote file was successful,malware_operations,,allowed,
2164260910,File Fetch Failed,The request for a remote file failed,malware_operations,,blocked,
554696756,Endpoint IOC Scan Started,Endpoint IOC Scan Started,alert,event,,
