category,new_category,new_nth_minute,reset_count
daily,daily,-1,24
hourly,hourly,-1,8
hourly on specific hours,hourly on specific hours,-1,8
every minute,every 5 minutes,5,4
every 2 minutes,every 5 minutes,5,4
every 3 minutes,every 5 minutes,5,4
every 4 minutes,every 5 minutes,5,4
every 5 minutes,every 5 minutes,5,4
every 6 minutes,every 5 minutes,5,4
every 7 minutes,every 5 minutes,5,4
every 8 minutes,every 5 minutes,5,4
every 9 minutes,every 10 minutes,10,4
every 10 minutes,every 10 minutes,10,4
every 11 minutes,every 10 minutes,10,4
every 12 minutes,every 10 minutes,10,4
every 13 minutes,every 10 minutes,10,4
every 14 minutes,every 15 minutes,15,4
every 15 minutes,every 15 minutes,15,4
every 16 minutes,every 15 minutes,15,4
every 17 minutes,every 15 minutes,15,4
every 18 minutes,every 15 minutes,15,4
every 19 minutes,every 20 minutes,20,4
every 20 minutes,every 20 minutes,20,4
every 21 minutes,every 20 minutes,20,4
every 22 minutes,every 20 minutes,20,4
every 23 minutes,every 20 minutes,20,4
every 24 minutes,every 25 minutes,25,4
every 25 minutes,every 25 minutes,25,4
every 26 minutes,every 25 minutes,25,4
every 27 minutes,every 25 minutes,25,4
every 28 minutes,every 25 minutes,25,4
every 29 minutes,every 30 minutes,30,8
every 30 minutes,every 30 minutes,30,8
every 31 minutes,every 30 minutes,30,8
every 32 minutes,every 30 minutes,30,8
every 33 minutes,every 30 minutes,30,8
every 34 minutes,every 30 minutes,30,8
every 35 minutes,every 30 minutes,30,8
every 36 minutes,every 30 minutes,30,8
every 37 minutes,every 30 minutes,30,8
every 38 minutes,every 30 minutes,30,8
every 39 minutes,every 30 minutes,30,8
every 40 minutes,every 40 minutes,40,8
every 41 minutes,every 40 minutes,40,8
every 42 minutes,every 40 minutes,40,8
every 43 minutes,every 40 minutes,40,8
every 44 minutes,every 40 minutes,40,8
every 45 minutes,every 40 minutes,40,8
every 46 minutes,every 40 minutes,40,8
every 47 minutes,every 40 minutes,40,8
every 48 minutes,every 40 minutes,40,8
every 49 minutes,every 40 minutes,40,8
every 50 minutes,every 50 minutes,50,8
every 51 minutes,every 50 minutes,50,8
every 52 minutes,every 50 minutes,50,8
every 53 minutes,every 50 minutes,50,8
every 54 minutes,every 50 minutes,50,8
every 55 minutes,every 50 minutes,50,8
every 56 minutes,every 50 minutes,50,8
every 57 minutes,every 50 minutes,50,8
every 58 minutes,every 50 minutes,50,8
every 59 minutes,every 50 minutes,50,8
