category,signature_id,signature,severity_id,severity
user,1000,Logged In.,0,informational
user,1001,Changed account password.,1,low
user,1002,Enabled/updated two-step login.,0,informational
user,1003,Disabled two-step login.,3,high
user,1004,Recovered account from two-step login.,1,informational
user,1005,Login attempted failed with incorrect password.,0,informational
user,1006,Login attempt failed with incorrect two-step login.,0,informational
user,1007,User exported their individual vault items.,3,high
user,1008,User updated a password issued through Admin Password Reset.,0,informational
user,1009,User migrated their decryption key with Key Connector.,0,informational
item,1100,Created item.,0,informational
item,1101,Edited item.,0,informational
item,1102,Permanently Deleted item.,1,low
item,1103,Created attachment for item.,0,informational
item,1104,Deleted attachment for item.,1,low
item,1105,Shared item.,2,medium
item,1106,Edited collections for item.,0,informational
item,1107,Viewed item.,0,informational
item,1108,Viewed password for item.,0,informational
item,1109,Viewed hidden field for item.,0,informational
item,1110,Viewed security code for item.,0,informational
item,1111,Copied password for item.,,
item,1112,Copied hidden field for item.,,
item,1113,Copied security code for item.,,
item,1114,Auto-filled item.,,
item,1115,Sent item to trash.,,
item,1116,Restored item.,,
item,1117,Viewed Card Number for item.,,
collection,1300,Created collection.,,
collection,1301,Edited collection.,,
collection,1302,Deleted collection.,,
group,1400,Created group.,,
group,1401,Edited group.,,
group,1402,Deleted group.,,
organization,1500,Invited user.,,
organization,1501,Confirmed user.,,
organization,1502,Edited user.,,
organization,1503,Removed user.,,
organization,1504,Edited groups for user.,,
organization,1505,"Unlinked SSO. ",,
organization,1506,"User enrolled in Master Password Reset. ",,
organization,1507,User withdrew from Master Password Reset.,,
organization,1508,Master Password was reset for user.,,
organization,1509,Reset SSO link for user,,
organization,1510,User logged in using SSO for the first time.,,
organization,1600,Edited organization settings.,,
organization,1601,Purged organization vault.,,
organization,1603,Organization Vault access by a managing Provider.,,
organization,1604,Organization enabled SSO.,,
organization,1605,Organization disabled SSO.,,
organization,1606,Organization enabled Key Connector.,,
organization,1607,Organization disabled Key Connector.,,
organization,1608,Families Sponsorships synced.,,
organization,1700,Updated a Policy.,,
