url,version,category,resolveddate,spl,description
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Search issues,2017-08-02,"SPL-143374, SPL-142497","Consecutive calls to random() return repeating values in a predictable pattern.
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Search issues,2017-07-21,"SPL-128845, SPL-131106, SPL-131108, SPL-145346","Distributed Search: Deployment -- inaccurate Average/Max Time to Reap Dispatch Directory value
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Search issues,2017-07-06,"SPL-142199, SPL-141751","Sparkline fails to render for the panel which was in hidden state previously
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0," Saved search, alerting, scheduling, and job management issues",2017-08-17,"SPL-142383, SPL-142225","Cron schedules involving ranges for months or days of months are off by one
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0," Saved search, alerting, scheduling, and job management issues",2017-07-27,"SPL-141888, SPL-141823","SearchParser Errors for Datamodel Acceleration prevents other scheduled searches from being executed
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Indexer and indexer clustering issues,2017-08-08,"SPL-143351, SPL-141985","Could not bind to port IPv4 port
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Monitoring Console/DMC issues,2017-08-17,"SPL-142793, SPL-142474","DMC Alert - Search Peer Not Responding does not trigger
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Monitoring Console/DMC issues,2017-07-21,"SPL-128845, SPL-131106, SPL-131108, SPL-145346","Distributed Search: Deployment -- inaccurate Average/Max Time to Reap Dispatch Directory value
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Monitoring Console/DMC issues,2017-04-25,SPL-138223,"Install log not showing operations until explicit refresh of page.
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Splunk Web and interface issues,2017-08-02,"SPL-143374, SPL-142497","Consecutive calls to random() return repeating values in a predictable pattern.
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Splunk Web and interface issues,2017-07-21,"SPL-128845, SPL-131106, SPL-131108, SPL-145346","Distributed Search: Deployment -- inaccurate Average/Max Time to Reap Dispatch Directory value
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Splunk Web and interface issues,2017-07-06,"SPL-142199, SPL-141751","Sparkline fails to render for the panel which was in hidden state previously
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0," Rest, Simple XML, and Advanced XML issues",2017-08-17,"SPL-141908, SPL-141538","HandleJobsDataProvider logs warning for failure to save search history for user=nobody.
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Admin and CLI issues,2017-08-11,SPL-132078,"Running jobs should not be marked as expired
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Admin and CLI issues,2017-06-27,SPL-135005,"Datamodel Editor: Empties out non-visible internal field (i.e. comment)
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Uncategorized issues,2017-08-17,"SPL-141329, SPL-140865","Unactionable error message when Splunk fails to move a file: renameTo failed in 1 attempt(s)... .
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Uncategorized issues,2017-08-17,"SPL-143409, SPL-142724","Exact floating point calculations in eval may produce incorrect arithmetic groupings with search optimization enabled.
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Uncategorized issues,2017-07-27,"SPL-143002, SPL-141947","Splunk does not work with Internet Explorer version 11 in Compatibility Mode
"
https://docs.splunk.com/Documentation/Splunk/7.0.0/ReleaseNotes/Fixedissues,7.0.0, Uncategorized issues,2017-06-01,"SPL-136707, SPL-134891","The trellis.enabled option is not supported for single value visualizations in splunk.js
"
https://docs.splunk.com/Documentation/Splunk/7.0.1/ReleaseNotes/Fixedissues,7.0.1, Authentication and authorization issues,2017-10-30,"SPL-143916, SPL-141681","Custom web.conf:root_endpoint may cause SAML authentication to fail.
"
https://docs.splunk.com/Documentation/Splunk/7.0.1/ReleaseNotes/Fixedissues,7.0.1, Data input issues,2017-11-17,"SPL-145978, SPL-142334","logs are delayed in reading after rotation
"
https://docs.splunk.com/Documentation/Splunk/7.0.1/ReleaseNotes/Fixedissues,7.0.1, Data input issues,2017-10-20,"SPL-144797, SPL-133461","Compressed files are deleted from sinkhole even if decompression fails
"
https://docs.splunk.com/Documentation/Splunk/7.0.1/ReleaseNotes/Fixedissues,7.0.1, Search issues,2017-11-15,"SPL-146174, SPL-145252","Column sorting does not work on search and report page if the field contains a whitespace
"
