_time,host,oid,value
2023-08-15 15:47:04+00:00,router01,.1.3.6.1.2.1.4.20.1.2.127.0.0.1,1
2023-08-15 15:47:04+00:00,router01,.1.3.6.1.2.1.4.20.1.2.192.0.2.1,2
2023-08-15 15:47:04+00:00,router01,.1.3.6.1.2.1.4.20.1.2.203.0.113.2,3
2023-08-15 15:47:04+00:00,router01,.1.3.6.1.2.1.4.20.1.3.127.0.0.1,255.0.0.0
2023-08-15 15:47:04+00:00,router01,.1.3.6.1.2.1.4.20.1.3.192.0.2.1,255.255.255.240
2023-08-15 15:47:04+00:00,router01,.1.3.6.1.2.1.4.20.1.3.203.0.113.2,255.255.255.248
2023-08-15 15:47:05+00:00,router01,.1.3.6.1.2.1.31.1.1.1.6.1,2180938304
2023-08-15 15:47:05+00:00,router01,.1.3.6.1.2.1.31.1.1.1.6.2,3603440779
2023-08-15 15:47:05+00:00,router01,.1.3.6.1.2.1.31.1.1.1.6.3,1600938779
2023-08-15 15:47:05+00:00,router01,.1.3.6.1.2.1.31.1.1.1.10.1,3180938304
2023-08-15 15:47:05+00:00,router01,.1.3.6.1.2.1.31.1.1.1.10.2,541668804
2023-08-15 15:47:05+00:00,router01,.1.3.6.1.2.1.31.1.1.1.10.3,141668804
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.4.20.1.2.127.0.0.1,1
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.4.20.1.2.192.0.2.2,2
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.4.20.1.2.203.0.113.10,3
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.4.20.1.3.127.0.0.1,255.0.0.0
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.4.20.1.3.192.0.2.2,255.255.255.240
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.4.20.1.3.203.0.113.10,255.255.255.248
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.31.1.1.1.6.1,3180938304
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.31.1.1.1.6.2,4603440779
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.31.1.1.1.6.3,5600938779
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.31.1.1.1.10.1,6180938304
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.31.1.1.1.10.2,741668804
2023-08-15 15:47:05+00:00,router02,.1.3.6.1.2.1.31.1.1.1.10.3,841668804
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.4.20.1.2.127.0.0.1,1
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.4.20.1.2.192.0.2.3,2
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.4.20.1.2.198.51.100.3,3
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.4.20.1.3.127.0.0.1,255.0.0.0
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.4.20.1.3.192.0.2.3,255.255.255.240
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.4.20.1.3.198.51.100.3,255.255.255.240
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.31.1.1.1.6.1,9180938304
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.31.1.1.1.6.2,13603440779
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.31.1.1.1.6.3,21600938779
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.31.1.1.1.10.1,32180938304
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.31.1.1.1.10.2,4541668804
2023-08-15 15:47:05+00:00,server01,.1.3.6.1.2.1.31.1.1.1.10.3,5141668804
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.4.20.1.2.127.0.0.1,1
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.4.20.1.2.192.0.2.4,2
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.4.20.1.2.198.51.100.4,3
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.4.20.1.3.127.0.0.1,255.0.0.0
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.4.20.1.3.192.0.2.4,255.255.255.240
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.4.20.1.3.198.51.100.4,255.255.255.240
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.31.1.1.1.6.1,62180938304
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.31.1.1.1.6.2,73603440779
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.31.1.1.1.6.3,81600938779
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.31.1.1.1.10.1,92180938304
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.31.1.1.1.10.2,10541668804
2023-08-15 15:47:05+00:00,server02,.1.3.6.1.2.1.31.1.1.1.10.3,11141668804
2023-08-15 15:47:05+00:00,database01,.1.3.6.1.2.1.4.20.1.2.127.0.0.1,1
2023-08-15 15:47:05+00:00,database01,.1.3.6.1.2.1.4.20.1.2.192.0.2.25,2
2023-08-15 15:47:05+00:00,database01,.1.3.6.1.2.1.4.20.1.2.198.51.100.5,3
2023-08-15 15:47:05+00:00,database01,.1.3.6.1.2.1.4.20.1.3.127.0.0.1,255.0.0.0
2023-08-15 15:47:05+00:00,database01,.1.3.6.1.2.1.4.20.1.3.192.0.2.25,255.255.255.240
2023-08-15 15:47:05+00:00,database01,.1.3.6.1.2.1.4.20.1.3.198.51.100.5,255.255.255.240
2023-08-15 15:47:06+00:00,database01,.1.3.6.1.2.1.31.1.1.1.6.1,122180938304
2023-08-15 15:47:06+00:00,database01,.1.3.6.1.2.1.31.1.1.1.6.2,133603440779
2023-08-15 15:47:06+00:00,database01,.1.3.6.1.2.1.31.1.1.1.6.3,141603938779
2023-08-15 15:47:06+00:00,database01,.1.3.6.1.2.1.31.1.1.1.10.1,152180938304
2023-08-15 15:47:06+00:00,database01,.1.3.6.1.2.1.31.1.1.1.10.2,16541668804
2023-08-15 15:47:06+00:00,database01,.1.3.6.1.2.1.31.1.1.1.10.3,17141668804
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.4.20.1.2.127.0.0.1,1
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.4.20.1.2.192.0.2.26,2
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.4.20.1.2.198.51.100.6,3
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.4.20.1.3.127.0.0.1,255.0.0.0
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.4.20.1.3.192.0.2.26,255.255.255.240
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.4.20.1.3.198.51.100.6,255.255.255.240
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.31.1.1.1.6.1,182180938304
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.31.1.1.1.6.2,193603440779
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.31.1.1.1.6.3,201603938779
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.31.1.1.1.10.1,212180938304
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.31.1.1.1.10.2,22541668804
2023-08-15 15:47:06+00:00,database02,.1.3.6.1.2.1.31.1.1.1.10.3,23141668804
