en,jp,symbol
Area,面積,
Data Transfer Rate,データ通信速度,
Digital Storage,データ容量,
Energy,エネルギー,
Frequency,周波数,
Fuel Economy,燃費,
Length,長さ,
Mass,重量,
Plane Angle,平面角,
Pressure,圧力,
Speed,速度,
Temperature,温度,
Time,時間,
Volume,体積,
formula,公式,
from,変換元,
to,変換先,
from_unit,変換元単位,
to_unit,変換先単位,
macro,マクロ,
category,カテゴリ,
Square killometer,平方キロメートル,km2
Square meter,平方メートル,m2
Square mile,平方マイル,sq mi
Square yard,平方ヤード,sq yd
Square foot,平方フィート,sq ft
Square inch,平方インチ,sq in
Hectare,ヘクタール,ha
Acre,エイカー,ac
Tsubo,坪,坪
Tatami mats,畳 (京間),畳
Bit per second,ビット毎秒,bps
Byte per second,バイト毎秒,B/s
Kilobit per second,キロビット毎秒,kbps
Kilobyte per second,キロバイト毎秒,KB/s
Kibibit per second,キビビット毎秒,KiBit/s
Kibibyte per second,キビバイト毎秒,KiB/s
Megabit per second,メガビット毎秒,Mbps
Megabyte per second,メガバイト毎秒,MB/s
Mebibit per second,メビビット毎秒,MiBit/s
Mebibyte per second,メビバイト毎秒,MiB/s
Gigabit per second,ギガビット毎秒,Gbps
Gigabyte per second,ギガバイト毎秒,GB/s
Gibibit per second,ギビビット毎秒,GiBit/s
Terabit per second,テラビット毎秒,Tbps
Terabyte per second,テラバイト毎秒,TB/s
Tebibit per second,テビビット毎秒,TiBit/s
Tebibyte per second,テビバイト毎秒,TiB/s
Bit,ビット,bit
Kilobit,キロビット,Kbit
Kibibit,キビビット,KiBit
Megabit,メガビット,Mbit
Mebibit,メビビット,MiBit
Gigabit,ギガビット,Gbit
Gibibit,ギビビット,GiBit
Terabit,テラビット,Tbit
Tebibit,テビビット,TiBit
Petabit,ペタビット,Pbit
Pebibit,ペビビット,PiBit
Byte,バイト,bytes
Kilobyte,キロバイト,KB
Kibibyte,キビバイト,KiB
Megabyte,メガバイト,MB
Mebibyte,メビバイト,MiB
Gigabyte,ギガバイト,GB
Gibibyte,ギビバイト,GiB
Terabyte,テラバイト,TB
Tebibyte,テビバイト,TiB
Petabyte,ペタバイト,PB
Pebibyte,ペビバイト,PiB
Joule,ジュール,J
Kilojoule,キロジュール,kJ
Gram calorie,グラムカロリー,cal
Kilocalorie,キロカロリー,kcal
Watt hour,ワット時,W-h
Kilowatt hour,キロワット時,kW-h
Electronvolt,電子ボルト,eV
British thermal unit,英熱量,Btu
US therm,米サーム,therm(US)
Foot-pound,フィート重量ポンド,ft lbf
Hertz,ヘルツ,Hz
Kilohertz,キロヘルツ,kHz
Megahertz,メガヘルツ,MHz
Gigahertz,ギガヘルツ,GHz
Miles per gallon,マイル毎ガロン (米),mpg (US)
Miles per gallon (imperial),マイル毎ガロン (英),mpg (Imp)
Kilometer per liter,キロメートル毎リットル,km/L
Liter per 100 kilometers,100キロメートル毎リッター,l/100km
Kilometer,キロメートル,km
Meter,メートル,m
Centimeter,センチメートル,cm
Millimeter,ミリメートル,mm
Micrometer,マイクロメートル,μm
Nanometer,ナノメートル,nm
Mile,マイル,mi
Yard,ヤード,yd
Foot,フィート,ft
Inch,インチ,in
Nautical mile,海里,nmi
Metric ton,トン,t
Kilogram,キログラム,kg
Gram,グラム,g
Milligram,ミリグラム,mg
Microgram,マイクログラム,μg
Imperial ton,英トン,long tn
US ton,米トン,sh tn
Stone,ストーン,st
Pound,ポンド,lb av
Ounce,オンス,oz av
Arcsecond,秒,″
Degree,度,°
Gradian,グラード,grad
Milliradian,ミル,μ
Minute of arc,分,′
Radian,ラジアン,rad
Bar,バール,bar
Pascal,パスカル,Pa
Pound-force per square inch,重量ポンド毎平方インチ,psi
Standard atmosphere,気圧,atm
Torr,トル,Torr
Mille per hour,マイル毎時,mph
Foot per second,フィート毎秒,fps
Meter per second,メートル毎秒,m/s
Kilometer per hour,キロメートル毎時,km/h
Knot,ノット,kn
Degree Celsius,摂氏,°C
Fahrenheit,華氏,°F
Kelvin,ケルビン,K
Nanosecond,ナノ秒,ns
Microsecond,マイクロ秒,μs
Millisecond,ミリ秒,ms
Second,秒,s
Minute,分,min
Hour,時間,h
Day,日,d
Week,週間,wk
Month,か月,mo
Calender year,年,y
Decade,十年紀,decade
Century,世紀,C
US liquid gallon,米液量ガロン,gal (US)
US liquid quart,米液量クォート,qt (US)
US liquid pint,米液量パイント,pt (US fl)
US legal cup,米国規格計量カップ,c (US)
US fluid ounce,米液量オンス,US fl oz
US tablespoon,米テーブルスプーン,tbsp (US)
US teaspoon,米ティースプーン,tsp (US)
Cubic meter,立方メートル,m3
Liter,リットル,l
Milliliter,ミリリットル,ml
Imperial gallon,英ガロン,gal (Imp)
Imperial quart,英クォート,qt (Imp)
Imperial pint,英パイント,pt (Imp)
Imperial cup,カップ (英),c (Imp)
Imperial fluid ounce,英液量オンス,fl oz (Imp)
Imperial tablespoon,英テーブルスプーン,tbsp (Imp)
Imperial teaspoon,英ティースプーン,tsp (Imp)
Cubic foot,立方フィート,cu ft
Cubic inch,立方インチ,cu in
