name,"name_en",iso_3166
Abruzzo,Abruzzo,IT-65
Basilicata,Basilicate,IT-77
Calabria,Calabria,IT-78
Campania,Campania,IT-72
"Emilia-Romagna","Emilia-Romagna",IT-45
"Friuli-Venezia Giulia","Friuli Venezia Giulia",IT-36
Lazio,Lazio,IT-62
Liguria,Liguria,IT-42
Lombardia,Lombardy,IT-25
Marche,"The Marches",IT-57
Molise,Molise,IT-67
Piemonte,Piedmont,IT-21
Puglia,Apulia,IT-75
Sardegna,Sardinia,IT-88
Sicilia,Sicily,IT-82
Toscana,Tuscany,IT-52
"Trentino-Alto Adige","Trentino-Alto Adige",IT-32
Umbria,Umbria,IT-55
"Valle d'Aosta","Aosta Valley",IT-23
Veneto,Veneto,IT-34
