dm,dms,index_minimal,nodenames,deprecated,dm_constraint_without_indexfilter
Alerts,Alerts,notable,Alerts,,tag=alert
Application_State,Application_State,,All_Application_State,yes,(tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report)
Authentication,Authentication,,Authentication,,tag=authentication NOT (action=success user=*$)
Certificates,Certificates,,All_Certificates,,tag=certificate
Change,Change,_audit,All_Changes,,tag=change NOT (object_category=file OR object_category=directory OR object_category=registry)
Change_Analysis,Change_Analysis,_audit,All_Changes,yes,tag=change
Compute_Inventory,Compute_Inventory,,All Inventory,yes,tag=inventory (tag=cpu OR tag=memory OR tag=network OR tag=storage OR (tag=system tag=version) OR tag=user OR tag=virtual)
Data_Access,Data_Access,,Data_Access,,tag=data tag=access
Databases,Databases,,All_Databases,,tag=database
DLP,DLP,,DLP_Incidents,,tag=dlp tag=incident
Email,Email,,All_Email,,tag=email
Endpoint,"Endpoint.Filesystem,Endpoint.Ports,Endpoint.Processes,Endpoint.Registry,Endpoint.Services",,"Filesystem,Ports,Processes,Registry,Services",,(tag=endpoint tag=registry) OR (tag=endpoint tag=filesystem) OR (tag=service tag=report) OR (tag=process tag=report) OR (tag=listening tag=port)
Interprocess_Messaging,Interprocess_Messaging,,All_Messaging,,tag=messaging
Intrusion_Detection,Intrusion_Detection,,IDS_Attacks,,tag=ids tag=attack
JVM,JVM,,JVM,,tag=jvm
Malware,Malware,,Malware_Attacks,,tag=malware (tag=attack OR tag=operations)
Network_Resolution,Network_Resolution,,DNS,,tag=network tag=resolution tag=dns
Network_Sessions,Network_Sessions,,All_Sessions,,tag=network tag=session
Network_Traffic,Network_Traffic,,All_Traffic,,tag=network tag=communicate
Performance,Performance,,All_Performance,,tag=performance (tag=cpu OR tag=facilities OR tag=memory OR tag=storage OR tag=network OR (tag=os ((tag=time tag=synchronize) OR tag=uptime)))
Ticket_Management,Ticket_Management,,All_Ticket_Management,,tag=ticketing
Updates,Updates,,Update_Errors Updates,,tag=update (tag=error OR tag=status)
Vulnerabilities,Vulnerabilities,,Vulnerabilities,,tag=vulnerability tag=report
Web,Web,,Web,,tag=web
