capability,"capability_description",dashboard,domain,level,name,"practice_description",visible
"Managing cyber security incidents","Reporting cyber security incidents","AC_0123_e8","Application Control",M3,"Application Control - ISM-0123","Event logs are monitored for signs of compromise and actioned when any signs of compromise are detected.",TRUE
"Managing cyber security incidents","Reporting cyber security incidents to the ACSC","AC_0140_e8","Application Control",M3,"Application Control - ISM-0140","Cyber security incidents are reported to the ACSC.",TRUE
"Responding to cyber security incidents","Enacting incident response plans","AC_1819_e8","Application Control",M3,"Application Control - ISM-1819","Following the identification of a cyber security incident, an organisation's incident response plan is enacted.",TRUE
"Operating system hardening","Application control","AC_0843_e8","Application Control","M2-M3","Application Control - ISM-0843","Application control is implemented on workstations.",TRUE
"Operating system hardening","Application control","AC_1490_e8","Application Control","M2-M3","Application Control - ISM-1490","Application control is implemented on internet-facing servers.",TRUE
"Operating system hardening","Application control","AC_1656_e8","Application Control",M3,"Application Control - ISM-1656","Application control is implemented on non-internet-facing servers.",TRUE
"Operating system hardening","Application control","AC_1657_e8","Application Control","M2-M3","Application Control - ISM-1657","Application control restricts the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation-approved set.",TRUE
"Operating system hardening","Application control","AC_1658_e8","Application Control",M3,"Application Control - ISM-1658","Application control restricts the execution of drivers to an organisation-approved set.",TRUE
"Operating system hardening","Application control","AC_1544_e8","Application Control",M3,"Application Control - ISM-1544","Microsoft's 'recommended block rules' are implemented.",TRUE
"Operating system hardening","Application control","AC_1659_e8","Application Control",M3,"Application Control - ISM-1659","Microsoft's 'recommended driver block rules' are implemented.",TRUE
"Operating system hardening","Application control","AC_1660_e8","Application Control","M2-M3","Application Control - ISM-1660","Allowed and blocked execution events on workstations are logged.",TRUE
"Operating system hardening","Application control","AC_1661_e8","Application Control","M2-M3","Application Control - ISM-1661","Allowed and blocked execution events on internet-facing servers are logged.",TRUE
"Operating system hardening","Application control","AC_1662_e8","Application Control",M3,"Application Control - ISM-1662","Allowed and blocked execution events on non-internet-facing servers are logged.",TRUE
"Operating system hardening","Application control","AC_1663_e8","Application Control",M3,"Application Control - ISM-1663","Application control event logs are stored centrally.",TRUE
"Event logging and monitoring","Centralised event logging facility","AC_1405_e8","Application Control",M3,"Application Control - ISM-1405","A centralised event logging facility is implemented and event logs are sent to the facility as soon as possible after they occur.",TRUE
"Event logging and monitoring","Centralised event logging facility","AC_1815_e8","Application Control",M3,"Application Control - ISM-1815","Event logs stored within a centralised event logging facility are protected from unauthorised modification and deletion.",TRUE
"Event logging and monitoring","Event log monitoring","AC_0109_e8","Application Control",M3,"Application Control - ISM-0109","Event logs are analysed in a timely manner to detect cyber security events.",TRUE
"Event logging and monitoring","Event log monitoring","AC_1228_e8","Application Control",M3,"Application Control - ISM-1228","Cyber security events are analysed in a timely manner to identify cyber security incidents.",TRUE
