capability,capability_description,name,dashboard,domain,icon,practice_description,expanded_guidance,visible,level
Chief Information Security Officer,Providing cyber security leadership and guidance,ISM-0714,SR_0714_ism,Guidelines for Cyber Security Roles,,A CISO is appointed to provide cyber security leadership and guidance for their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing the cyber security program,ISM-1478,SR_1478_ism,Guidelines for Cyber Security Roles,,"The CISO oversees their organisation's cyber security program and ensures their organisation's compliance with cyber security policy, standards, regulations and legislation.",,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing the cyber security program,ISM-1617,SR_1617_ism,Guidelines for Cyber Security Roles,,The CISO regularly reviews and updates their organisation's cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing the cyber security program,ISM-0724,SR_0724_ism,Guidelines for Cyber Security Roles,,The CISO implements cyber security measurement metrics and key performance indicators for their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Coordinating cyber security,ISM-0725,SR_0725_ism,Guidelines for Cyber Security Roles,,"The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis.",,TRUE,O-P-S-TS
Chief Information Security Officer,Coordinating cyber security,ISM-0726,SR_0726_ism,Guidelines for Cyber Security Roles,,The CISO coordinates security risk management activities between cyber security and business teams.,,TRUE,O-P-S-TS
Chief Information Security Officer,Reporting on cyber security,ISM-0718,SR_0718_ism,Guidelines for Cyber Security Roles,,The CISO reports directly to their organisation's senior executive or Board on cyber security matters.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing incident response activities,ISM-0733,SR_0733_ism,Guidelines for Cyber Security Roles,,The CISO is fully aware of all cyber security incidents within their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing incident response activities,ISM-1618,SR_1618_ism,Guidelines for Cyber Security Roles,,The CISO oversees their organisation's response to cyber security incidents.,,TRUE,O-P-S-TS
Chief Information Security Officer,Contributing to business continuity and disaster recovery planning,ISM-0734,SR_0734_ism,Guidelines for Cyber Security Roles,,The CISO contributes to the development and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster.,,TRUE,O-P-S-TS
Chief Information Security Officer,Developing a cyber security communications strategy,ISM-0720,SR_0720_ism,Guidelines for Cyber Security Roles,,"The CISO develops, implements and maintains a cyber security communications strategy for their organisation.",,TRUE,O-P-S-TS
Chief Information Security Officer,Working with suppliers,ISM-0731,SR_0731_ism,Guidelines for Cyber Security Roles,,The CISO oversees cyber supply chain risk management activities for their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Receiving and managing a dedicated cyber security budget,ISM-0732,SR_0732_ism,Guidelines for Cyber Security Roles,,The CISO receives and manages a dedicated cyber security budget for their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing cyber security personnel,ISM-0717,SR_0717_ism,Guidelines for Cyber Security Roles,,The CISO oversees the management of cyber security personnel within their organisation.,,TRUE,O-P-S-TS
Chief Information Security Officer,Overseeing cyber security awareness raising,ISM-0735,SR_0735_ism,Guidelines for Cyber Security Roles,,"The CISO oversees the development, implementation and maintenance of their organisation's cyber security awareness training program.",,TRUE,O-P-S-TS
System owners,System ownership and oversight,ISM-1071,SR_1071_ism,Guidelines for Cyber Security Roles,,Each system has a designated system owner.,,TRUE,O-P-S-TS
System owners,System ownership and oversight,ISM-1525,SR_1525_ism,Guidelines for Cyber Security Roles,,System owners register each system with its authorising officer.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1633,SR_1633_ism,Guidelines for Cyber Security Roles,,"System owners determine the type, value and security objectives for each system based on an assessment of the impact if it were to be compromised.",,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1634,SR_1634_ism,Guidelines for Cyber Security Roles,,System owners select controls for each system and tailor them to achieve desired security objectives.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1635,SR_1635_ism,Guidelines for Cyber Security Roles,,System owners implement controls for each system and its operating environment.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1636,SR_1636_ism,Guidelines for Cyber Security Roles,,System owners ensure controls for each system and its operating environment are assessed to determine if they have been implemented correctly and are operating as intended.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-0027,SR_0027_ism,Guidelines for Cyber Security Roles,,System owners obtain authorisation to operate each system from its authorising officer based on the acceptance of the security risks associated with its operation.,,TRUE,O-P-S-TS
System owners,Protecting systems and their resources,ISM-1526,SR_1526_ism,Guidelines for Cyber Security Roles,,"System owners monitor each system, and associated cyber threats, security risks and controls, on an ongoing basis.",,TRUE,O-P-S-TS
System owners,Annual reporting of system security status,ISM-1587,SR_1587_ism,Guidelines for Cyber Security Roles,,System owners report the security status of each system to its authorising officer at least annually.,,TRUE,O-P-S-TS
Managing cyber security incidents,Incident management policy,ISM-0576,SI_0576_ism,Guidelines for Cyber Security Incidents,,"An incident management policy, and associated incident response plan, is developed, implemented and maintained.",,TRUE,O-P-S-TS
Managing cyber security incidents,Incident management policy,ISM-1784,SI_1784_ism,Guidelines for Cyber Security Incidents,,"The incident management policy, including the associated incident response plan, is exercised at least annually.",,TRUE,O-P-S-TS
Managing cyber security incidents,Cyber security incident register,ISM-0125,SI_0125_ism,Guidelines for Cyber Security Incidents,,"A cyber security incident register is developed, implemented and maintained.",,TRUE,O-P-S-TS
Managing cyber security incidents,Cyber security incident register,ISM-1803,SI_1803_ism,Guidelines for Cyber Security Incidents,,A cyber security incident register contains the following for each cyber security incident: • the date the cyber security incident occurred • the date the cyber security incident was discovered • a description of the cyber security incident • any actions taken in response to the cyber security incident • to whom the cyber security incident was reported.,,TRUE,O-P-S-TS
Managing cyber security incidents,Trusted insider program,ISM-1625,SI_1625_ism,Guidelines for Cyber Security Incidents,,"A trusted insider program is developed, implemented and maintained.",,TRUE,O-P-S-TS
Managing cyber security incidents,Trusted insider program,ISM-1626,SI_1626_ism,Guidelines for Cyber Security Incidents,,Legal advice is sought regarding the development and implementation of a trusted insider program.,,TRUE,O-P-S-TS
Managing cyber security incidents,Access to sufficient data sources and tools,ISM-0120,SI_0120_ism,Guidelines for Cyber Security Incidents,,Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.,,TRUE,O-P-S-TS
Managing cyber security incidents,Reporting cyber security incidents,ISM-0123,SI_0123_ism,Guidelines for Cyber Security Incidents,,"Cyber security incidents are reported to an organisation's Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",,TRUE,O-P-S-TS
Managing cyber security incidents,Reporting cyber security incidents to the ACSC,ISM-0140,SI_0140_ism,Guidelines for Cyber Security Incidents,,Cyber security incidents are reported to the ACSC.,,TRUE,O-P-S-TS
Responding to cyber security incidents,Enacting incident response plans,ISM-1819,SI_1819_ism,Guidelines for Cyber Security Incidents,,"Following the identification of a cyber security incident, an organisation's incident response plan is enacted.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing data spills,ISM-0133,SI_0133_ism,Guidelines for Cyber Security Incidents,,"When a data spill occurs, data owners are advised and access to the data is restricted.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing malicious code infections,ISM-0917,SI_0917_ism,Guidelines for Cyber Security Incidents,,"When malicious code is detected, the following steps are taken to handle the infection: • the infected systems are isolated • all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary • antivirus software is used to remove the infection from infected systems and media • if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-0137,SI_0137_ism,Guidelines for Cyber Security Incidents,,Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.,,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-1609,SI_1609_ism,Guidelines for Cyber Security Incidents,,System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.,,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-1731,SI_1731_ism,Guidelines for Cyber Security Incidents,,Planning and coordination of intrusion remediation activities are conducted on a separate system to that which has been compromised.,,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-1732,SI_1732_ism,Guidelines for Cyber Security Incidents,,"To the extent possible, all intrusion remediation activities are conducted in a coordinated manner during the same planned outage.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Handling and containing intrusions,ISM-1213,SI_1213_ism,Guidelines for Cyber Security Incidents,,"Following intrusion remediation activities, full network traffic is captured for at least seven days and analysed to determine whether the adversary has been successfully removed from the system.",,TRUE,O-P-S-TS
Responding to cyber security incidents,Maintaining the integrity of evidence,ISM-0138,SI_0138_ism,Guidelines for Cyber Security Incidents,,The integrity of evidence gathered during an investigation is maintained by investigators: • recording all of their actions • maintaining a proper chain of custody • following all instructions provided by relevant law enforcement agencies.,,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1631,PO_1631_ism,Guidelines for Procurement and Outsourcing,,"Suppliers of applications, ICT equipment and services associated with systems are identified.",,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1452,PO_1452_ism,Guidelines for Procurement and Outsourcing,,"A supply chain risk assessment is performed for suppliers of applications, ICT equipment and services in order to assess the impact to a system's security risk profile.",,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1567,PO_1567_ism,Guidelines for Procurement and Outsourcing,,Suppliers identified as high risk by a cyber supply chain risk assessment are not used.,,TRUE,O-P-S-TS
Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1568,PO_1568_ism,Guidelines for Procurement and Outsourcing,,"Applications, ICT equipment and services are chosen from suppliers that have demonstrated a commitment to the security of their products and services.",,TRUE,O-P-S-TS
