icon,name,description
fas fa-user-lock,Identity and Credential Management,
fas fa-graduation-cap,Privileged Identity and Credential Management,
fas fa-user-circle,"Email Filtering, Spam, and Phishing",
fas fa-desktop,Network Device Infrastructure,
fas fa-save,Network Device Infrastructure (General Logging),
far fa-address-card,"Network Device Infrastructure (Access, Authorization, and Accounting)",
fas fa-chart-bar,Operating Systems - Windows Infrastructure and Operating Systems,
far fa-edit,Operating Systems - MACOS (Or Other Apple Desktop and Server Operating Systems),
fas fa-satellite-dish,Operating Systems - BSD (Linux),
fas fa-certificate,Cloud Environments (General Events),
fas fa-tasks,Cloud Environments (General Logging),
fas fa-tasks,Cloud AWS,
fas fa-tasks,Cloud Azure,
fas fa-database,Cloud GCP,
fas fa-id-badge,System Configuration and Performance,
fas fa-diagnoses,Authentication and Authorization,
fas fa-tools,Anti-Virus and Behavior-Based Malware Protection,
fas fa-hard-hat,PKI Infrastructure,
fas fa-calendar-alt,Vulnerability Assessments,
fas fa-sitemap,Database Level,
fas fa-shield-alt,Application Level,
fas fa-user-lock,Virtualization System,
fas fa-user-lock,Mobile (Smartphones and Tablets) EMM (UEM) / MTD Server Logs,
fas fa-user-lock,Mobile (Smartphones and Tablets) EMM (UEM) / MTD Agent Logs,
fas fa-user-lock,Container - Supply Chain,
fas fa-user-lock,Data Loss Prevention,
fas fa-user-lock,Network Traffic,
fas fa-user-lock,Container - Image,
fas fa-user-lock,Container - Engine (Management / Orchestration),
fas fa-user-lock,Container - OS,
fas fa-user-lock,Mainframes,
fas fa-user-lock,Container - Cluster/Pod Events,
