dashboard,name,domain,capability_description,icon,practice_description,expanded_guidance,level,ext_product,ext_link,visible
01_omb,Identity and Credential Management,Identity and Credential Management,,fas fa-user-lock,Account Creation | Establish/Manage Attributes | Organization Groups/Roles | Account Deletion,,0,None,,TRUE
02_omb,"Privileged Identity and Credential Management","Privileged Identity and Credential Management",,fas fa-user-lock,"Provisioning | Establish/Manage Attributes | Organization Groups/Roles | Manage/Track Changes in Attributes and Credentials | Track Usage of Credentials | Deprovisioning | Establish and Manage Privileges (Privilege Credentials) | Isolate, Monitor, Record, Audit Privilege Sessions | Control Privileged Actions | Track Privilege Escalation and Delegation | Monitor, Alert and Respond to Anomalous Behaviors/Activities",,0,None,,TRUE
03_omb,IP and Domain Reputation (As Indicated by Mail Server Connection),"Email Filtering, Spam, and Phishing",,fas fa-user-lock,IP and Domain Reputation,,0,None,,TRUE
04_omb,All Devices - DHCP Lease Information,Network Device Infrastructure,,fas fa-user-lock,DHCP Lease Information,,0,None,,TRUE
05_omb,DNS,Network Device Infrastructure,,fas fa-user-lock,"DNS Source IP and Port, Destination IP and Port Date and Time | Content of Query, Response, and Errors | Zone Transfers Request and Response (Audit Log) | Zone Transfers Request and Response (Content)",,0,None,,TRUE
06_omb,Passive DNS Log,Network Device Infrastructure,,fas fa-user-lock,Passive DNS Log,,0,None,,TRUE
07_omb,"DNS, DHCP, and Wi-Fi (Authentication)",Network Device Infrastructure,,fas fa-user-lock,"DNS, DHCP, and Wi-Fi | Wi-Fi Supporting Infrastructure Logs Including Security Logs at Info Level | Device Authentication Logs with User Agent | URL Browsing Logs and HTTP Methods | User Authentication Logs  | DHCP Lease Information | Roaming Logs | Timestamps",,0,None,,TRUE
08_omb,"DNS, DHCP, and Wi-Fi (NAT Tables)",Network Device Infrastructure,,fas fa-user-lock,"DNS, DHCP, and Wi-Fi | Static Network Address Translation Table Mapping as Well as Port Forwards",,0,None,,TRUE
09_omb,Network Device Infrastructure (General Logging),Network Device Infrastructure (General Logging),,fas fa-user-lock,IDS / IPS / NTA / NDR / SIEM Logs | API Activity Logs | Authentication Logs | Firewall Logs | Web Proxy/WAF Logs | Service Metrics | Network Flow Logs | Remote Access/VPN Logs | System/OS Logs | DLP Logs | DNS Query/Response Logs,,0,None,,TRUE
10_omb,Routers and Switches,Network Device Infrastructure,,fas fa-user-lock,Routers and Switches,,0,None,,TRUE
11_omb,Load Balancer / Reverse Proxy Access Logs,Network Device Infrastructure,,fas fa-user-lock,Load Balancer / Reverse Proxy Access Logs,,0,None,,TRUE
12_omb,Proxies and Web Content Filters (Web Proxy Request),Network Device Infrastructure,,fas fa-user-lock,Proxies and Web Content Filters | Web URL Methods / User Agent / Decoded Headers | URL Categories,,0,None,,TRUE
13_omb,Proxies and Web Content Filters (Policy and Software Updates),Network Device Infrastructure,,fas fa-user-lock,Proxies and Web Content Filters | Policy Updates | Software Updates,,0,None,,TRUE
