fisma,rmf,cmmc,dfars,omb,cis,caf,ism,e8,aescsf
,,,,,,,ISM-0123,Application Control - ISM-0123,
,,,,,,,ISM-0123,Configure Microsoft Office Macro Settings - ISM-0123,
,,,,,,,ISM-0123,Multi-Factor Authentication - ISM-0123,
,,,,,,,ISM-0123,Restrict Administrative Privileges - ISM-0123,
,,,,,,,ISM-0123,User Application Hardening - ISM-0123,
,,,,,,,ISM-0140,Application Control - ISM-0140,
,,,,,,,ISM-0140,Configure Microsoft Office Macro Settings - ISM-0140,
,,,,,,,ISM-0140,Multi-Factor Authentication - ISM-0140,
,,,,,,,ISM-0140,Restrict Administrative Privileges - ISM-0140,
,,,,,,,ISM-0140,User Application Hardening - ISM-0140,
,,,,,,B2.C: Privileged User Management,ISM-1507,Restrict Administrative Privileges - ISM-1507,
,,,,,,B2.C: Privileged User Management,ISM-0445,,
,,,,,,,ISM-1651,Restrict Administrative Privileges - ISM-1651,
,,,,,,,ISM-1652,Restrict Administrative Privileges - ISM-1652,
,,,,,,B2.C: Privileged User Management,ISM-1648,Restrict Administrative Privileges - ISM-1648,
,,,,,,B2.C: Privileged User Management,ISM-1647,Restrict Administrative Privileges - ISM-1647,
,,,,,,B2.C: Privileged User Management,ISM_1650,,
,,,,,,,ISM-1407,Patch Operating Systems - ISM-1407,
,,,,,,,ISM-1654,User Application Hardening - ISM-1654,
,,,,,,,ISM-1655,User Application Hardening - ISM-1655,
,,,,,,,ISM-0843,Application Control - ISM-0843,
,,,,,,,ISM-1490,Application Control - ISM-1490,
,,,,,,,ISM-1656,Application Control - ISM-1656,
,,,,,,,ISM-1657,Application Control - ISM-1657,
,,,,,,,ISM-1658,Application Control - ISM-1658,
,,,,,,,ISM-1544,Application Control - ISM-1544,
,,,,,,,ISM-1659,Application Control - ISM-1659,
,,,,,,,ISM-1621,User Application Hardening - ISM-1621,
,,,,,,,ISM-1622,User Application Hardening - ISM-1622,
,,,,,,,ISM-1665,User Application Hardening - ISM-1665,
,,,,,,,ISM-1412,User Application Hardening - ISM-1412,
,,,,,,,ISM-1667,User Application Hardening - ISM-1667,
,,,,,,,ISM-1668,User Application Hardening - ISM-1668,
,,,,,,,ISM-1669,User Application Hardening - ISM-1669,
,,,,,,,ISM-1542,User Application Hardening - ISM-1542,
,,,,,,,ISM-1823,User Application Hardening - ISM-1823,
,,,,,,,ISM-1486,User Application Hardening - ISM-1486,
,,,,,,,ISM-1485,User Application Hardening - ISM-1485,
,,,,,,,ISM-1666,User Application Hardening - ISM-1666,
,,,,,,,ISM-1585,User Application Hardening - ISM-1585,
,,,,,,,ISM-1670,User Application Hardening - ISM-1670,
,,,,,,,ISM-1824,User Application Hardening - ISM-1824,
,,,,,,,ISM-1671,Configure Microsoft Office Macro Settings - ISM-1671,
,,,,,,,ISM-1488,Configure Microsoft Office Macro Settings - ISM-1488,
,,,,,,,ISM-1672,Configure Microsoft Office Macro Settings - ISM-1672,
,,,,,,,ISM-1673,Configure Microsoft Office Macro Settings - ISM-1673,
,,,,,,,ISM-1674,Configure Microsoft Office Macro Settings - ISM-1674,
,,,,,,,ISM-1487,Configure Microsoft Office Macro Settings - ISM-1487,
,,,,,,,ISM-1675,Configure Microsoft Office Macro Settings - ISM-1675,
,,,,,,,ISM-1676,Configure Microsoft Office Macro Settings - ISM-1676,
,,,,,,,ISM-1489,Configure Microsoft Office Macro Settings - ISM-1489,
,,,,,,,ISM-1678,Configure Microsoft Office Macro Settings - ISM-1678,
,,,,,,,ISM-1173,Multi-Factor Authentication - ISM-1173,
,,,,,,,ISM-1504,Multi-Factor Authentication - ISM-1504,
,,,,,,,ISM-1679,Multi-Factor Authentication - ISM-1679,
,,,,,,,ISM-1680,Multi-Factor Authentication - ISM-1680,
,,,,,,,ISM-1681,Multi-Factor Authentication - ISM-1681,
,,,,,,,ISM-1505,Multi-Factor Authentication - ISM-1505,
,,,,,,,ISM-1401,Multi-Factor Authentication - ISM-1401,
,,,,,,,ISM-1682,Multi-Factor Authentication - ISM-1682,
,,,,,,,ISM-1683,Multi-Factor Authentication - ISM-1683,
,,,,,,,ISM-1684,Multi-Factor Authentication - ISM-1684,
,,,,,,,ISM-1685,Multi-Factor Authentication - ISM-1685,
,,,,,,,ISM-1685,Restrict Administrative Privileges - ISM-1685,
,,,,,,,ISM-1686,Restrict Administrative Privileges - ISM-1686,
,,,,,,,ISM-1380,Restrict Administrative Privileges - ISM-1380,
,,,,,,,ISM-1687,Restrict Administrative Privileges - ISM-1687,
,,,,,,,ISM-1688,Restrict Administrative Privileges - ISM-1688,
,,,,,,,ISM-1689,Restrict Administrative Privileges - ISM-1689,
,,,,,,,ISM-1387,Restrict Administrative Privileges - ISM-1387,
,,,,,,,ISM-1807,Patch Applications - ISM-1807,
,,,,,,,ISM-1807,Patch Operating Systems - ISM-1807,
,,,,,,,ISM-1690,Patch Applications - ISM-1690,
,,,,,,,ISM-1691,Patch Applications - ISM-1691,
,,,,,,,ISM-1692,Patch Applications - ISM-1692,
,,,,,,,ISM-1693,Patch Applications - ISM-1693,
,,,,,,,ISM-1694,Patch Operating Systems - ISM-1694,
,,,,,,,ISM-1695,Patch Operating Systems - ISM-1695,
,,,,,,,ISM-1696,Patch Operating Systems - ISM-1696,
,,,,,,,ISM-1704,Patch Applications - ISM-1704,
,,,,,,,ISM-0304,Patch Applications - ISM-0304,
,,,,,,,ISM-1501,Patch Operating Systems - ISM-1501,
,,,,,,,ISM-1812,Regular Backups - ISM-1812,
,,,,,,,ISM-1813,Regular Backups - ISM-1813,
,,,,,,,ISM-1705,Regular Backups - ISM-1705,
,,,,,,,ISM-1706,Regular Backups - ISM-1706,
,,,,,,,ISM-1814,Regular Backups - ISM-1814,
,,,,,,,ISM-1707,Regular Backups - ISM-1707,
,,,,,,,ISM-1708,Regular Backups - ISM-1708,
,,,,,,,ISM-1515,Regular Backups - ISM-1515,
,,,,,,,ISM-1405,Restrict Administrative Privileges - ISM-1405,
,,,,,,,ISM-1405,User Application Hardening - ISM-1405,
,,,,,,,ISM-1405,Application Control - ISM-1405,
,,,,,,,ISM-1405,Configure Microsoft Office Macro Settings - ISM-1405,
,,,,,,,ISM-1405,Multi-Factor Authentication - ISM-1405,
,,,,,,,ISM-1815,Restrict Administrative Privileges - ISM-1815,
,,,,,,,ISM-1815,User Application Hardening - ISM-1815,
,,,,,,,ISM-1815,Application Control - ISM-1815,
,,,,,,,ISM-1815,Configure Microsoft Office Macro Settings - ISM-1815,
,,,,,,,ISM-1815,Multi-Factor Authentication - ISM-1815,
,,,,,,,ISM-1507,Restrict Administrative Privileges - ISM-1651,
AC-1,AC-1.4,,,,,,,,
AC-1,,,,,CIS Safeguard 6.1,B2.D: Identity and Access Management (IdAM),,,
AC-1,,,,,CIS Safeguard 6.2,,,,
AC-1,,,,,,,ISM-1508,Restrict Administrative Privileges - ISM-1508,
AC-1,,,,,,B2.C: Privileged User Management,ISM-1175,Restrict Administrative Privileges - ISM-1175,
AC-1,,,,,,,ISM-1653,Restrict Administrative Privileges - ISM-1653,
AC-1,,,,,,,ISM-1649,Restrict Administrative Privileges - ISM-1649,
AC-1,,,,,,,ISM-0414,,
AC-1,,,,,,,ISM-0405,,
AC-1,,,,,,,ISM-0430,,
AC-1,,,,,,,ISM-1591,,
AC-1,AC-1.9,,,,,,,,
AC-1,AC-1.5,,,,,,,,
AC-1,AC-1.1,,,,,,,,
AC-1,AC-1.2,,,,,,,,
AC-1,AC-1.6,,,,,,,,
AC-1,AC-1.7,,,,,,,,
AC-1,AC-1.10,,,,,,,,
AC-1,AC-1.9,,,,,,,,
AC-1,AC-1.12,,,,,,,,
AC-10,,,,,,,ISM-1181,,
AC-10,,,,,,,ISM-1577,,
AC-10,AC-10.1,,,,,,,,
AC-10,AC-10.2,,,,,,,,
AC-10,AC-10.3,,,,,,,,
