GUID,GPOName,c
"{0782F357-DD4A-449B-BD38-E87BF34DD023}","Avo_RDP_Access_DC",1
"{09048777-A59A-4A91-8974-3857D118554B}","Allow multiple RDP session",2
"{0BCF66BA-662B-4A13-86DC-6CEDAE8B39F1}","Firefox Installer",3
"{2B941631-C424-4313-A495-281E74626E21}","Disable TaskManager",2
"{2D211FAD-620B-4123-94DC-32DCF502FF53}","Avo-Services-For-RPC",2
"{5248E63D-D0CC-402B-8A86-5CC0B9F9D5B0}","Avo-Wallpaper",3
"{5D5CBB55-B551-4FB6-856D-E74B2B11BBFB}","Event Subscritptions",1
"{60283411-9857-4BCE-88E3-88226DCAD057}","Avo-Copy-Files",3
"{624518BC-5CA8-4209-A89F-5C5C6E4A05B3}","Disable Registry",1
"{6D8384FF-F150-4AF0-B106-CAB22548DEAE}","Disable System Restore",2
"{711FD27A-A204-4857-86D7-A1E1BFB84D9A}",FOLDER,2
"{7E0ED551-4CA3-4616-B2B3-BE353E738958}","Shared Folder",2
"{84E43BAA-8456-46F7-8287-B934F8808E93}","Allow Use Of Camera Policy",1
"{84FD8847-E6A2-484B-B78D-6CD93C13AD84}","Restrict IP Change",3
"{955FEFAA-8B30-4F49-AF12-07E3EB16C513}","Prevent Windows from Storing LAN Manager Hash",3
"{9B8EC151-EF0E-4B57-9338-328FF00CB1F4}","Install Software",1
"{BFA05315-5566-4E7F-87D3-36D1836F43A3}",LAPS,2
"{CD3C7A8B-2A45-4BAA-8E3B-B2FDE9326EAA}",Gpupdate,2
"{D38E41DA-4B0E-4BB2-944C-67850E6D22AD}","Avo-Time-Sync",1
"{D5312240-11F9-4A82-AF6C-DD9376A9C98D}",RDPAccess,1
"{D7AD3970-713A-4ED1-B5AE-0A6309E01B16}",Services,3
"{D940EF8A-0233-4779-B1B7-2BCB0621391F}","Disable Forced System Restarts",1
"{E2192ECA-C769-44F2-AF85-6815576EF808}","Password Policy",1
"{E89D3E53-1DEE-4B38-B2EB-AB547FB46DC4}","Disable Removable devices",2
"{E8CC271F-9EF9-4F43-96AD-45F80268F8E5}","Logon Notice",1
"{F5C07A04-63B5-4BF4-926B-5744C2ED0D40}","Startup-Shutdown-BatchFile",3
"{FA8D54EA-5BE4-46B6-B0FA-72D29021CBDF}",RemoteAccess,1
"{0782F357-DD4A-449B-BD38-E87BF34DD023}","Avo_RDP_Access_DC",
"{09048777-A59A-4A91-8974-3857D118554B}","Allow multiple RDP session",
"{0BCF66BA-662B-4A13-86DC-6CEDAE8B39F1}","Firefox Installer",
"{2B941631-C424-4313-A495-281E74626E21}","Disable TaskManager",
"{2D211FAD-620B-4123-94DC-32DCF502FF53}","Avo-Services-For-RPC",
"{5248E63D-D0CC-402B-8A86-5CC0B9F9D5B0}","Avo-Wallpaper",
"{5D5CBB55-B551-4FB6-856D-E74B2B11BBFB}","Event Subscritptions",
"{60283411-9857-4BCE-88E3-88226DCAD057}","Avo-Copy-Files",
"{624518BC-5CA8-4209-A89F-5C5C6E4A05B3}","Disable Registry",
"{6D8384FF-F150-4AF0-B106-CAB22548DEAE}","Disable System Restore",
"{711FD27A-A204-4857-86D7-A1E1BFB84D9A}",FOLDER,
"{7E0ED551-4CA3-4616-B2B3-BE353E738958}","Shared Folder",
"{84E43BAA-8456-46F7-8287-B934F8808E93}","Allow Use Of Camera Policy",
"{84FD8847-E6A2-484B-B78D-6CD93C13AD84}","Restrict IP Change",
"{955FEFAA-8B30-4F49-AF12-07E3EB16C513}","Prevent Windows from Storing LAN Manager Hash",
"{9B8EC151-EF0E-4B57-9338-328FF00CB1F4}","Install Software",
"{BFA05315-5566-4E7F-87D3-36D1836F43A3}",LAPS,
"{CD3C7A8B-2A45-4BAA-8E3B-B2FDE9326EAA}",Gpupdate,
"{D38E41DA-4B0E-4BB2-944C-67850E6D22AD}","Avo-Time-Sync",
"{D5312240-11F9-4A82-AF6C-DD9376A9C98D}",RDPAccess,
"{D7AD3970-713A-4ED1-B5AE-0A6309E01B16}",Services,
"{D940EF8A-0233-4779-B1B7-2BCB0621391F}","Disable Forced System Restarts",
"{E2192ECA-C769-44F2-AF85-6815576EF808}","Password Policy",
"{E89D3E53-1DEE-4B38-B2EB-AB547FB46DC4}","Disable Removable devices",
"{E8CC271F-9EF9-4F43-96AD-45F80268F8E5}","Logon Notice",
"{F5C07A04-63B5-4BF4-926B-5744C2ED0D40}","Startup-Shutdown-BatchFile",
"{FA8D54EA-5BE4-46B6-B0FA-72D29021CBDF}",RemoteAccess,
"{B9F83A19-EB0B-49C6-8FC6-856F3F1471FE}","Avo-Port-5900",
"{AFAEC9BF-BB9D-4BF7-AC5A-956D26D54626}","Avo-Anydesk-Installer",
