Geo_ID,Location_SN,Location_LN
2,Antigua and Barbuda,Antigua and Barbuda
3,Afghanistan,Islamic Republic of Afghanistan
4,Algeria,Democratic and Popular Republic of Algeria
5,Azerbaijan,Republic of Azerbaijan
6,Albania,Republic of Albania
7,Armenia,Republic of Armenia
8,Andorra,Principality of Andorra
9,Angola,Republic of Angola
10,American Samoa,Territory of American Samoa
11,Argentina,Argentine Republic
12,Australia,Commonwealth of Australia
14,Austria,Republic of Austria
17,Bahrain,Kingdom of Bahrain
18,Barbados,Barbados
19,Botswana,Republic of Botswana
20,Bermuda,Bermuda
21,Belgium,Kingdom of Belgium
22,"Bahamas, The",Commonwealth of The Bahamas
23,Bangladesh,People's Republic of Bangladesh
24,Belize,Belize
25,Bosnia and Herzegovina,Bosnia and Herzegovina
26,Bolivia,"Plurinational State of Bolivia"""
27,Myanmar,Republic of the Union of Myanmar
28,Benin,Republic of Benin
29,Belarus,Republic of Belarus
30,Solomon Islands,Solomon Islands
32,Brazil,Federative Republic of Brazil
34,Bhutan,Kingdom of Bhutan
35,Bulgaria,Republic of Bulgaria
37,Brunei,Negara Brunei Darussalam
38,Burundi,Republic of Burundi
39,Canada,Canada
40,Cambodia,Kingdom of Cambodia
41,Chad,Republic of Chad
42,Sri Lanka,Democratic Socialist Republic of Sri Lanka
43,Congo,Republic of the Congo
44,Congo (DRC),Democratic Republic of the Congo
45,China,People's Republic of China
46,Chile,Republic of Chile
49,Cameroon,Republic of Cameroon
50,Comoros,Union of Comoros
51,Colombia,Republic of Colombia
54,Costa Rica,Republic of Costa Rica
55,Central African Republic,Central African Republic
56,Cuba,Republic of Cuba
57,Cabo Verde,Republic of Cabo Verde
59,Cyprus,Republic of Cyprus
61,Denmark,Kingdom of Denmark
62,Djibouti,Republic of Djibouti
63,Dominica,Commonwealth of Dominica
65,Dominican Republic,Dominican Republic
66,Ecuador,Republic of Ecuador
67,Egypt,Arab Republic of Egypt
68,Ireland,Ireland
69,Equatorial Guinea,Republic of Equatorial Guinea
70,Estonia,Republic of Estonia
71,Eritrea,State of Eritrea
72,El Salvador,Republic of El Salvador
73,Ethiopia,Federal Democratic Republic of Ethiopia
75,Czech Republic,Czech Republic
77,Finland,Republic of Finland
78,Fiji,Republic of the Fiji Islands
80,Micronesia,Federated States of Micronesia
81,Faroe Islands,Faroe Islands
84,France,French Republic
86,Gambia,Republic of The Gambia
87,Gabon,Gabonese Republic
88,Georgia,Georgia
89,Ghana,Republic of Ghana
90,Gibraltar,Gibraltar
91,Grenada,Grenada
93,Greenland,Greenland
94,Germany,Federal Republic of Germany
98,Greece,Hellenic Republic
99,Guatemala,Republic of Guatemala
100,Guinea,Republic of Guinea
101,Guyana,Cooperative Republic of Guyana
103,Haiti,Republic of Haiti
104,Hong Kong SAR,Hong Kong Special Administrative Region
106,Honduras,Republic of Honduras
108,Croatia,Republic of Croatia
109,Hungary,Republic of Hungary
110,Iceland,Republic of Iceland
111,Indonesia,Republic of Indonesia
113,India,Republic of India
114,British Indian Ocean Territory,British Indian Ocean Territory
116,Iran,Islamic Republic of Iran
117,Israel,State of Israel
118,Italy,Italian Republic
119,Côte d'Ivoire,Republic of Côte d'Ivoire
121,Iraq,Republic of Iraq
122,Japan,Japan
124,Jamaica,Jamaica
125,Jan Mayen,Jan Mayen
126,Jordan,Hashemite Kingdom of Jordan
127,Johnston Atoll,
129,Kenya,Republic of Kenya
130,Kyrgyzstan,Kyrgyz Republic
131,North Korea,Democratic People's Republic of Korea
133,Kiribati,Republic of Kiribati
134,Korea,Republic of Korea
136,Kuwait,State of Kuwait
137,Kazakhstan,Republic of Kazakhstan
138,Laos,Lao People's Democratic Republic
139,Lebanon,Republic of Lebanon
140,Latvia,Republic of Latvia
141,Lithuania,Republic of Lithuania
142,Liberia,Republic of Liberia
143,Slovakia,Slovak Republic
145,Liechtenstein,Principality of Liechtenstein
146,Lesotho,Kingdom of Lesotho
147,Luxembourg,Grand Duchy of Luxembourg
148,Libya,Libya
149,Madagascar,Republic of Madagascar
151,Macao SAR,Macao Special Administrative Region
152,Moldova,Republic of Moldova
154,Mongolia,Mongolia
156,Malawi,Republic of Malawi
157,Mali,Republic of Mali
158,Monaco,Principality of Monaco
159,Morocco,Kingdom of Morocco
160,Mauritius,Republic of Mauritius
162,Mauritania,Islamic Republic of Mauritania
163,Malta,Republic of Malta
164,Oman,Sultanate of Oman
165,Maldives,Republic of Maldives
166,Mexico,United Mexican States
167,Malaysia,Federation of Malaysia
168,Mozambique,Republic of Mozambique
173,Niger,Republic of Niger
174,Vanuatu,Republic of Vanuatu
175,Nigeria,Federal Republic of Nigeria
176,Netherlands,Kingdom of the Netherlands
177,Norway,Kingdom of Norway
178,Nepal,Federal Democratic Republic of Nepal
180,Nauru,Republic of Nauru
181,Suriname,Republic of Suriname
182,Nicaragua,Republic of Nicaragua
183,New Zealand,New Zealand
184,Palestinian Authority,Palestinian National Authority
185,Paraguay,Republic of Paraguay
187,Peru,Republic of Peru
190,Pakistan,Islamic Republic of Pakistan
191,Poland,Republic of Poland
192,Panama,Republic of Panama
193,Portugal,Portuguese Republic
194,Papua New Guinea,Independent State of Papua New Guinea
195,Palau,Republic of Palau
196,Guinea-Bissau,Republic of Guinea-Bissau
197,Qatar,State of Qatar
198,Réunion,Department of Réunion
199,Marshall Islands,Republic of the Marshall Islands
200,Romania,Romania
201,Philippines,Republic of the Philippines
202,Puerto Rico,Commonwealth of Puerto Rico
203,Russia,Russian Federation
204,Rwanda,Republic of Rwanda
205,Saudi Arabia,Kingdom of Saudi Arabia
206,Saint Pierre and Miquelon,Territorial Collectivity of Saint Pierre and Miquelon
207,Saint Kitts and Nevis,Federation of Saint Kitts and Nevis
208,Seychelles,Republic of Seychelles
209,South Africa,Republic of South Africa
210,Senegal,Republic of Senegal
212,Slovenia,Republic of Slovenia
213,Sierra Leone,Republic of Sierra Leone
214,San Marino,Republic of San Marino
215,Singapore,Republic of Singapore
216,Somalia,Federal Republic of Somalia
217,Spain,Kingdom of Spain
218,Saint Lucia,Saint Lucia
219,Sudan,Republic of the Sudan
220,Svalbard,Svalbard
221,Sweden,Kingdom of Sweden
222,Syria,Syrian Arab Republic
223,Switzerland,Swiss Confederation
224,United Arab Emirates,United Arab Emirates
225,Trinidad and Tobago,Republic of Trinidad and Tobago
227,Thailand,Kingdom of Thailand
228,Tajikistan,Republic of Tajikistan
231,Tonga,Kingdom of Tonga
232,Togo,Togolese Republic
233,São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe
234,Tunisia,Tunisian Republic
235,Turkey,Republic of Turkey
236,Tuvalu,Tuvalu
237,Taiwan,Taiwan
238,Turkmenistan,Republic of Turkmenistan
