eventID,event,logname
1,Agent stopped,Agent
2,Agent start pending,Agent
3,Agent stop pending,Agent
4,Agent running,Agent
5,Agent continue pending,Agent
6,Agent pause pending,Agent
7,Agent paused,Agent
10,Agent Offline,Agent
11,Agent Online,Agent
101,CA stopped,Agent
102,CA start pending,Agent
103,CA stop pending,Agent
104,CA running,Agent
105,CA continue pending,Agent
106,CA pause pending,Agent
107,CA paused,Agent
110,Unknown,Agent
111,CertIssued,Agent
112,CertPending,Agent
113,CertDenied,Agent
114,CertRevoked,Agent
115,CertRetrievePending,Agent
116,CRLIssued,Agent
119,CertUnrevoked,Agent
120,CertImported,Agent
122,Unchanged,Agent
123,KeyAdded,Agent
124,KeyRemoved,Agent
125,ValueAdded,Agent
126,ValueRemoved,Agent
127,ValueChanged,Agent
131,CA full backup,Agent
132,CA incremental backup,Agent
160,Unchanged,Agent
161,Owner changed,Agent
162,ACE changed,Agent
163,ACE added,Agent
164,ACE removed,Agent
165,Updated,Agent
170,Template Added,Agent
171,Template Removed,Agent
201,OCSP stopped,Agent
202,OCSP start pending,Agent
203,OCSP stop pending,Agent
204,OCSP running,Agent
205,OCSP continue pending,Agent
206,OCSP pause pending,Agent
207,OCSP paused,Agent
210,Unchanged,Agent
211,Owner changed,Agent
212,ACE changed,Agent
213,ACE added,Agent
214,ACE removed,Agent
220,Unchanged,Agent
221,KeyAdded,Agent
222,KeyRemoved,Agent
223,ValueAdded,Agent
224,ValueRemoved,Agent
225,ValueChanged,Agent
240,Unchanged,Agent
241,KeyAdded,Agent
242,KeyRemoved,Agent
243,ValueAdded,Agent
244,ValueRemoved,Agent
245,ValueChanged,Agent
301,IIS stopped,Agent
302,IIS start pending,Agent
303,IIS stop pending,Agent
304,IIS running,Agent
305,IIS continue pending,Agent
306,IIS pause pending,Agent
307,IIS paused,Agent
310,Site prop changed,Agent
311,TLS binding added,Agent
312,TLS binding removed,Agent
313,TLS binding changed,Agent
314,Cert changed,Agent
315,Cert status changed,Agent
316,TLS Mismatch On,Agent
317,TLS Mismatch Off,Agent
320,Unknown,Agent
321,Config added,Agent
322,Config removed,Agent
323,Config changed,Agent
351,IIS stopped,Agent
352,IIS start pending,Agent
353,IIS stop pending,Agent
354,IIS running,Agent
355,IIS continue pending,Agent
356,IIS pause pending,Agent
357,IIS paused,Agent
360,Site prop changed,Agent
361,TLS binding added,Agent
362,TLS binding removed,Agent
363,TLS binding changed,Agent
364,Cert changed,Agent
365,Cert status changed,Agent
366,TLS Mismatch On,Agent
367,TLS Mismatch Off,Agent
401,IIS stopped,Agent
402,IIS start pending,Agent
403,IIS stop pending,Agent
404,IIS running,Agent
405,IIS continue pending,Agent
406,IIS pause pending,Agent
407,IIS paused,Agent
410,Site prop changed,Agent
411,TLS binding added,Agent
412,TLS binding removed,Agent
413,TLS binding changed,Agent
414,Cert changed,Agent
415,Cert status changed,Agent
416,TLS Mismatch On,Agent
417,TLS Mismatch Off,Agent
420,Unknown,Agent
421,Config added,Agent
422,Config removed,Agent
423,Config changed,Agent
451,IIS stopped,Agent
452,IIS start pending,Agent
453,IIS stop pending,Agent
454,IIS running,Agent
455,IIS continue pending,Agent
456,IIS pause pending,Agent
457,IIS paused,Agent
460,Site prop changed,Agent
461,TLS binding added,Agent
462,TLS binding removed,Agent
463,TLS binding changed,Agent
464,Cert changed,Agent
465,Cert status changed,Agent
466,TLS Mismatch On,Agent
467,TLS Mismatch Off,Agent
470,Unknown,Agent
471,Config added,Agent
472,Config removed,Agent
473,Config changed,Agent
501,nFAST stopped,Agent
502,nFAST start pending,Agent
503,nFAST stop pending,Agent
504,nFAST running,Agent
505,nFAST continue pending,Agent
506,nFAST pause pending,Agent
507,nFAST paused,Agent
510,Module connected,Agent
511,Module disconnected,Agent
512,Module property changed,Agent
513,Module fault,Agent
551,WU stopped,Agent
552,WU start pending,Agent
553,WU stop pending,Agent
554,WU running,Agent
555,WU continue pending,Agent
556,WU pause pending,Agent
557,WU paused,Agent
561,FW stopped,Agent
562,FW start pending,Agent
563,FW stop pending,Agent
564,FW running,Agent
565,FW continue pending,Agent
566,FW pause pending,Agent
567,FW paused,Agent
610,Subcontainer added,Agent
611,Subcontainer removed,Agent
613,Entry added,Agent
614,Entry removed,Agent
615,Entry changed,Agent
620,Certificate added,Agent
621,Certificate removed,Agent
625,Base CRL added,Agent
626,Base CRL removed,Agent
627,Base CRL changed,Agent
628,Delta CRL added,Agent
629,Delta CRL removed,Agent
635,Unchanged,Agent
636,Owner changed,Agent
637,ACE changed,Agent
638,ACE added,Agent
639,ACE removed,Agent
641,Extension enabled,Agent
642,Extension disabled,Agent
643,Extension changed,Agent
1,Exception,Controller
10,Registered,Controller
11,Approved,Controller
12,Unapproved,Controller
13,Deleted,Controller
14,Authenticated,Controller
15,Renamed,Controller
20,Agent assigned,Controller
21,Forest deleted,Controller
31,License added,Controller
33,Unlicensed,Controller
34,About to expire,Controller
35,License expired,Controller
36,Overlicensed,Controller
