EdgePathingStatus,description,EdgePathingOp,EdgePathingSrc,action,signature,dataset_name
nr,"There is no reputation data for the IP and no action is being taken (if IUAM is on, a JS challenge is served).",wl,macro,allowed,,
wl,IP is explicitly allowlisted.,wl,macro,allowed,,
scan,IP is explicitly allowlisted and categorized as a security scanner.,wl,macro,allowed,,
mon,IP is explicitly allowlisted and categorized as a Monitoring Service.,wl,macro,allowed,,
bak,IP is explicitly allowlisted and categorized as a Backup Service.,wl,macro,allowed,,
mob,IP is explicitly allowlisted and categorized as Mobile Proxy Service.,wl,macro,allowed,,
se,IP is explicitly allowlisted as it belongs to a search engine crawler and no action is taken.,wl,macro,allowed,,
grey,"IP is greylisted (suspected to be bad) but the request was either for a favicon or security is turned off and as such, it is allowlisted.",wl,macro,allowed,,
bad_ok,"The reputation score of the IP is bad (or is a TOR IP) but the request was either for a favicon or security is turned off and as such, it is allowlisted. Alternatively, the threat score of the IP is in the accepted security level.",wl,macro,allowed,reputation,ids
badok,"The reputation score of the IP is bad (or is a TOR IP) but the request was either for a favicon or security is turned off and as such, it is allowlisted. Alternatively, the threat score of the IP is in the accepted security level.",wl,macro,allowed,reputation,ids
unknown,The pathing_status is unknown and the request is being processed as normal.,wl,macro,allowed,,
