result_id,object_attrs,object,object_category,change_type
A,Password change by API,account,password,AAA
F,Forced password reset,account,password,AAA
M,Password reset on mismatch,account,password,AAA
N,Manual password entry for new account,account,password,AAA
O,Initial onboarding via smart rule
P,Change by EPM agent
R,Post release password reset
S,Scheduled password change
T,Ticket approval release password reset
U,Manual password entry,account,password,AAA
V,Approval release password reset,account,password,AAA
X,Synced password with primary,account,password,AAA
Y,Un-synced password from primary,account,password,AAA
Z,Forced password sync with primary,account,password,AAA
