event,trigger,dataset_name,action,change_type,type,status
account_added,A new account has been added and saved.,change,created,account,,success
account_changed,An existing account has been modified and saved.,change,modified,account,,success
account_removed,An existing account has been deleted.,change,deleted,account,,success
account_group_added,A new account group has been added and saved.,change,created,group,,success
account_group_changed,An existing account group has been modified and saved.,change,modified,group,,success
account_group_removed,An existing account group has been deleted.,change,deleted,group,,success
account_jump_item_association_added,An association with a Jump Item was added for the account.,change,modified,filesystem,,success
account_jump_item_association_changed,An association with a Jump Item was changed for the account.,change,modified,filesystem,,success
account_jump_item_direct_association_added,The account is allowed to be injected for the specific Jump Items.,change,updated,account,,success
account_jump_item_direct_association_removed,The account is removed from the allowed list to be injected for the specific Jump Items.,change,updated,account,,success
accounts_changed,The group of one or more accounts was modified.,change,modified,group,,success
admin_password_reset_to_factory_default,"The Reset Admin Account button has been clicked, reverting a site's administrative account to its default credentials.",alert,,,alarm,
api_account_added,A new API account has been added and saved.,change,created,service,,success
api_account_changed,An existing API account has been modified and saved.,change,modified,service,,success
api_account_removed,An existing API account has been deleted.,change,deleted,service,,success
backup_created,A backup of the current software configuration has been saved.,alert,,,alert,
canned_script_added,A new canned script has been added and saved.,change,created,scripts,,success
canned_script_category_added,"A canned script has been newly assigned to a category, and the script has been saved.",change,created,scripts,,success
canned_script_category_removed,"A previously assigned canned message has been unassigned from a category, and the script has been saved.",change,modified,scripts,,success
canned_script_changed,"An existing canned script's name, description, or command sequence has been changed, and the change has been saved.",change,modified,scripts,,success
canned_script_file_added,"A resource file has been newly associated with a canned script, and the script has been saved.",change,modified,scripts,,success
canned_script_file_removed,"A previously associated resource file has been removed from a canned script, and the script has been saved.",change,modified,scripts,,success
canned_script_removed,An existing canned script has been deleted.,change,deleted,scripts,,success
canned_script_team_added,"A team has been newly assigned to a canned script, and the script has been saved.",change,modified,scripts,,success
canned_script_team_removed,"A previously assigned team has been unassigned from a canned script, and the script has been saved.",change,modified,scripts,,success
canned_scripts_category_added,A new canned scripts category has been created.,change,modified,scripts,,success
canned_scripts_category_removed,An existing canned scripts category has been deleted.,change,modified,scripts,,success
canned_scripts_file_added,A new canned script resource file has been uploaded.,change,modified,scripts,,success
canned_scripts_file_removed,An existing canned script resource file has been deleted.,change,modified,scripts,,success
certificate_export,An SSL certificate has been exported from the B Series Appliance.,alert,,,alert,
change_display_name,A user has attempted to change their display name.,alert,,,alert,
change_password,A user has attempted to change their password.,alert,,,alert,
change_username,A user has attempted to change their username.,alert,,,alert,
command_shell_filtering_regex_list,The list of Shell Prompt patterns.,change,read,filesystem,,success
custom_rep_link_added,A new custom link has been added and saved.,change,created,filesystem,,success
custom_rep_link_changed,An existing custom link has been edited and saved.,change,modified,filesystem,,success
custom_rep_link_removed,An existing custom link has been deleted.,change,deleted,filesystem,,success
custom_session_attribute_added,A new custom field for API integration has been added and saved.,change,created,service,,success
custom_session_attribute_changed,An existing custom field for API integration has been edited and saved.,change,modified,service,,success
custom_session_attribute_removed,An existing custom field for API integration has been removed.,change,modified,service,,success
custom_session_policy_added,"Custom session permissions have been added to a user account, and the user account has been saved.",change,modified,AAA,,success
custom_session_policy_changed,"Existing custom session permissions have been edited, and the user account has been saved.",change,modified,AAA,,success
custom_session_policy_removed,"Existing custom session permissions have been removed from a user account, and the user account has been saved.",change,modified,AAA,,success
custom_special_action_added,A new custom special action has been added and saved.,change,modified,filesystem,,success
custom_special_action_changed,An existing custom special action has been edited and saved.,change,modified,filesystem,,success
custom_special_action_removed,An existing custom special action has been removed.,change,modified,filesystem,,success
customizable_text_changed,An existing login agreement has been changed.,change,modified,filesystem,,success
domain_added,A new vault domain has been added and saved.,change,modified,filesystem,,success
domain_changed,An existing account has been modified and saved.,change,modified,filesystem,,success
domain_removed,An existing vault domain has been deleted.,change,deleted,filesystem,,success
downloaded_rep_client,A user has clicked the link to download the access console.,alert,,,alarm,
ecm_group_added,An ECM Group has been added.,change,created,group,,success
ecm_group_changed,An ECM Group has been changed.,change,modified,group,,success
ecm_group_removed,An ECM Group has been removed.,change,modified,group,,success
endpoint_changed,An existing endpoint has been modified and saved.,alert,,,alert,
endpoint_removed,An existing endpoint has been deleted.,alert,,,alarm,
eula_accepted,"The BeyondTrust PRA Cloud end user license agreement (EULA) has been accepted by a user, and the username has been recorded.",alert,,,alert,
file_removed_from_file_store,A file has been deleted from the file store.,change,deleted,filesystem,,success
file_uploaded_to_file_store,A file has been added to the file store.,change,created,filesystem,,success
group_policy_add_to_jump_group_added,A Jump Group has been added to a group policy's Add To Jump Groups list.,change,updated,policy,,success
group_policy_add_to_jump_group_removed,A Jump Group has been removed from a group policy's Add To Jump Groups list.,change,modified,policy,,success
group_policy_add_to_jumpoint_added,A Jumpoint has been added to a group policy's Add To Jumpoints list.,change,modified,policy,,success
group_policy_add_to_jumpoint_removed,A Jumpoint has been removed from a group policy's Add To Jumpoints list.,change,modified,policy,,success
group_policy_add_to_support_teams_added,A team has been added to a group policy's Add To Teams list.,change,modified,policy,,success
group_policy_add_to_support_teams_removed ,A team has been removed from a group policy's Add To Teams list.,change,modified,policy,,success
group_policy_added,A new group policy has been created and saved.,change,updated,policy,,success
