event,dataset_name,action,change_type,type
Deleted Sites,change,deleted,sites,
Form Filled,change,modified,form,
Login,authentication,,,
Site Changed,change,modified,sites,
addsecurenote,change,modified,note,
addtosharedfolder,change,modified,folder,
admin_console_login,authentication,,,
createLPaccount,change,created,AAA,
createdsharedfolder,change,created,folder,
disabled,change,modified,filesystem,
editsecurenote,change,modified,note,
masterpasswordchanged,change,modified,AAA,
masterpasswordreuse,alert,,,alert
movetosharedfolder,change,modified,folder,
opensecurenote,change,read,note,
passwordchanged,change,modified,AAA,
removedfromsharedfolder,change,modified,folder,
saml,saml,,,
sharedfolderdeletedsites,change,deleted,sites,
siteadded,change,modified,sites,
usernamechanged,change,modified,AAA,
