ActionText,dataset_name,action,change_type,type
Add to shared folder,change,modified,folder,
Creating user,change,created,AAA,
Failed login attempt,failed_login,,,
Get shared folder data,change,read,folder,
Get user data,user_data,,,
Log in,authentication,success,,
Login verification email sent,login_verification,,,event
Master password changed,change,modified,AAA,
Master password reuse,alert,,,alert
Move to shared folder,change,modified,folder,
Multifactor enabled,change,updated,AAA,
Open secure note,change,read,note,
Password changed,change,modified,AAA,
Reporting,reporting,,,alert
Sharing key updated,change,updated,key,
Site Changed,change,modified,site,
Site added,change,modified,site,
Username changed,change,modified,AAA,
