Type,Frequency,Cron,Window,Earliest,Latest
Indicator,h,0 * * * *,15,-1h@h,-0h@h
Indicator,d,0 0 * * *,60,-1d@d,-0d@d
Indicator,w,0 0 * * 0,60,-1w@w,-0w@w
Indicator,m,0 0 1 * *,60,-1mon@mon,-0mon@mon
Score,h,5 * * * *,15,-1h@h,-0h@h
Score,d,0 1 * * *,60,-1d@d,-0d@d
Score,w,0 1 * * 0,60,-1w@w,-0w@w
Score,m,0 1 1 * *,60,-1mon@mon,-0mon@mon
Baseline,h,0 * * * *,15,-1h@h,-0h@h
Baseline,d,0 0 * * *,180,-1d@d,-0d@d
Baseline,w,0 0 * * 0,180,-1w@w,-0w@w
Baseline,m,0 0 1 * *,180,-1mon@mon,-0mon@mon
