"EVENT_DESCRIPTION","EVENT_ID","EVENT_SOURCE"
"The event logging service has shut down",1100,Windows
"Audit events have been dropped by the transport.",1101,Windows
"The audit log was cleared",1102,Windows
"The security Log is now full",1104,Windows
"Event log automatic backup",1105,Windows
"The event logging service encountered an error",1108,Windows
"Windows is starting up",4608,Windows
"Windows is shutting down",4609,Windows
"An authentication package has been loaded by the Local Security Authority",4610,Windows
"A trusted logon process has been registered with the Local Security Authority",4611,Windows
"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.",4612,Windows
"A notification package has been loaded by the Security Account Manager.",4614,Windows
"Invalid use of LPC port",4615,Windows
"The system time was changed.",4616,Windows
"A monitored security event pattern has occurred",4618,Windows
"Administrator recovered system from CrashOnAuditFail",4621,Windows
"A security package has been loaded by the Local Security Authority.",4622,Windows
"An account was successfully logged on",4624,Windows
"An account failed to log on",4625,Windows
"User/Device claims information",4626,Windows
"Group membership information.",4627,Windows
"An account was logged off",4634,Windows
"IKE DoS-prevention mode started",4646,Windows
"User initiated logoff",4647,Windows
"A logon was attempted using explicit credentials",4648,Windows
"A replay attack was detected",4649,Windows
"An IPsec Main Mode security association was established",4650,Windows
"An IPsec Main Mode security association was established",4651,Windows
"An IPsec Main Mode negotiation failed",4652,Windows
"An IPsec Main Mode negotiation failed",4653,Windows
"An IPsec Quick Mode negotiation failed",4654,Windows
"An IPsec Main Mode security association ended",4655,Windows
"A handle to an object was requested",4656,Windows
"A registry value was modified",4657,Windows
"The handle to an object was closed",4658,Windows
"A handle to an object was requested with intent to delete",4659,Windows
"An object was deleted",4660,Windows
"A handle to an object was requested",4661,Windows
"An operation was performed on an object",4662,Windows
"An attempt was made to access an object",4663,Windows
"An attempt was made to create a hard link",4664,Windows
"An attempt was made to create an application client context.",4665,Windows
"An application attempted an operation",4666,Windows
"An application client context was deleted",4667,Windows
"An application was initialized",4668,Windows
"Permissions on an object were changed",4670,Windows
"An application attempted to access a blocked ordinal through the TBS",4671,Windows
"Special privileges assigned to new logon",4672,Windows
"A privileged service was called",4673,Windows
"An operation was attempted on a privileged object",4674,Windows
"SIDs were filtered",4675,Windows
"A new process has been created",4688,Windows
"A process has exited",4689,Windows
"An attempt was made to duplicate a handle to an object",4690,Windows
"Indirect access to an object was requested",4691,Windows
"Backup of data protection master key was attempted",4692,Windows
"Recovery of data protection master key was attempted",4693,Windows
"Protection of auditable protected data was attempted",4694,Windows
"Unprotection of auditable protected data was attempted",4695,Windows
"A primary token was assigned to process",4696,Windows
"A service was installed in the system",4697,Windows
"A scheduled task was created",4698,Windows
"A scheduled task was deleted",4699,Windows
"A scheduled task was enabled",4700,Windows
"A scheduled task was disabled",4701,Windows
"A scheduled task was updated",4702,Windows
"A token right was adjusted",4703,Windows
"A user right was assigned",4704,Windows
"A user right was removed",4705,Windows
"A new trust was created to a domain",4706,Windows
"A trust to a domain was removed",4707,Windows
"IPsec Services was started",4709,Windows
"IPsec Services was disabled",4710,Windows
"PAStore Engine (1%)",4711,Windows
"IPsec Services encountered a potentially serious failure",4712,Windows
"Kerberos policy was changed",4713,Windows
"Encrypted data recovery policy was changed",4714,Windows
"The audit policy (SACL) on an object was changed",4715,Windows
"Trusted domain information was modified",4716,Windows
"System security access was granted to an account",4717,Windows
"System security access was removed from an account",4718,Windows
"System audit policy was changed",4719,Windows
"A user account was created",4720,Windows
"A user account was enabled",4722,Windows
"An attempt was made to change an account's password",4723,Windows
"An attempt was made to reset an accounts password",4724,Windows
"A user account was disabled",4725,Windows
"A user account was deleted",4726,Windows
"A security-enabled global group was created",4727,Windows
"A member was added to a security-enabled global group",4728,Windows
"A member was removed from a security-enabled global group",4729,Windows
"A security-enabled global group was deleted",4730,Windows
"A security-enabled local group was created",4731,Windows
"A member was added to a security-enabled local group",4732,Windows
"A member was removed from a security-enabled local group",4733,Windows
"A security-enabled local group was deleted",4734,Windows
"A security-enabled local group was changed",4735,Windows
"A security-enabled global group was changed",4737,Windows
"A user account was changed",4738,Windows
"Domain Policy was changed",4739,Windows
"A user account was locked out",4740,Windows
"A computer account was created",4741,Windows
"A computer account was changed",4742,Windows
"A computer account was deleted",4743,Windows
"A security-disabled local group was created",4744,Windows
"A security-disabled local group was changed",4745,Windows
"A member was added to a security-disabled local group",4746,Windows
"A member was removed from a security-disabled local group",4747,Windows
"A security-disabled local group was deleted",4748,Windows
"A security-disabled global group was created",4749,Windows
"A security-disabled global group was changed",4750,Windows
"A member was added to a security-disabled global group",4751,Windows
"A member was removed from a security-disabled global group",4752,Windows
"A security-disabled global group was deleted",4753,Windows
"A security-enabled universal group was created",4754,Windows
"A security-enabled universal group was changed",4755,Windows
"A member was added to a security-enabled universal group",4756,Windows
"A member was removed from a security-enabled universal group",4757,Windows
"A security-enabled universal group was deleted",4758,Windows
"A security-disabled universal group was created",4759,Windows
"A security-disabled universal group was changed",4760,Windows
"A member was added to a security-disabled universal group",4761,Windows
"A member was removed from a security-disabled universal group",4762,Windows
"A security-disabled universal group was deleted",4763,Windows
"A groups type was changed",4764,Windows
"SID History was added to an account",4765,Windows
"An attempt to add SID History to an account failed",4766,Windows
"A user account was unlocked",4767,Windows
"A Kerberos authentication ticket (TGT) was requested",4768,Windows
"A Kerberos service ticket was requested",4769,Windows
"A Kerberos service ticket was renewed",4770,Windows
"Kerberos pre-authentication failed",4771,Windows
"A Kerberos authentication ticket request failed",4772,Windows
"A Kerberos service ticket request failed",4773,Windows
"An account was mapped for logon",4774,Windows
"An account could not be mapped for logon",4775,Windows
"The domain controller attempted to validate the credentials for an account",4776,Windows
"The domain controller failed to validate the credentials for an account",4777,Windows
"A session was reconnected to a Window Station",4778,Windows
"A session was disconnected from a Window Station",4779,Windows
"The ACL was set on accounts which are members of administrators groups",4780,Windows
"The name of an account was changed",4781,Windows
"The password hash an account was accessed",4782,Windows
"A basic application group was created",4783,Windows
"A basic application group was changed",4784,Windows
"A member was added to a basic application group",4785,Windows
"A member was removed from a basic application group",4786,Windows
"A non-member was added to a basic application group",4787,Windows
"A non-member was removed from a basic application group..",4788,Windows
"A basic application group was deleted",4789,Windows
"An LDAP query group was created",4790,Windows
"A basic application group was changed",4791,Windows
"An LDAP query group was deleted",4792,Windows
"The Password Policy Checking API was called",4793,Windows
"An attempt was made to set the Directory Services Restore Mode administrator password",4794,Windows
"An attempt was made to query the existence of a blank password for an account",4797,Windows
"A user's local group membership was enumerated.",4798,Windows
"A security-enabled local group membership was enumerated",4799,Windows
"The workstation was locked",4800,Windows
"The workstation was unlocked",4801,Windows
"The screen saver was invoked",4802,Windows
"The screen saver was dismissed",4803,Windows
"RPC detected an integrity violation while decrypting an incoming message",4816,Windows
"Auditing settings on object were changed.",4817,Windows
"Proposed Central Access Policy does not grant the same access permissions as the current Central Access Policy",4818,Windows
"Central Access Policies on the machine have been changed",4819,Windows
"A Kerberos Ticket-granting-ticket (TGT) was denied because the device does not meet the access control restrictions",4820,Windows
"A Kerberos service ticket was denied because the user, device, or both does not meet the access control restrictions",4821,Windows
"NTLM authentication failed because the account was a member of the Protected User group",4822,Windows
"NTLM authentication failed because access control restrictions are required",4823,Windows
"Kerberos preauthentication by using DES or RC4 failed because the account was a member of the Protected User group",4824,Windows
"A user was denied the access to Remote Desktop. By default, users are allowed to connect only if they are members of the Remote Desktop Users group or Administrators group",4825,Windows
"Boot Configuration Data loaded",4826,Windows
"SID History was removed from an account",4830,Windows
"A namespace collision was detected",4864,Windows
"A trusted forest information entry was added",4865,Windows
"A trusted forest information entry was removed",4866,Windows
"A trusted forest information entry was modified",4867,Windows
"The certificate manager denied a pending certificate request",4868,Windows
"Certificate Services received a resubmitted certificate request",4869,Windows
"Certificate Services revoked a certificate",4870,Windows
"Certificate Services received a request to publish the certificate revocation list (CRL)",4871,Windows
"Certificate Services published the certificate revocation list (CRL)",4872,Windows
"A certificate request extension changed",4873,Windows
"One or more certificate request attributes changed.",4874,Windows
"Certificate Services received a request to shut down",4875,Windows
"Certificate Services backup started",4876,Windows
"Certificate Services backup completed",4877,Windows
"Certificate Services restore started",4878,Windows
"Certificate Services restore completed",4879,Windows
"Certificate Services started",4880,Windows
"Certificate Services stopped",4881,Windows
"The security permissions for Certificate Services changed",4882,Windows
"Certificate Services retrieved an archived key",4883,Windows
"Certificate Services imported a certificate into its database",4884,Windows
"The audit filter for Certificate Services changed",4885,Windows
"Certificate Services received a certificate request",4886,Windows
"Certificate Services approved a certificate request and issued a certificate",4887,Windows
"Certificate Services denied a certificate request",4888,Windows
"Certificate Services set the status of a certificate request to pending",4889,Windows
"The certificate manager settings for Certificate Services changed.",4890,Windows
"A configuration entry changed in Certificate Services",4891,Windows
"A property of Certificate Services changed",4892,Windows
"Certificate Services archived a key",4893,Windows
"Certificate Services imported and archived a key",4894,Windows
"Certificate Services published the CA certificate to Active Directory Domain Services",4895,Windows
"One or more rows have been deleted from the certificate database",4896,Windows
"Role separation enabled",4897,Windows
"Certificate Services loaded a template",4898,Windows
"A Certificate Services template was updated",4899,Windows
"Certificate Services template security was updated",4900,Windows
"The Per-user audit policy table was created",4902,Windows
"An attempt was made to register a security event source",4904,Windows
"An attempt was made to unregister a security event source",4905,Windows
"The CrashOnAuditFail value has changed",4906,Windows
"Auditing settings on object were changed",4907,Windows
"Special Groups Logon table modified",4908,Windows
"The local policy settings for the TBS were changed",4909,Windows
"The group policy settings for the TBS were changed",4910,Windows
"Resource attributes of the object were changed",4911,Windows
"Per User Audit Policy was changed",4912,Windows
"Central Access Policy on the object was changed",4913,Windows
"An Active Directory replica source naming context was established",4928,Windows
"An Active Directory replica source naming context was removed",4929,Windows
"An Active Directory replica source naming context was modified",4930,Windows
"An Active Directory replica destination naming context was modified",4931,Windows
"Synchronization of a replica of an Active Directory naming context has begun",4932,Windows
"Synchronization of a replica of an Active Directory naming context has ended",4933,Windows
"Attributes of an Active Directory object were replicated",4934,Windows
"Replication failure begins",4935,Windows
"Replication failure ends",4936,Windows
"A lingering object was removed from a replica",4937,Windows
"The following policy was active when the Windows Firewall started",4944,Windows
"A rule was listed when the Windows Firewall started",4945,Windows
"A change has been made to Windows Firewall exception list. A rule was added",4946,Windows
"A change has been made to Windows Firewall exception list. A rule was modified",4947,Windows
"A change has been made to Windows Firewall exception list. A rule was deleted",4948,Windows
"Windows Firewall settings were restored to the default values",4949,Windows
"A Windows Firewall setting has changed",4950,Windows
"A rule has been ignored because its major version number was not recognized by Windows Firewall",4951,Windows
"Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall",4952,Windows
"A rule has been ignored by Windows Firewall because it could not parse the rule",4953,Windows
"Windows Firewall Group Policy settings has changed. The new settings have been applied",4954,Windows
"Windows Firewall has changed the active profile",4956,Windows
"Windows Firewall did not apply the following rule",4957,Windows
"Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer",4958,Windows
"IPsec dropped an inbound packet that failed an integrity check",4960,Windows
"IPsec dropped an inbound packet that failed a replay check",4961,Windows
"IPsec dropped an inbound packet that failed a replay check",4962,Windows
"IPsec dropped an inbound clear text packet that should have been secured",4963,Windows
"Special groups have been assigned to a new logon",4964,Windows
"IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI).",4965,Windows
"During Main Mode negotiation, IPsec received an invalid negotiation packet.",4976,Windows
"During Quick Mode negotiation, IPsec received an invalid negotiation packet.",4977,Windows
"During Extended Mode negotiation, IPsec received an invalid negotiation packet.",4978,Windows
"IPsec Main Mode and Extended Mode security associations were established.",4979,Windows
"IPsec Main Mode and Extended Mode security associations were established",4980,Windows
"IPsec Main Mode and Extended Mode security associations were established",4981,Windows
"IPsec Main Mode and Extended Mode security associations were established",4982,Windows
"An IPsec Extended Mode negotiation failed",4983,Windows
"An IPsec Extended Mode negotiation failed",4984,Windows
"The state of a transaction has changed",4985,Windows
"The Windows Firewall Service has started successfully",5024,Windows
"The Windows Firewall Service has been stopped",5025,Windows
"The Windows Firewall Service was unable to retrieve the security policy from the local storage",5027,Windows
"The Windows Firewall Service was unable to parse the new security policy.",5028,Windows
"The Windows Firewall Service failed to initialize the driver",5029,Windows
"The Windows Firewall Service failed to start",5030,Windows
"The Windows Firewall Service blocked an application from accepting incoming connections on the network.",5031,Windows
"Windows Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network",5032,Windows
"The Windows Firewall Driver has started successfully",5033,Windows
"The Windows Firewall Driver has been stopped",5034,Windows
"The Windows Firewall Driver failed to start",5035,Windows
"The Windows Firewall Driver detected critical runtime error. Terminating",5037,Windows
"Code integrity determined that the image hash of a file is not valid",5038,Windows
"A registry key was virtualized.",5039,Windows
"A change has been made to IPsec settings. An Authentication Set was added.",5040,Windows
"A change has been made to IPsec settings. An Authentication Set was modified",5041,Windows
"A change has been made to IPsec settings. An Authentication Set was deleted",5042,Windows
"A change has been made to IPsec settings. A Connection Security Rule was added",5043,Windows
"A change has been made to IPsec settings. A Connection Security Rule was modified",5044,Windows
"A change has been made to IPsec settings. A Connection Security Rule was deleted",5045,Windows
"A change has been made to IPsec settings. A Crypto Set was added",5046,Windows
"A change has been made to IPsec settings. A Crypto Set was modified",5047,Windows
"A change has been made to IPsec settings. A Crypto Set was deleted",5048,Windows
"An IPsec Security Association was deleted",5049,Windows
"An attempt to programmatically disable the Windows Firewall using a call to INetFwProfile.FirewallEnabled(FALSE",5050,Windows
"A file was virtualized",5051,Windows
"A cryptographic self test was performed",5056,Windows
"A cryptographic primitive operation failed",5057,Windows
"Key file operation",5058,Windows
"Key migration operation",5059,Windows
"Verification operation failed",5060,Windows
"Cryptographic operation",5061,Windows
"A kernel-mode cryptographic self test was performed",5062,Windows
"A cryptographic provider operation was attempted",5063,Windows
"A cryptographic context operation was attempted",5064,Windows
"A cryptographic context modification was attempted",5065,Windows
"A cryptographic function operation was attempted",5066,Windows
"A cryptographic function modification was attempted",5067,Windows
"A cryptographic function provider operation was attempted",5068,Windows
"A cryptographic function property operation was attempted",5069,Windows
"A cryptographic function property operation was attempted",5070,Windows
"Key access denied by Microsoft key distribution service",5071,Windows
"OCSP Responder Service Started",5120,Windows
"OCSP Responder Service Stopped",5121,Windows
"A Configuration entry changed in the OCSP Responder Service",5122,Windows
"A configuration entry changed in the OCSP Responder Service",5123,Windows
"A security setting was updated on OCSP Responder Service",5124,Windows
"A request was submitted to OCSP Responder Service",5125,Windows
"Signing Certificate was automatically updated by the OCSP Responder Service",5126,Windows
"The OCSP Revocation Provider successfully updated the revocation information",5127,Windows
"A directory service object was modified",5136,Windows
"A directory service object was created",5137,Windows
"A directory service object was undeleted",5138,Windows
"A directory service object was moved",5139,Windows
"A network share object was accessed",5140,Windows
"A directory service object was deleted",5141,Windows
"A network share object was added.",5142,Windows
"A network share object was modified",5143,Windows
