"assessment_objective","assessment_objective_id","nist_control","raw_list","status_type"
"authorized users are identified.","3.1.1[a]","3.1.1","3.1.1[a] authorized users are identified.",objective
"processes acting on behalf of authorized users are identified.","3.1.1[b]","3.1.1","3.1.1[b] processes acting on behalf of authorized users are identified.",objective
"devices (and other systems) authorized to connect to the system are identified.","3.1.1[c]","3.1.1","3.1.1[c] devices (and other systems) authorized to connect to the system are identified.",objective
"system access is limited to authorized users.","3.1.1[d]","3.1.1","3.1.1[d] system access is limited to authorized users.",objective
"system access is limited to processes acting on behalf of authorized users.","3.1.1[e]","3.1.1","3.1.1[e] system access is limited to processes acting on behalf of authorized users.",objective
"system access is limited to authorized devices (including other systems).","3.1.1[f]","3.1.1","3.1.1[f] system access is limited to authorized devices (including other systems).",objective
"the types of transactions and functions that authorized users are permitted to execute are defined.","3.1.2[a]","3.1.2","3.1.2[a] the types of transactions and functions that authorized users are permitted to execute are defined.",objective
"system access is limited to the defined types of transactions and functions for authorized users.","3.1.2[b]","3.1.2","3.1.2[b] system access is limited to the defined types of transactions and functions for authorized users.",objective
"information flow control policies are defined.","3.1.3[a]","3.1.3","3.1.3[a] information flow control policies are defined.",objective
"methods and enforcement mechanisms for controlling the flow of CUI are defined.","3.1.3[b]","3.1.3","3.1.3[b] methods and enforcement mechanisms for controlling the flow of CUI are defined.",objective
"designated sources and destinations (e.g.","3.1.3[c]","3.1.3","3.1.3[c] designated sources and destinations (e.g.",objective
"authorizations for controlling the flow of CUI are defined.","3.1.3[d]","3.1.3","3.1.3[d] authorizations for controlling the flow of CUI are defined.",objective
"approved authorizations for controlling the flow of CUI are enforced.","3.1.3[e]","3.1.3","3.1.3[e] approved authorizations for controlling the flow of CUI are enforced.",objective
"the duties of individuals requiring separation are defined.","3.1.4[a]","3.1.4","3.1.4[a] the duties of individuals requiring separation are defined.",objective
"responsibilities for duties that require separation are assigned to separate individuals.","3.1.4[b]","3.1.4","3.1.4[b] responsibilities for duties that require separation are assigned to separate individuals.",objective
"access privileges that enable individuals to exercise the duties that require separation are granted to separate individuals.","3.1.4[c]","3.1.4","3.1.4[c] access privileges that enable individuals to exercise the duties that require separation are granted to separate individuals.",objective
"privileged accounts are identified.","3.1.5[a]","3.1.5","3.1.5[a] privileged accounts are identified.",objective
"access to privileged accounts is authorized in accordance with the principle of least privilege.","3.1.5[b]","3.1.5","3.1.5[b] access to privileged accounts is authorized in accordance with the principle of least privilege.",objective
