action,operation_name
modified,StoryItemsMovement
modified,ActionsOptionsChange
deleted,StoryEventDeletion
deleted,StoryItemsDestruction
modified,ActionMetricsChamge
modified,ActionsDisabledChange
modified,ActionsNameChange
modified,ActionOptionsChange
modified,AnnotationContentChange
created,AuthenticationTokenCreation
created,StoryItemsCreation
created,ExampleStoryImport
modified,StoryNameChange
updated,StoryTagsUpdate
cleared,ActionLogsClearance
cleared,ActionMemoryClearance
modified,ActionSizeChange
modified,ActionDisabledChange
modified,ActionsMonitoringChange
modified,ActionsNameChange
modified,ActionsScheduleChange
created,AnalyticsCapture
modified,AnnotationSizeChange
deleted,ArchivedStoryDeleteAll
deleted,ArchivedStoryDeletion
deleted,AuthenticationTokenDeletion
modified,BatchStoryArchive
deleted,CredentialDestruction
modified,CredentialMovement
restarted,CredentialOauthTokenRefresh
modified,CredentialReplacement
created,CredentialSave
created,CustomCertificateAuthoritySet
deleted,EventDeletion
created,FolderCreation
deletion,FolderDestruction
updated,FolderUpdate
updated,FormFieldAddition
deleted,FormFieldRemoval
modified,FormFieldReorder
updated,FormFieldUpdate	
updated,FormUpdate
read,GroupExtraction
modified,GroupFlatten
deleted,JobsQueuedDeletion
restart,JobsRetryingDeletion
created,LastEventReEmission
modified,LinkChange
created,ResourceCreation
deleted,ResourceDestruction
modified,ResourceEdit
modified,ResourceMovement
modified,ResourceReplacement


