id,descrizione
C1,Accesso iniziale (Initial access). Il soggetto ha evidenza dell'effettivo accesso non autorizzato all'interno della rete attraverso vettori di infezione lo sfruttamento di vulnerabilità di risorse esposte pubblicamente o qualsiasi altra tecnica nota.
C2,Esecuzione (Execution). Il soggetto ha evidenza dell'effettiva esecuzione non autorizzata di codice o malware all'interno della rete aziendale.
C3,Ottenimento di privilegi di livello superiore (Privilege Escalation). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche condotte dall'interno della rete utili ad ottenere permessi di livello superiore su un sistema o una rete.
C4,Persistenza (Persistence). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche condotte su un sistema o all'interno della rete utili ad ottenere persistenza di codice malevolo o a garantire un accesso.
C5,Evasione delle difese (Defence Evasion). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche di elusione di politiche e/o sistemi di sicurezza volte ad evitare il rilevamento durante un tentativo di compromissione.
C6,Comando e Controllo (Command and Control). Il soggetto ha evidenza di comunicazioni non autorizzate verso l'esterno della rete.
C7,Esplorazione (Discovery). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche condotte dall'interno della rete utili a effettuare attività di ricognizione per acquisire conoscenze sul sistema e sulla rete interna.
C8,Raccolta di credenziali (Credential Access). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili ad acquisire dall'interno della rete credenziali valide per l'autenticazione alle risorse di rete o ne rinviene copie non autorizzate.
C9,Movimenti laterali (Lateral Movement). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili ad accedere controllare eseguire codice tra le risorse interne della rete.
C10,Raccolta (Collection). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili a ricercare e/o raccogliere dall'interno della rete dati riservati e/o sensibili ovvero ne rilevi la presenza al di fuori dei sistemi autorizzati alla trattazione degli stessi.
C11,Esfiltrazione (Exfiltration). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili ad esfiltrare dati dall'interno della rete verso risorse esterne.
C12,Inibizione delle funzioni di risposta (Inhibit Response Function). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili a inibire l'intervento delle funzioni di sicurezza di protezione e di quality assurance dei sistemi di controllo industriale predisposte per rispondere a un disservizio o a uno stato anomalo.
C13,Compromissione dei processi di controllo (Impair Process Control). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili a manipolare disabilitare o danneggiare i processi di controllo fisico di sistemi di controllo industriale.
C14,Disservizio intenzionale (Impact). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili a manipolare degradare interrompere o distruggere i sistemi i servizi o i dati. In tale ambito rientrano ad esempio gli eventi di tipo Denial of Service/Distributed Denial of Service che hanno impatto sui beni ICT.
C15,La ricognizione consiste in tecniche che gli avversari adottano per raccogliere attivamente o passivamente informazioni potenzialmente sfruttabili per successive attività. Nella specifica categoria sono da ricomprendere le campagne ancorché prive di impatto su assetti aziendali rilevate via posta elettronica (PEO e/o PEC) e costituite da messaggi altamente personalizzati (spearphishing) indirizzati a utenti multipli della stessa organizzazione e finalizzati alla cattura di informazioni (ad esempio tramite l'uso di allegati malevoli ocollegamenti web).
