EventName,dataset_name,action,change_type
add,change,modified,filesystem
audit-commit,change,updated,filesystem
clone,change,created,filesystem
commit,change,updated,filesystem
commit-all,change,updated,filesystem
delete,change,deleted,filesystem
edit,change,modified,filesystem
move,change,updated,filesystem
multi-clone,change,created,filesystem
push-config ,change,updated,filesystem
rename,change,modified,filesystem
request,request,,
set,change,modified,filesystem
upload,change,created,filesystem
