event,dataset_name,action,change_type,type,object_category
access_requests_management_flow_changed,change,modified,access_requests_management,,access_requests_management
access_requests_management_service_desk_url_changed,change,modified,access_requests_management,,access_requests_management
access_requests_management_servicenow_email_changed,change,modified,access_requests_management,,access_requests_management
account_board_copy_access_level_limitation_changed,change,modified,account_board,,account_board
account_change_list_whitelisted_domains,change,updated,account,,account
account_created,change,created,account,,account
account_default_board_copy_access_level_changed,change,modified,account,,account
account_default_board_sharing_settings_changed,change,modified,account,,account
account_default_project_sharing_settings_changed,change,modified,account,,account
account_deleted,change,deleted,account,,account
account_disable_sharing_ext_users_of_notwhitelisted_domains,change,modified,account,,account
account_disable_whitelisted_domains,change,modified,account,,account
account_discovery_mode_changed,change,modified,account,,account
account_editing_via_public_link_disabled,change,modified,account,,account
account_editing_via_public_link_enabled,change,modified,account,,account
account_enable_sharing_ext_users_of_notwhitelisted_domains,change,modified,account,,account
account_enable_whitelisted_domains,change,modified,account,,account
account_external_collaborators_disabled,change,modified,account,,account
account_external_collaborators_enabled,change,modified,account,,account
account_integration_settings_changed,change,modified,account,,account
account_invitation_settings_changed,change,modified,account,,account
account_logo_changed,change,modified,account,,account
account_logo_removed,change,deleted,account,,account
account_move_boards_disabled,change,modified,account,,account
account_move_boards_enabled,change,modified,account,,account
account_name_changed,change,modified,account,,account
account_sharing_via_public_link_disabled,change,modified,account,,account
account_sharing_via_public_link_enabled,change,modified,account,,account
account_sharing_with_account_disabled,change,modified,account,,account
account_sharing_with_account_enabled,change,modified,account,,account
account_sharing_with_organization_disabled,change,modified,account,,account
account_sharing_with_organization_enabled,change,modified,account,,account
account_sign_up_domain_list_changed,change,modified,account,,account
account_sign_up_mode_changed,change,modified,account,,account
app_authorized,alert,,,warning,
app_organization_installed,change,modified,app,,app
app_permitted,alert,,,alert,
app_prohibited,alert,,,alarm,
app_unauthorized,alert,,,warning,
app_uninstalled,change,modified,app,,app
board_accessed,change,read,board,,board
board_account_sharing_disabled,change,modified,board,,board
board_account_sharing_enabled,change,modified,board,,board
board_account_sharing_permission_changed,change,modified,board,,board
board_added_to_project,change,created,board,,board
board_copy_access_level_changed,change,modified,board,,board
board_cover_changed,change,modified,board,,board
board_created,change,created,board,,board
board_data_classification_label_modified,change,modified,board,,board
board_deleted,change,deleted,board,,board
board_description_changed,change,modified,board,,board
board_moved_from_account,change,updated,board,,board
board_moved_to_account,change,updated,board,,board
board_name_changed,change,modified,board,,board
board_opened,change,read,board,,board
board_organization_sharing_disabled,change,modified,board,,board
board_organization_sharing_enabled,change,modified,board,,board
board_organization_sharing_permission_changed,change,modified,board,,board
board_owner_changed,change,modified,board,,board
board_public_link_disabled,change,modified,board,,board
board_public_link_enabled,change,modified,board,,board
board_public_link_password_changed,change,modified,board,,board
board_public_link_password_disabled,change,modified,board,,board
board_public_link_password_enabled,change,modified,board,,board
board_public_link_permission_changed,change,modified,board,,board
board_removed_from_project,change,deleted,board,,board
board_restored,change,restarted,board,,board
board_shared_for_commenting,alert,,,event,
board_shared_for_editing,alert,,,event,
board_shared_for_viewing,alert,,,event,
board_slack_channel_changed,change,modified,board,,board
board_slack_disabled,change,modified,board,,board
board_slack_enabled,change,modified,board,,board
board_unshared,change,updated,board,,board
organization_account_visibility_restriction_disabled,change,modified,organization,,organization
organization_account_visibility_restriction_enabled,change,modified,organization,,organization
organization_allowed_applications_disabled,change,modified,organization,,organization
organization_allowed_applications_enabled,change,modified,organization,,organization
organization_deleted,change,deleted,organization,,organization
organization_editing_via_public_link_disabled,change,modified,organization,,organization
organization_editing_via_public_link_enabled,change,modified,organization,,organization
organization_enforce_password_protection_disabled,change,modified,organization,,organization
organization_enforce_password_protection_enabled,change,modified,organization,,organization
organization_logo_changed,change,modified,organization,,organization
organization_logo_removed,change,deleted,organization,,organization
organization_name_changed,change,modified,organization,,organization
organization_scim_disabled,change,modified,organization,,organization
organization_scim_enabled,change,modified,organization,,organization
organization_scim_generated,change,created,organization,,organization
organization_scim_notification_disabled,change,modified,organization,,organization
organization_scim_notification_enabled,change,modified,organization,,organization
organization_session_idle_timeout_disabled,change,modified,organization,,organization
organization_session_idle_timeout_enabled,change,modified,organization,,organization
organization_sharing_via_public_link_disabled,change,modified,organization,,organization
organization_sharing_via_public_link_enabled,change,modified,organization,,organization
organization_sharing_with_external_collaborators_disabled,change,modified,organization,,organization
organization_sharing_with_external_collaborators_enabled,change,modified,organization,,organization
organization_sso_disabled,change,modified,organization,,organization
organization_sso_enabled,change,modified,organization,,organization
organization_sso_settings_changed,change,modified,organization,,organization
organization_whitelisted_domains_disabled,change,modified,organization,,organization
organization_whitelisted_domains_enabled,change,modified,organization,,organization
organization_whitelisted_domains_list_changed,change,modified,organization,,organization
project_account_sharing_disabled,change,modified,project,,project
project_account_sharing_enabled,change,modified,project,,project
project_created,change,created,project,,project
project_deleted,change,deleted,project,,project
project_owner_changed,change,updated,project,,project
project_renamed,change,modified,project,,project
project_shared_comment,alert,,,alert,
project_shared_edit,alert,,,alert,
project_shared_view,alert,,,alert,
project_unshared,change,updated,project,,project
sign_in_failed,auth,failure,,,
sign_in_succeeded,auth,success,,,
sign_out_succeeded,sign_out,success,,,
template_created,change,created,template,,template
template_deleted,change,deleted,template,,template
template_opened,change,read,template,,template
template_owner_changed,change,updated,template,,template
template_restored,change,restarted,template,,template
user_confirmed_new_email_address,alert,,user,event,user
user_converted_to_org_external,alert,,user,event,user
user_deactivated,change,deleted,user,,user
user_demoted_from_account_admin,change,modified,user,,user
user_demoted_from_org_admin,change,modified,user,,user
user_invitation_to_account_removed,change,modified,user,,user
user_invited_to_account,alert,,,alert,
user_joined_to_account,alert,,,event,
user_joined_to_organization,alert,,,event,
user_license_converted_to_free_restricted,change,modified,user,,user
user_license_converted_to_full,change,modified,user,,user
user_license_converted_to_occasional,change,modified,user,,user
user_locked,change,lockout,user,,user
user_mfa_setup_succeeded,alert,,,event,
user_profile_changed,change,modified,user,,user
user_promoted_to_account_admin,change,modified,user,,user
user_promoted_to_org_admin,change,modified,user,,user
user_reactivated,change,updated,user,,user
user_removed_from_account,change,modified,user,,user
user_removed_from_organization,change,modified,user,,user
user_requested_email_address_change,change,modified,user,,user
user_unlocked,change,unlocked,user,,user
