Input Name,Description,API Provider,API Endpoint,API Documentation,Parameters,Default request frequency,"Indexed Data ""_time"" field","Indexed Data ""source"" field","Indexed Data ""sourcetype"" field","Indexed Data ""_raw"" field",Indexed Data Volume,Event Count per call
National Grid Carbon Intensity API - National,"Gets data for the current half hour, for Great Britain at a national level",https://carbonintensity.org.uk/,/intensity,https://carbon-intensity.github.io/api-definitions/#get-intensity,None,30 minutes,The timestamp from the event in the API response,ng_carbon_intensity_api_national,NG:carbonintensity,API response body,Approx 124 bytes per event,1
National Grid Carbon Intensity API - Regional,Gets data for the current half hour for all Great Britain regions,https://carbonintensity.org.uk/,/regional,https://carbon-intensity.github.io/api-definitions/#get-regional,None,30 minutes,The timestamp from the event in the API response,ng_carbon_intensity_api_regional,NG:carbonintensity:regional,"API response body, broken into 1 event per region","Approx total of 8766 bytes for 18 events, every call",18
National Grid Carbon Intensity API - Post Code(s),Gets data for the current half hour for one or more Great Britain Post Codes,https://carbonintensity.org.uk/,"/regional/postcode/{post code}

1 call is made per postcode",https://carbon-intensity.github.io/api-definitions/#get-regional-postcode-postcode,Comma delimited list of UK outward postcodes i.e. RG41 or SW1 or TF8.,30 minutes,The timestamp from the event in the API response,ng_carbon_intensity_api_post_code_s_,NG:carbonintensity:postcode,API response body,Approx 509 bytes per event,"1 event per API call. If multiple post codes are supplied, multiple calls are made"
National Grid Carbon Intensity API - National Forecast,"Gets data for the next 48h, for Great Britain at a national level",https://carbonintensity.org.uk/,/intensity/{from}/fw48h,https://carbon-intensity.github.io/api-definitions/#get-intensity-from-fw48h,None,12 hours,The time the events are saved to Splunk,ng_carbon_intensity_api_national_forecast,NG:carbonintensity:forecast,API response body,Approx 11917 bytes per event,1
National Grid Carbon Intensity API - Regional Forecast,Gets data for the next 48h for all Great Britain regions,https://carbonintensity.org.uk/,/regional/intensity/{from}/fw48h,https://carbon-intensity.github.io/api-definitions/#get-regional-intensity-from-fw48h,None,12 hours,The time the events are saved to Splunk,ng_carbon_intensity_api_regional_forecast,NG:carbonintensity:regional:forecast,"API response body, broken into 1 event per region","Approx 717761 bytes per forecast covering all regions.

(39875 bytes per region)","18
(1 for each of the 18 regions)"
National Grid Carbon Intensity API - Post Code(s) Forecast,Gets data for the next 48h for one or more Great Britain Post Codes,https://carbonintensity.org.uk/,"/regional/intensity/{from}/fw48h/postcode/{postcode}

1 call is made per postcode",https://carbon-intensity.github.io/api-definitions/#get-regional-intensity-from-fw48h-postcode-postcode,Comma delimited list of UK outward postcodes i.e. RG41 or SW1 or TF8.,12 hours,The time the events are saved to Splunk,ng_carbon_intensity_api_post_code_s_forecast,NG:carbonintensity:postcode:forecast,API response body,Approx 40100 bytes per event,"1 event per API call. If multiple post codes are supplied, multiple calls are made"
National Grid Carbon Intensity API - National - Backfill,"Gets historic data in half hour increments, for Great Britain at a national level.

Maximum duration of 14 days per call.",https://carbonintensity.org.uk/,"/intensity/{from}/{to}

14 days maximum",https://carbon-intensity.github.io/api-definitions/#get-intensity-from-to,"from and to times, in ISO8601 format YYYY-MM-DDThh:mmZ e.g. 2017-08-25T12:35Z

Note the time range is inclusive, so use 2023-07-15T00:00Z to 2023-07-15T23:59Z for 1 day.","One-off call.

Provide a large number for the call interval, then disable the input after a few minutes.",The timestamp from the event in the API response,ng_carbon_intensity_api_national_backfill,NG:carbonintensity,"API response body, broken into 1 event per time period

Structure should be the same as saved by the “National Grid Carbon Intensity API - National” input",,1 per 30 minute period in date range supplied
National Grid Carbon Intensity API - Regional - Backfill,"Gets historic data in half hour increments, for all Great Britain regions.

Maximum duration of 14 days per call.",https://carbonintensity.org.uk/,"/regional/intensity/{from}/{to}

14 days maximum",https://carbon-intensity.github.io/api-definitions/#get-regional-intensity-from-to,"from and to times, in ISO8601 format YYYY-MM-DDThh:mmZ e.g. 2017-08-25T12:35Z

Note the time range is inclusive, so use 2023-07-15T00:00Z to 2023-07-15T23:59Z for 1 day.","One-off call.

Provide a large number for the call interval, then disable the input after a few minutes.",The timestamp from the event in the API response,ng_carbon_intensity_api_regional_backfill,NG:carbonintensity:regional,"API response body, broken into 1 event per time period, for each region

Structure should be the same as saved by the “National Grid Carbon Intensity API - Regional” input",,18 per 30 minute period in date range supplied
National Grid Carbon Intensity API - Post Code(s) - Backfill,"Gets historic data in half hour increments, for one or more Great Britain Post Codes.

Maximum duration of 14 days per call.",https://carbonintensity.org.uk/,"/regional/intensity/{from}/{to}/postcode/{postcode}

1 call is made per postcode",https://carbon-intensity.github.io/api-definitions/#get-regional-intensity-from-to-postcode-postcode,"Comma delimited list of UK outward postcodes i.e. RG41 or SW1 or TF8.

from and to times, in ISO8601 format YYYY-MM-DDThh:mmZ e.g. 2017-08-25T12:35Z

Note the time range is inclusive, so use 2023-07-15T00:00Z to 2023-07-15T23:59Z for 1 day.","One-off call.

Provide a large number for the call interval, then disable the input after a few minutes.",The timestamp from the event in the API response,ng_carbon_intensity_api_post_code_s_backfill,NG:carbonintensity:postcode,"API response body, broken into 1 event per time period

Structure should be the same as saved by the “National Grid Carbon Intensity API - Post Code(s)” input",,"1 per 30 minute period, per post code, in date range supplied"
Electricity Maps Carbon Intensity - Latest,"Gets data for the current hour, for the specified zone(s)",https://api-portal.electricitymaps.com/home,/carbon-intensity/latest,https://static.electricitymaps.com/api/docs/index.html#live-carbon-intensity,Comma delimited list of zones,60 minutes,The timestamp from the event in the API response,electricity_maps_carbon_intensity_latest,EM:carbonintensity,API response body,Approx 528 bytes per event,1
