EVENT_TYPE,dataset_name,action,change_type,type
ApexCallout,web,,,
ApexExecution,web,,,
ApexRestApi,web,,,
ApexSoap,web,,,
ApexTrigger,web,,,
ApexUnexpectedException,alert,,,alert
API,web,,,
ApiTotalUsage,usage,,,
AsyncReportRun,report,,,
AuraRequest,web,,,
BlockedRedirect,ids,blocked,,
BulkApi,web,,,
BulkApi2,web,,,
BulkApiRequest,web,,,
ContentDocumentLink,data_access,,,
ContentTransfer,data_access,,,
ContinuationCalloutSummary,web,,,
CorsViolation,ids,blocked,,
CspViolation,ids,blocked,,
Dashboard,dashboard,,,
DatabaseSave,change,,database,
DocumentAttachmentDownloads,data_access,downloaded,,
ExternalCrossOrgCallout,callout,,,
ExternalCustomApexCallout,callout,,,
ExternalDataSourceCallout,callout,,,
ExternalODataCallout,change,,data,
FlowExecution,flow,,,
GroupMembership,data_access,,,
HostnameRedirects,web,,,
InsecureExternalAssets,alert,,,warning
InsufficientAccess,alert,,,alert
InsufficientAccess,alert,,,alert
KnowledgeArticleView,knowledge_article,,,
LightningError,alert,,,alert
LightningInteraction,lightning,,,
LightningPageView,lightning,,,
LightningPerformance,lightning,,,
Login,auth,,,
LoginAs,auth,,,
Logout,change,logoff,AAA,
MetadataApiOperation,web,,,
MultiblockReport,report,,,
NamedCredential,web,,,
OneCommerceUsage,web,,,
PackageInstall,alert,,,event
PermissionUpdate,change,,permission,
PermissionUpdate,change,updated,permission,
PlatformEncryption,encryption,,,
Pricing,pricing,,,
QueuedExecution,alert,,,event
Report,alert,,,event
ReportExport,alert,,,event
RestApi,web,,,
Sandbox,sandbox,,,
Search,alert,,,event
SearchClick,alert,,,event
Sites,web,,,
TimeBasedWorkflow,monitoring,,,
TransactionSecurity,alert,,,event
UiTelemetryNavigationTiming,alert,,,event
UiTelemetryResourceTiming,performance,,,
URI,web,,,
VisualforceRequest,web,,,
WaveChange,alert,,,event
WaveDownload,data_access,downloaded,,
WaveInteraction,alert,,,event
WavePerformance,performance,,,
