ID,Category,Subcategory,"Quotient_Type",Name,Title,"Output_Fields",Feasibility,Impact,Weighting,Current,Baseline
1,Architecture,"Splunk Ecosystem",Adoption,"Number of Indexers","summary_number_of_indexers",indexers,2,2,4,,
2,Architecture,"Splunk Ecosystem",Adoption,"Number of Forwarders","summary_number_of_forwarders","forwarder_count",2,2,4,,
3,Architecture,"Splunk Ecosystem",Adoption,"Number of Search Heads","summary_number_of_search_heads","total_search_heads",2,2,4,,
4,Data,"Data Definition",Adoption,"Accelerated Data Models","summary_accelerated_data_models","accel_data_model_count",1,2,2,,
5,Data,"Data Definition",Adoption,"Data Model constrained by indexes","summary_data_model_constrained_by_indexes","indexes_for_acceleration",1,3,3,,
6,Data,"Data Definition",Adoption,"Searches that used tstats","summary_searches_that_used_tstats","completed_saved_searches_referencing_datamodels",2,3,6,,
7,Data,"Data Definition",Adoption,"Distinct Data Sources","summary_distinct_data_sources","distinct_sourcetypes",1,2,2,,
8,Data,"Data Indexing",Adoption,"Average ingest","summary_average_ingest","daily_average_ingestion",2,3,6,,
9,"Search & Visualization",Search,Adoption,"Average Daily Searches","summary_average_daily_searches","daily_average_searches",3,2,6,,
10,"Search & Visualization",Search,Adoption,"Average Daily Scheduled Searches (Distinct)","summary_average_daily_searches_distinct","daily_average_distinct_searches_ran",3,2,6,,
11,"Search & Visualization",Search,Adoption,"Average Daily Scheduled Searches","summary_average_daily_scheduled_searches","daily_average_total_searches_ran",3,3,9,,
12,"Search & Visualization",Search,Adoption,"Total Search Concurrency","summary_total_search_concurrency","search_concurrency",2,3,6,,
13,"Search & Visualization",Dashboard,Adoption,"Total Number of Dashboards","summary_total_number_of_dashboards","number_of_dashboards",2,2,4,,
14,Architecture,"Platform Components","Resource Utilization","Indexers Reaching disk Capacity","summary_indexers_reaching_disk_capacity","high_disk_usage_count",3,1,3,,
15,Architecture,"Platform Components","Resource Utilization","Components throwing issues in the logs","summary_components_throwing_issues_in_the_logs","components_with_issues",3,2,6,,
16,Architecture,"Platform Components","Resource Utilization","High CPU usage across Splunk ecosystem","summary_high_cpu_usage_across_splunk_ecosystem","high_load_instance_count",3,3,9,,
17,Architecture,"Splunk Ecosystem","Resource Utilization","Deployment Server errors","summary_deployment_server_errors","avg_count_per_day",2,2,4,,
18,Architecture,"Splunk Ecosystem","Resource Utilization","Search head cluster warnings and errors","summary_search_head_cluster_warnings_and_errors","avg_daily_shc_issues",2,2,4,,
19,Architecture,Transmission,"Resource Utilization","Incoming Networking Errors","summary_incoming_networking_errors","avg_daily_tcp_input_errors",2,2,4,,
20,Architecture,Transmission,"Resource Utilization","Outgoing Networking Errors","summary_outgoing_networking_errors","avg_daily_tcp_output_errors",2,2,4,,
21,Architecture,Transmission,"Resource Utilization","Issue reading events that originated via HEC","summary_issue_reading_events_that_originated_via_hec","avg_fwd_httpIssue",2,3,6,,
22,Data,"Data Definition","Resource Utilization","Sourcetypes with onboarding issues","summary_sourcetypes_with_onboarding_issues","sourcetypes_impacted_with_quality_issues",3,3,9,,
23,Data,"Data Indexing","Resource Utilization","Index Clustering Issues","summary_index_clustering_issues","avg_daily_cluster_issues",2,3,6,,
24,Data,"Data Indexing","Resource Utilization","Blocked queues on Indexers","summary_blocked_queues_on_indexers","instances_with_blocked_queues",3,3,9,,
25,Data,"Data Indexing","Resource Utilization","Bucket Replication Issues","summary_bucket_replication_issues","avg_daily_clustering_issues",2,2,4,,
26,Data,"Data Indexing","Resource Utilization","Data Balance Across Splunk Servers","summary_data_balance_across_splunk_servers","indexers_with_high_data_distribution",2,2,4,,
27,Data,"Data Indexing","Resource Utilization","Indexers throttling forwarders","summary_indexers_throttling_forwarders","indexers_throttling_forwarders",1,3,3,,
28,"Search & Visualization",Alert,"Resource Utilization","Alerts Failing to Trigger","summary_alerts_failing_to_trigger","num_failed_alert_actions",2,3,6,,
29,"Search & Visualization",Dashboard,"Resource Utilization","Dashboards with high memory and RunTime","summary_dashboards_with_high_memory_and_runtime","high_resource_dashboards",3,2,6,,
30,"Search & Visualization",Dashboard,"Resource Utilization","Inefficient Dashboard Panels","summary_inefficient_dashboard_panels","dashboards_with_over_20_panels",2,1,2,,
31,"Search & Visualization",Search,"Resource Utilization","Hosts with Large Bundles","summary_hosts_with_large_bundles","hosts_with_large_bundle_sizes",3,3,9,,
32,"Search & Visualization",Search,"Resource Utilization","Long Running Searches","summary_long_running_searches","searches_over_10_minutes",3,3,9,,
33,"Search & Visualization",Search,"Resource Utilization","Searches Returning No Results improperly","summary_searches_returning_no_results_improperly","daily_average_searches_with_no_results",2,2,4,,
34,"Search & Visualization",Search,"Resource Utilization","Searches with High Memory Use","summary_searches_with_high_memory_use","daily_avg_searches_with_high_memory_usage",2,3,6,,
35,"Search & Visualization",Search,"Resource Utilization","Skipped Searches","summary_skipped_searches","avg_daily_skipped_searches_invocations",2,3,6,,
36,"Search & Visualization",Search,"Resource Utilization","Users exceeding the disk quota or concurrency quota","summary_users_exceeding_the_disk_quota_or_concurrency_quota","daily_average_users_exceeding_disk_quota_limit",1,2,2,,
37,"Search & Visualization",Searches,"Resource Utilization","User hitting limits on search","summary_user_hitting_limits_on_search","users_hitting_queue_limits",2,2,4,,
