"data_type","data_descriptor",url
"Kubernetes data","Kubernetes data","https://lantern.splunk.com/@go/page/2194"
"Call Detail Record data","Application data","https://lantern.splunk.com/@go/page/385"
"Content Delivery Network data","",""
"CRM data","",""
"Data Access data","",""
"EDI data","",""
"Event Signatures data","",""
"File Integrity Monitoring data","",""
"Identity and Access Management data","",""
"Infrastructure data","",""
"Insider Threat data","",""
"Interprocess Messaging data","",""
"Database data","Database data","https://lantern.splunk.com/@go/page/385"
"Inventory data","",""
"IP Address Assignment data","",""
"JVM data","",""
"Medical Device data","",""
"Network Detection and Response data","",""
"Network Protocol data","",""
"Network Router data","",""
"Network Sessions data","",""
"Network Switch data","",""
"OpenLLMetry data","",""
"Financial data","Application data","https://lantern.splunk.com/@go/page/385"
"Operational Technology data","",""
"Patch Management data","",""
"Performance data","",""
"Printers data","",""
"Real User Monitoring data","",""
"SNMP data","",""
"Software-Defined Networking data","",""
"Splunk Stream data","",""
"Storage data","",""
"Ticket Management data","",""
"Fraud Detection data","Application data","https://lantern.splunk.com/@go/page/385"
"Video Conferencing and Communication data","",""
"Virtualization data","",""
"Web Application Firewall data","",""
"GPS data","Application data","https://lantern.splunk.com/@go/page/385"
"IoT and Industrial data","Application data","https://lantern.splunk.com/@go/page/385"
"Law Enforcement data","Application data","https://lantern.splunk.com/@go/page/385"
"Synthetic Monitoring data","Application data","https://lantern.splunk.com/@go/page/385"
"Threat Intelligence Platform data","Application data","https://lantern.splunk.com/@go/page/385"
"Time Tracking and Synchronization data","Application data","https://lantern.splunk.com/@go/page/385"
"CrowdStrike Falcon data","CrowdStrike Falcon data","https://lantern.splunk.com/@go/page/3526"
"Zoom data","Application data","https://lantern.splunk.com/@go/page/385"
"Mobile Device data","Vendor-Specific data","https://lantern.splunk.com/@go/page/387"
"Vendor-Specific data","Vendor-Specific data","https://lantern.splunk.com/@go/page/387"
"OpenTelemetry data","VMware data","https://lantern.splunk.com/@go/page/3906"
"VMware data","VMware data","https://lantern.splunk.com/@go/page/3906"
"Vulnerability Detection data","Vulnerability Detection data","https://lantern.splunk.com/@go/page/424"
"Vulnerability Scanning data","Vulnerability Detection data","https://lantern.splunk.com/@go/page/424"
"Email data","Email data","https://lantern.splunk.com/@go/page/426"
"Web Server data","Web Server data","https://lantern.splunk.com/@go/page/434"
"Endpoint data","Endpoint data","https://lantern.splunk.com/@go/page/469"
"Binary Repositories data",GitHub,"https://lantern.splunk.com/@go/page/3805"
"Edge Processor data","Network Firewall data","https://lantern.splunk.com/@go/page/470"
"Network Firewall data","Network Firewall data","https://lantern.splunk.com/@go/page/470"
"Network VPN data","Network Firewall data","https://lantern.splunk.com/@go/page/470"
"Intrusion Detection data","Intrusion Detection data","https://lantern.splunk.com/@go/page/472"
"Load Balancer data","Load Balancer data","https://lantern.splunk.com/@go/page/473"
"Network Resolution data","Network Resolution data","https://lantern.splunk.com/@go/page/474"
"Linux and Unix data","Linux and Unix data","https://lantern.splunk.com/@go/page/5621"
"AWS:Access logs data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:API Gateway data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:Cloud Services data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"Authentication data","Authentication data","https://lantern.splunk.com/@go/page/383"
"AWS:CloudFront data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:CloudHSM data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:CloudTrail data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:CloudWatch data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:Configuration logs data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:Description data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:Document DB data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:EC2 data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:Elastic Kubernetes Service data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:GuardDuty data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"Malware data","Malware data","https://lantern.splunk.com/@go/page/384"
"AWS:IAM data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:Lambda data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:Load Balancer data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:Meta data",Amazon,"https://lantern.splunk.com/@go/page/5735"
"AWS:RDS data",Amazon,"https://lantern.splunk.com/@go/page/5735"
