"sourcetype_name",vendor,product,category,domain,"data_type",apps,"data_model",description,support,docs,status,"use_cases",notes
"*365:cas:api",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Microsoft:365 data",4055,"Alerts data|Cloud data","All service policies, alerts and entities visible through the Microsoft cloud application security portal.",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:defender:advancedhunting:json",Microsoft,"Microsoft Office 365","Investigative|Security Fraud and Compliance",Security,"Endpoint data","6484|6526",,,"not_supported","https://splunkbase.splunk.com/app/6484|https://splunkbase.splunk.com/app/6526","Need to Validate",,
"*365:defender:incident",Microsoft,"Microsoft Office 365","Security Fraud and Compliance",Security,"Ticket Management data",6207,"Ticket Management data","This sourcetype contains data related to incidents generated from the Microsoft 365 Defender portal.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/MSSecurity/Sourcetypes",Validated,,
"*365:defender:incident:advanced_hunting",Microsoft,"Microsoft Office 365","Security Fraud and Compliance",Security,"Authentication data",6207,"Authentication data|Email data|Endpoint data","This sourcetype collects events from the alerts actions configured in the add-on",splunk,"https://docs.splunk.com/Documentation/AddOns/released/MSSecurity/Sourcetypes",Validated,,
"*365:defender:incident:advanced_hunting",Microsoft,"Microsoft Office 365","Security Fraud and Compliance",Security,"Email data",6207,"Authentication data|Email data|Endpoint data","This sourcetype collects events from the alerts actions configured in the add-on",splunk,"https://docs.splunk.com/Documentation/AddOns/released/MSSecurity/Sourcetypes",Validated,,
"*365:defender:incident:advanced_hunting",Microsoft,"Microsoft Office 365","Security Fraud and Compliance",Security,"Endpoint data",6207,"Authentication data|Email data|Endpoint data","This sourcetype collects events from the alerts actions configured in the add-on",splunk,"https://docs.splunk.com/Documentation/AddOns/released/MSSecurity/Sourcetypes",Validated,,
"*365:defender:incident:alerts",Microsoft,"Microsoft Office 365","Security Fraud and Compliance",Security,"Alerts data",6207,"Alerts data|Malware data","This sourcetype is newly introduced and contains data related to alerts associated with incidents in Microsoft 365 Defender.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/MSSecurity/Sourcetypes",Validated,,
"*365:defender:incident:alerts",Microsoft,"Microsoft Office 365","Security Fraud and Compliance",Security,"Malware data",6207,"Alerts data|Malware data","This sourcetype is newly introduced and contains data related to alerts associated with incidents in Microsoft 365 Defender.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/MSSecurity/Sourcetypes",Validated,,
"*365:email",Microsoft,"Microsoft Office 365","IT Operations|Security Fraud and Compliance","Observability|Security","Microsoft:365 data",5365,,,"not_supported","https://splunkbase.splunk.com/app/5365","Need to Validate",,"eventtypes.conf|inputs.conf"
"*365:graph:api",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Microsoft:365 data",4055,"Authentication data","All audit events and reports visible through the Microsoft Graph API endpoints. This includes all log events and reports visible through the Microsoft Graph API.",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:group:member:add",Microsoft,"Microsoft Office 365","IT Operations|Security Fraud and Compliance","Observability|Security","Microsoft:365 data",3757,,,"not_supported","https://splunkbase.splunk.com/app/3757","Need to Validate",,"eventtypes.conf"
"*365:groups",Microsoft,"Microsoft Office 365","IT Operations|Security Fraud and Compliance","Observability|Security","Microsoft:365 data",5365,,,"not_supported","https://splunkbase.splunk.com/app/5365","Need to Validate",,"inputs.conf"
"*365:jobinsight:*",Microsoft,"Microsoft Office 365","Investigative|Security Fraud and Compliance",Security,"Microsoft:365 data",3110,,,"not_supported","https://splunkbase.splunk.com/app/3110","Need to Validate",,
"*365:jobinsight:input",Microsoft,"Microsoft Office 365","Investigative|Security Fraud and Compliance",Security,"Microsoft:365 data",3110,,,"not_supported","https://splunkbase.splunk.com/app/3110","Need to Validate",,
"*365:management",Microsoft,"Microsoft Office 365","Investigative|Security Fraud and Compliance",Security,"Microsoft:365 data","3110|3564",,"applicationloadbalancer-general|authentication|configurationmanagement-general|databaseserver-general|datalossprevention-violation|dns-query|dns-queryrequest|dns-queryresponse|endpointantimalware-sigdetected|endpointbackup-general|endpointintel-processlaunch|endpointintel-processlaunchwithcli|endpointintel-processlaunchwithhash|hostperformance-general|ipaddressassignment-general|mail-receive|mail-send|malwaredetonation-detection|networkcommunication-state|networkcommunication-traffic|networkcommunication-trafficappaware|networkcommunication-useraware|networkdeviceassociation-general|networkflow-general|networkintrusiondetection-sigdetection|patchmanagement-applied|patchmanagement-eligible|patchmanagement-failed|systemlogs-general|vendorspecific-aws-cloudtrail|vendorspecific-azure-ad-audit|vendorspecific-azure-audit|vendorspecific-box|vendorspecific-gcp-audit|vendorspecific-gcp-gke-audit|vendorspecific-sfdc-elf|vendorspecific-zscaler|vulnerabilitydetection-sigdetected|webproxyrequest-requested|webproxyrequest-requestedwebappaware|webserver-access","not_supported","https://splunkbase.splunk.com/app/3110|https://splunkbase.splunk.com/app/3564","Need to Validate",,
"*365:management:activity",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Alerts data",4055,"Alerts data|Authentication data|Change data|Cloud data|Data Access data|Data Loss Prevention data|Email data","All audit events visible through the Office 365 Management Activity API",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:management:activity",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Authentication data",4055,"Alerts data|Authentication data|Change data|Cloud data|Data Access data|Data Loss Prevention data|Email data","All audit events visible through the Office 365 Management Activity API",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:management:activity",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Change data",4055,"Alerts data|Authentication data|Change data|Cloud data|Data Access data|Data Loss Prevention data|Email data","All audit events visible through the Office 365 Management Activity API",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:management:activity",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Data Access data",4055,"Alerts data|Authentication data|Change data|Cloud data|Data Access data|Data Loss Prevention data|Email data","All audit events visible through the Office 365 Management Activity API",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:management:activity",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Data Loss Prevention data",4055,"Alerts data|Authentication data|Change data|Cloud data|Data Access data|Data Loss Prevention data|Email data","All audit events visible through the Office 365 Management Activity API",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:management:activity",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Email data",4055,"Alerts data|Authentication data|Change data|Cloud data|Data Access data|Data Loss Prevention data|Email data","All audit events visible through the Office 365 Management Activity API",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:management:activity",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Microsoft:365 data",4055,"Alerts data|Authentication data|Change data|Cloud data|Data Access data|Data Loss Prevention data|Email data","All audit events visible through the Office 365 Management Activity API",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:metadata*",Microsoft,"Microsoft Office 365","IT Operations",Observability,"Microsoft:365 data",4055,"Alerts data|Cloud data","All service policies, alerts and entities visible through the Microsoft cloud application security portal.",splunk,"https://splunk.github.io/splunk-add-on-for-microsoft-office-365/Sourcetypes",Validated,,
"*365:powerplatform:*",Microsoft,"Microsoft Office 365","Business Analytics|IT Operations",Observability,"Microsoft:365 data",7236,,,"not_supported","https://splunkbase.splunk.com/app/7236","Need to Validate",,"inputs.conf"
"*365:reporting:*",Microsoft,"Microsoft Office 365","IT Operations|Security Fraud and Compliance","Observability|Security","Email data",3720,"Email data",,"not_supported","https://splunkbase.splunk.com/app/3720","Need to Validate",,"eventtypes.conf|inputs.conf"
