"L6_sourcetype_category","lantern_uce","lantern_url","lantern_vertical","lantern_vertical_category","use_case"
"Linux and Unix","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_*nix_systems_with_the_Splunk_platform/*Nix_CPU_utilization_nearing_capacity","IT Modernization","Infrastructure Monitoring","*Nix CPU utilization nearing capacity"
"Linux and Unix","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_*nix_systems_with_the_Splunk_platform/*Nix_host_stops_reporting_data","IT Modernization","Infrastructure Monitoring","*Nix host stops reporting data"
"Linux and Unix","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_*nix_systems_with_the_Splunk_platform/*Nix_hosts_with_NFS_connectivity_issues","IT Modernization","Infrastructure Monitoring","*Nix hosts with NFS connectivity issues"
"Linux and Unix","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_*nix_systems_with_the_Splunk_platform/*Nix_memory_utilization_nearing_capacity","IT Modernization","Infrastructure Monitoring","*Nix memory utilization nearing capacity"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_Supernova_web_shell_malware/.NET_assemblies_being_compiled",Security,"Threat Hunting",".NET assemblies being compiled"
"Microsoft Sysmon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_Supernova_web_shell_malware/.NET_assemblies_being_compiled",Security,"Threat Hunting",".NET assemblies being compiled"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Detecting_ATM_fraud/ATM_withdrawal_near_threshold","Financial Services","Use cases for financial services","ATM withdrawal near threshold"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Detecting_ATM_fraud/ATM_withdrawal_testing","Financial Services","Use cases for financial services","ATM withdrawal testing"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/AWS_EBS_volumes_without_a_current_snapshot","IT Modernization","Infrastructure Monitoring","AWS EBS volumes without a current snapshot"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Running_common_General_Data_Protection_Regulation_(GDPR)_compliance_searches/Access_to_unencrypted_resources",Security,Compliance,"Access to unencrypted resources"
"Proxy data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Running_common_General_Data_Protection_Regulation_(GDPR)_compliance_searches/Access_to_unencrypted_resources",Security,Compliance,"Access to unencrypted resources"
"Authentication data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Running_common_General_Data_Protection_Regulation_(GDPR)_compliance_searches/Activity_from_expired_user_identity",Security,Compliance,"Activity from expired user identity"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_the_use_of_randomization_in_cyberattacks/Algorithmically_generated_domain_names",Security,"Threat Hunting","Algorithmically generated domain names"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform/All_Windows_events_on_a_host","IT Modernization","Infrastructure Monitoring","All Windows events on a host"
"Linux and Unix","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Maintaining_*nix_systems_with_the_Splunk_platform/All_logs_and_events_on_a_*nix_host","IT Modernization","Infrastructure Monitoring","All logs and events on a *nix host"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Compliance/Analyzing_AWS_service_action_errors",Security,Compliance,"Analyzing AWS service action errors"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Analyzing_credit_limit_increase_requests","Financial Services","Use cases for financial services","Analyzing credit limit increase requests"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Analyzing_telecommunications_subscriber_services","Technology, Communications, and Media","Use cases for technology, communications and media","Analyzing telecommunications subscriber services"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Analyzing_telecommunications_subscriber_services","Technology, Communications, and Media","Use cases for technology, communications and media","Analyzing telecommunications subscriber services"
"Deep packet inspection data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_software_supply_chain_attacks/Anomaly_probability_calculation_with_JA3%2F%2FJA3s_hashes",Security,"Threat Hunting","Anomaly probability calculation with JA3/JA3s hashes"
"Application server data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Application_Monitoring/Monitoring_web_application_performance/Application_error_tracing","IT Modernization","Application Monitoring","Application error tracing"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_Active_Directory_audit_events","IT Modernization","Infrastructure Monitoring","Azure Active Directory audit events"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_Active_Directory_users_with_no_access_for_extended_periods","IT Modernization","Infrastructure Monitoring","Azure Active Directory users with no access for extended periods"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_critical_infrastructure_health","IT Modernization","Infrastructure Monitoring","Azure critical infrastructure health"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_load_balancers_with_no_healthy_instances","IT Modernization","Infrastructure Monitoring","Azure load balancers with no healthy instances"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_overprovisioned_virtual_machines","IT Modernization","Infrastructure Monitoring","Azure overprovisioned virtual machines"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_public_storage_blobs_with_anonymous_access_traffic","IT Modernization","Infrastructure Monitoring","Azure public storage blobs with anonymous access traffic"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_resources_with_no_associated_tags","IT Modernization","Infrastructure Monitoring","Azure resources with no associated tags"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_resources_with_non-compliant_policy_rules","IT Modernization","Infrastructure Monitoring","Azure resources with non-compliant policy rules"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_security_policy_review","IT Modernization","Infrastructure Monitoring","Azure security policy review"
"Microsoft Azure data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Azure_cloud_infrastructure/Azure_storage_blobs_made_public_and_by_who","IT Modernization","Infrastructure Monitoring","Azure storage blobs made public and by who"
"Physical card reader data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Monitoring_badges_for_facilities_access/Badge_activity_monitoring",Security,"Security Monitoring","Badge activity monitoring"
"Physical card reader data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Monitoring_badges_for_facilities_access/Badge_readers_with_abnormally_high_read_failures",Security,"Security Monitoring","Badge readers with abnormally high read failures"
Microsoft,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Incident_Management/Creating_a_timebound_picture_of_network_activity/Baseline_of_user_logon_times",Security,"Incident Management","Baseline of user logon times"
"Endpoint data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Detecting_a_ransomware_attack/Bcdedit_boot_recovery_modifications",Security,"Threat Hunting","Bcdedit boot recovery modifications"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Managing_firewall_rules/Blocked_traffic_from_host",Security,"Security Monitoring","Blocked traffic from host"
"Firewall data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Security_Monitoring/Managing_firewall_rules/Blocked_traffic_to_host",Security,"Security Monitoring","Blocked traffic to host"
"Business service data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Public_Sector/Building_a_data-driven_law_enforcement_strategy","Public Sector","Use cases for the public sector","Building a data-driven law enforcement strategy"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/CPU_utilization_of_Elastic_Compute_Cloud_(EC2)_instances","IT Modernization","Infrastructure Monitoring","CPU utilization of Elastic Compute Cloud (EC2) instances"
"Telephony data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_key_telecommunications_service_metrics/Call_failure_statistics","Technology, Communications, and Media","Use cases for technology, communications and media","Call failure statistics"
"Dell EMC Isilon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Dell_Isilion_network_attached_storage/Capacity_utilization_runway_in_Dell_Isilon_NAS","IT Modernization","Infrastructure Monitoring","Capacity utilization runway in Dell Isilon NAS"
"DNS data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Monitoring_a_network_for_DNS_exfiltration/Changes_in_DNS_record_type_queries",Security,"Threat Hunting","Changes in DNS record type queries"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Changes_made_to_AWS_cloud_infrastructure","IT Modernization","Infrastructure Monitoring","Changes made to AWS cloud infrastructure"
"Microsoft Sysmon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/Security/Threat_Hunting/Checking_for_files_created_on_a_system",Security,"Threat Hunting","Checking for files created on a system"
"Dell EMC Isilon data","Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_Dell_Isilion_network_attached_storage/Cluster_throughput_in_Dell_Isilon_NAS","IT Modernization","Infrastructure Monitoring","Cluster throughput in Dell Isilon NAS"
Amazon,"Splunk Platform","https://lantern.splunk.com/Splunk_Platform/UCE/IT_Modernization/Infrastructure_Monitoring/Managing_an_Amazon_Web_Services_environment/Common_AWS_resource_tags_and_tag_values","IT Modernization","Infrastructure Monitoring","Common AWS resource tags and tag values"
