"L6_sourcetype_category","L7_sourcetype",Product,Vendor,"data_descriptor_url","data_descriptor_display","install_docs","splunk_add_on","_mkv_child"
"AWS : Cloud Services data","*aws*","All AWS Products","Amazon Web Services (AWS)",,,,"1876|4602|4861",0
"AWS : Cloud Services data","*firehose*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,3719,1
"AWS : Cloud Services data","*kinesis*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,1876,2
"AWS : Cloud Services data","*lambda*","AWS Lambda","Amazon Web Services (AWS)",,,,5244,3
"AWS : Cloud Services data","amazon*","All Amazon Products","Amazon Web Services (AWS)",,,,,4
"AWS : Cloud Services data","aws:s3*","All AWS Products
Amazon S3","Amazon Web Services (AWS)
Amazon Web Services (AWS)",,,"https://docs.splunk.com/Documentation/AddOns/released/AWS/Description","1876|4602|4861
5197",5
"AWS : Cloud Services data","*aws*","All AWS Products","Amazon Web Services (AWS)",,,,"1876|4602|4861",0
"AWS : Cloud Services data","*firehose*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,3719,1
"AWS : Cloud Services data","*kinesis*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,1876,2
"AWS : Cloud Services data","*lambda*","AWS Lambda","Amazon Web Services (AWS)",,,,5244,3
"AWS : Cloud Services data","amazon*","All Amazon Products","Amazon Web Services (AWS)",,,,,4
"AWS : Cloud Services data","aws:s3*","All AWS Products
Amazon S3","Amazon Web Services (AWS)
Amazon Web Services (AWS)",,,"https://docs.splunk.com/Documentation/AddOns/released/AWS/Description","1876|4602|4861
5197",5
"AWS : Cloud Services data","*aws*","All AWS Products","Amazon Web Services (AWS)",,,,"1876|4602|4861",0
"AWS : Cloud Services data","*firehose*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,3719,1
"AWS : Cloud Services data","*kinesis*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,1876,2
"AWS : Cloud Services data","*lambda*","AWS Lambda","Amazon Web Services (AWS)",,,,5244,3
"AWS : Cloud Services data","amazon*","All Amazon Products","Amazon Web Services (AWS)",,,,,4
"AWS : Cloud Services data","aws:s3*","All AWS Products
Amazon S3","Amazon Web Services (AWS)
Amazon Web Services (AWS)",,,"https://docs.splunk.com/Documentation/AddOns/released/AWS/Description","1876|4602|4861
5197",5
"AWS : Cloud Services data","*aws*","All AWS Products","Amazon Web Services (AWS)",,,,"1876|4602|4861",0
"AWS : Cloud Services data","*firehose*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,3719,1
"AWS : Cloud Services data","*kinesis*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,1876,2
"AWS : Cloud Services data","*lambda*","AWS Lambda","Amazon Web Services (AWS)",,,,5244,3
"AWS : Cloud Services data","amazon*","All Amazon Products","Amazon Web Services (AWS)",,,,,4
"AWS : Cloud Services data","aws:s3*","All AWS Products
Amazon S3","Amazon Web Services (AWS)
Amazon Web Services (AWS)",,,"https://docs.splunk.com/Documentation/AddOns/released/AWS/Description","1876|4602|4861
5197",5
"AWS : Cloud Services data","*aws*","All AWS Products","Amazon Web Services (AWS)",,,,"1876|4602|4861",0
"AWS : Cloud Services data","*firehose*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,3719,1
"AWS : Cloud Services data","*kinesis*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,1876,2
"AWS : Cloud Services data","*lambda*","AWS Lambda","Amazon Web Services (AWS)",,,,5244,3
"AWS : Cloud Services data","amazon*","All Amazon Products","Amazon Web Services (AWS)",,,,,4
"AWS : Cloud Services data","aws:s3*","All AWS Products
Amazon S3","Amazon Web Services (AWS)
Amazon Web Services (AWS)",,,"https://docs.splunk.com/Documentation/AddOns/released/AWS/Description","1876|4602|4861
5197",5
"AWS : Cloud Services data","*aws*","All AWS Products","Amazon Web Services (AWS)",,,,"1876|4602|4861",0
"AWS : Cloud Services data","*firehose*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,3719,1
"AWS : Cloud Services data","*kinesis*","Amazon Data Firehose","Amazon Web Services (AWS)",,,,1876,2
"AWS : Cloud Services data","*lambda*","AWS Lambda","Amazon Web Services (AWS)",,,,5244,3
"AWS : Cloud Services data","amazon*","All Amazon Products","Amazon Web Services (AWS)",,,,,4
"AWS : Cloud Services data","aws:s3*","All AWS Products
Amazon S3","Amazon Web Services (AWS)
Amazon Web Services (AWS)",,,"https://docs.splunk.com/Documentation/AddOns/released/AWS/Description","1876|4602|4861
5197",5
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudTrail data","*cloudtrail*","AWS CloudTrail","Amazon Web Services (AWS)",,,,1876,0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"AWS : CloudWatch data","*:cloudwatch*","Amazon CloudWatch","Amazon Web Services (AWS)",,,,"1876|3719|4217",0
"Antivirus and Antimalware (AV) data","*cybereason*",Cybereason,Cybereason,,,,6427,0
"Antivirus and Antimalware (AV) data","*netskope*",Netskope,Netskope,,,,3808,1
"Antivirus and Antimalware (AV) data","ahnlab*","AhnLab Security",AhnLab,,,,,2
"Antivirus and Antimalware (AV) data","cisco:tg*","Cisco Secure Malware Analytics (Threat Grid)",Cisco,,,,"4251|7219",3
"Antivirus and Antimalware (AV) data","symantec:dlp*","Symantec Data Loss Protection",Symantec,,,,3029,4
"Antivirus and Antimalware (AV) data","trend*","Trend Micro - InterScan Messaging Security (IMSVA)","Trend Micro",,,,"5112|5349|5553",5
"Antivirus and Antimalware (AV) data","*cybereason*",Cybereason,Cybereason,,,,6427,0
"Antivirus and Antimalware (AV) data","*netskope*",Netskope,Netskope,,,,3808,1
"Antivirus and Antimalware (AV) data","ahnlab*","AhnLab Security",AhnLab,,,,,2
"Antivirus and Antimalware (AV) data","cisco:tg*","Cisco Secure Malware Analytics (Threat Grid)",Cisco,,,,"4251|7219",3
