"use_case","L6_sourcetype_category",domain,"lantern_url","lantern_vertical","lantern_vertical_category","percent_of_use_case"
"*Nix CPU utilization nearing capacity","Linux and Unix data",Observability,"https://lantern.splunk.com/@go/page/1749","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"*Nix host stops reporting data","Linux and Unix data",Observability,"https://lantern.splunk.com/@go/page/2775","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"*Nix hosts with NFS connectivity issues","Linux and Unix data",Observability,"https://lantern.splunk.com/@go/page/677","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"*Nix memory utilization nearing capacity","Linux and Unix data",Observability,"https://lantern.splunk.com/@go/page/1750","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
".NET assemblies being compiled","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1769","Industry Neutral","Threat Hunting",50
".NET assemblies being compiled","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/1769","Industry Neutral","Threat Hunting",50
"ATM withdrawal near threshold","Application data",Platform,"https://lantern.splunk.com/@go/page/1539","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"ATM withdrawal near threshold","Financial data",Platform,"https://lantern.splunk.com/@go/page/1539","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"ATM withdrawal testing","Application data",Platform,"https://lantern.splunk.com/@go/page/1530","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"ATM withdrawal testing","Financial data",Platform,"https://lantern.splunk.com/@go/page/1530","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Access to unencrypted resources","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/1229","Industry Neutral",Compliance,50
"Access to unencrypted resources","Web Proxy data",Security,"https://lantern.splunk.com/@go/page/1229","Industry Neutral",Compliance,50
"Activity from expired user identity","Authentication data",Security,"https://lantern.splunk.com/@go/page/546","Industry Neutral",Compliance,100
"Algorithmically generated domain names","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/813","Industry Neutral","Threat Hunting",100
"All Windows events on a host","Microsoft:Windows data",Observability,"https://lantern.splunk.com/@go/page/1756","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",50
"All Windows events on a host","Updates data",Observability,"https://lantern.splunk.com/@go/page/1756","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",50
"All logs and events on a *nix host","Linux and Unix data",Observability,"https://lantern.splunk.com/@go/page/2781","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Analyzing AWS service action errors","AWS:CloudTrail data",Security,"https://lantern.splunk.com/@go/page/928","Industry Neutral",Compliance,100
"Analyzing credit limit increase requests","Application data",Platform,"https://lantern.splunk.com/@go/page/2753","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Analyzing credit limit increase requests","Financial data",Platform,"https://lantern.splunk.com/@go/page/2753","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Analyzing telecommunications subscriber services","Call Detail Record data",Platform,"https://lantern.splunk.com/@go/page/6346","Technology, Communications, and Media","Technology, Communications, and Media Analysis",100
"Analyzing wire data from databases","Database data",Observability,"https://lantern.splunk.com/@go/page/633","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Anomaly probability calculation with JA3/JA3s hashes","Deep Packet Inspection data",Security,"https://lantern.splunk.com/@go/page/2572","Industry Neutral","Threat Hunting",100
"Application error tracing","Application data",Observability,"https://lantern.splunk.com/@go/page/1509","Industry Neutral","Application Monitoring",100
"Applying Benford's law of distribution to spot fraud","Application data",Security,"https://lantern.splunk.com/@go/page/7542","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Applying Benford's law of distribution to spot fraud","Financial data",Security,"https://lantern.splunk.com/@go/page/7542","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Applying Zipf's law in fraud detection","Application data",Security,"https://lantern.splunk.com/@go/page/7974","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Applying Zipf's law in fraud detection","Financial data",Security,"https://lantern.splunk.com/@go/page/7974","Financial Services and Insurance","Financial Services and Insurance Analysis",50
"Assessing the financial impact of eCommerce checkout errors","Application data",Observability,"https://lantern.splunk.com/@go/page/2228","Industry Neutral","Optimize Cloud Monitoring",50
"Assessing the financial impact of eCommerce checkout errors","Financial data",Observability,"https://lantern.splunk.com/@go/page/2228","Industry Neutral","Optimize Cloud Monitoring",50
"Auditing with the Splunk App for PCI Compliance","Application data",Security,"https://lantern.splunk.com/@go/page/6601","Industry Neutral",Compliance,50
"Auditing with the Splunk App for PCI Compliance","Financial data",Security,"https://lantern.splunk.com/@go/page/6601","Industry Neutral",Compliance,50
"Automating Know Your Customer continuous monitoring requirements","Application data",Security,"https://lantern.splunk.com/@go/page/7097","Industry Neutral",Compliance,50
"Automating Know Your Customer continuous monitoring requirements","Financial data",Security,"https://lantern.splunk.com/@go/page/7097","Industry Neutral",Compliance,50
"Automating the investigation of emails for malicious content","SOAR data",Security,"https://lantern.splunk.com/@go/page/7832","Industry Neutral","Threat Hunting",100
"Azure Active Directory audit events","Microsoft:Active Directory data",Observability,"https://lantern.splunk.com/@go/page/664","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Azure Active Directory users with no access for extended periods","Microsoft:Active Directory data",Observability,"https://lantern.splunk.com/@go/page/4357","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Azure load balancers with no healthy instances","Microsoft:Azure data",Observability,"https://lantern.splunk.com/@go/page/4358","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Azure resources with non-compliant policy rules","Microsoft:Azure data",Observability,"https://lantern.splunk.com/@go/page/4362","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Badge activity monitoring","Call Detail Record data",Security,"https://lantern.splunk.com/@go/page/2446","Industry Neutral","Security Monitoring","33.333333333333336"
"Badge activity monitoring","Physical Card Reader data",Security,"https://lantern.splunk.com/@go/page/2446","Industry Neutral","Security Monitoring","33.333333333333336"
"Badge activity monitoring","Physical Security data",Security,"https://lantern.splunk.com/@go/page/2446","Industry Neutral","Security Monitoring","33.333333333333336"
"Badge readers with abnormally high read failures","Call Detail Record data",Security,"https://lantern.splunk.com/@go/page/2466","Industry Neutral","Security Monitoring",50
"Badge readers with abnormally high read failures","Physical Card Reader data",Security,"https://lantern.splunk.com/@go/page/2466","Industry Neutral","Security Monitoring",50
"Baseline of user logon times","Endpoint data",Security,"https://lantern.splunk.com/@go/page/772","Industry Neutral","Incident Management",100
"Bcdedit boot recovery modifications","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2868","Industry Neutral","Threat Hunting",100
"Blocked traffic from host","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/820","Industry Neutral","Security Monitoring",100
"Blocked traffic to host","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/818","Industry Neutral","Security Monitoring",100
"Building a data-driven law enforcement strategy","Application data",Platform,"https://lantern.splunk.com/@go/page/4417","Public Sector","Public Sector Data Analysis",100
"CPU utilization of Elastic Compute Cloud (EC2) instances","AWS:CloudWatch data",Observability,"https://lantern.splunk.com/@go/page/2829","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Call failure statistics","Call Detail Record data",Platform,"https://lantern.splunk.com/@go/page/2351","Technology, Communications, and Media","Technology, Communications, and Media Analysis",100
"Capacity utilization runway in Dell Isilon NAS","Storage data",Observability,"https://lantern.splunk.com/@go/page/689","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Changes in DNS record type queries","Network Resolution data",Security,"https://lantern.splunk.com/@go/page/724","Industry Neutral","Threat Hunting",100
"Changes made to AWS cloud infrastructure","AWS:CloudTrail data",Observability,"https://lantern.splunk.com/@go/page/651","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Checking for files created on a system","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/2432","Industry Neutral","Threat Hunting",100
"Cluster throughput in Dell Isilon NAS","Storage data",Observability,"https://lantern.splunk.com/@go/page/691","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Common AWS resource tags and tag values","AWS:Description data",Observability,"https://lantern.splunk.com/@go/page/2832","Industry Neutral","Troubleshoot Mission-Critical Apps with Logs",100
"Complying with General Data Protection Regulation","Endpoint data",Platform,"https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Complying_with_the_HIPAA_Security_Rule_for_ePHI","Industry Neutral","Optimize Cloud Monitoring",100
"Complying with the HIPAA Security Rule for ePHI","Endpoint data",Security,"https://lantern.splunk.com/@go/page/2889",Healthcare,"Healthcare Analysis",100
"Complying with the Markets in Financial Instruments Directive II","Application data",Security,"https://lantern.splunk.com/@go/page/2272","Financial Services and Insurance",Compliance,"33.333333333333336"
"Complying with the Markets in Financial Instruments Directive II","Financial data",Security,"https://lantern.splunk.com/@go/page/2272","Financial Services and Insurance",Compliance,"33.333333333333336"
"Complying with the Markets in Financial Instruments Directive II","Time Tracking and Synchronization data",Security,"https://lantern.splunk.com/@go/page/2272","Financial Services and Insurance",Compliance,"33.333333333333336"
"Connections between network devices and an individual machine","Microsoft:Windows data",Security,"https://lantern.splunk.com/@go/page/791","Industry Neutral","Incident Management",100
"Countries with the highest and lowest call volumes","Call Detail Record data",Platform,"https://lantern.splunk.com/@go/page/2370","Technology, Communications, and Media","Technology, Communications, and Media Analysis",100
