"use_case","L6_sourcetype_category",domain,"lantern_url","lantern_vertical","lantern_vertical_category","percent_of_use_case"
"*Nix CPU utilization nearing capacity","System Log data",Observability,"https://lantern.splunk.com/@go/page/1749","Industry Neutral","Infrastructure Monitoring",100
"*Nix host stops reporting data","System Log data",Observability,"https://lantern.splunk.com/@go/page/2775","Industry Neutral","Infrastructure Monitoring",100
"*Nix hosts with NFS connectivity issues","System Log data",Observability,"https://lantern.splunk.com/@go/page/677","Industry Neutral","Infrastructure Monitoring",100
"*Nix memory utilization nearing capacity","System Log data",Observability,"https://lantern.splunk.com/@go/page/1750","Industry Neutral","Infrastructure Monitoring",100
".NET assemblies being compiled","Endpoint data",Security,"https://lantern.splunk.com/@go/page/1769","Industry Neutral","Threat Hunting",50
".NET assemblies being compiled","Microsoft : Windows data",Security,"https://lantern.splunk.com/@go/page/1769","Industry Neutral","Threat Hunting",50
"ATM withdrawal near threshold","Application data",Platform,"https://lantern.splunk.com/@go/page/1539","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"ATM withdrawal testing","Application data",Platform,"https://lantern.splunk.com/@go/page/1530","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Access to unencrypted resources","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/1229","Industry Neutral",Compliance,50
"Access to unencrypted resources","Web Proxy data",Security,"https://lantern.splunk.com/@go/page/1229","Industry Neutral",Compliance,50
"Activity from expired user identity","Authentication data",Security,"https://lantern.splunk.com/@go/page/546","Industry Neutral",Compliance,100
"Algorithmically generated domain names","Network Firewall data",Security,"https://lantern.splunk.com/@go/page/813","Industry Neutral","Threat Hunting",100
"All Windows events on a host","Microsoft : Windows data",Observability,"https://lantern.splunk.com/@go/page/1756","Industry Neutral","Infrastructure Monitoring",50
"All Windows events on a host","Updates data",Observability,"https://lantern.splunk.com/@go/page/1756","Industry Neutral","Infrastructure Monitoring",50
"All logs and events on a *nix host","System Log data",Observability,"https://lantern.splunk.com/@go/page/2781","Industry Neutral","Infrastructure Monitoring",100
"Analyzing AWS service action errors","AWS : CloudTrail data",Security,"https://lantern.splunk.com/@go/page/928","Industry Neutral",Compliance,100
"Analyzing credit limit increase requests","Application data",Platform,"https://lantern.splunk.com/@go/page/2753","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Analyzing wire data from databases","Database data",Observability,"https://lantern.splunk.com/@go/page/633","Industry Neutral","Infrastructure Monitoring",100
"Anomaly probability calculation with JA3/JA3s hashes","Deep Packet Inspection data",Security,"https://lantern.splunk.com/@go/page/2572","Industry Neutral","Threat Hunting",100
"Application error tracing","Application data",Observability,"https://lantern.splunk.com/@go/page/1509","Industry Neutral","Application Monitoring",50
"Application error tracing","Web Server data",Observability,"https://lantern.splunk.com/@go/page/1509","Industry Neutral","Application Monitoring",50
"Applying Benford's law of distribution to spot fraud","Application data",Platform,"https://lantern.splunk.com/@go/page/7542","Financial Services and Insurance","Align IT and Business with Service Monitoring",100
"Assessing the financial impact of eCommerce checkout errors","Application data",Observability,"https://lantern.splunk.com/@go/page/2228",,,100
"Auditing with the Splunk App for PCI Compliance","Antivirus and Antimalware (AV) data",Security,"https://lantern.splunk.com/@go/page/6601","Industry Neutral",Compliance,50
"Auditing with the Splunk App for PCI Compliance","Compliance and Governance data",Security,"https://lantern.splunk.com/@go/page/6601","Industry Neutral",Compliance,50
"Automating Know Your Customer continuous monitoring requirements","Web Server data",Security,"https://lantern.splunk.com/@go/page/7097","Industry Neutral",Compliance,100
"Automating the investigation of emails for malicious content","Email data",Security,"https://lantern.splunk.com/@go/page/7832","Industry Neutral","Threat Hunting",50
"Automating the investigation of emails for malicious content","Microsoft : 365 data",Security,"https://lantern.splunk.com/@go/page/7832","Industry Neutral","Threat Hunting",50
"Azure Active Directory audit events","Microsoft : Active Directory data",Observability,"https://lantern.splunk.com/@go/page/664","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Azure Active Directory audit events","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/664","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Azure Active Directory audit events","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/664","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Azure Active Directory users with no access for extended periods","Microsoft : Active Directory data",Observability,"https://lantern.splunk.com/@go/page/4357","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Azure Active Directory users with no access for extended periods","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/4357","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Azure Active Directory users with no access for extended periods","Microsoft : Cloud Services data",Observability,"https://lantern.splunk.com/@go/page/4357","Industry Neutral","Infrastructure Monitoring","33.333333333333336"
"Azure critical infrastructure health","Microsoft : Azure data",Observability,"https://lantern.splunk.com/@go/page/4368","Industry Neutral","Infrastructure Monitoring",50
