auditType,auditTypeString
1,Asset is being segmented (network)
10,Inbound allow rule deleted
100,User access configuration created
101,User access configuration edited
102,User access configuration deleted
103,Connect server deployed
104,Connect asset created
105,Asset segmentation postponed (network) (pending review rules)
106,Region edited
107,Connect server edited
108,Asset is being segmented (identity)
109,Asset segmented (identity)
11,Inbound allow rule expired
110,Asset is being unsegmented (identity)
111,Asset unsegmented (identity)
112,Identity rule created
113,Identity rule deleted
114,Identity rule expired
115,Identity rule edited
116,User segmented (identity)
117,User unsegmented (identity)
118,User added to learning (identity)
119,User removed from learning (identity)
12,Inbound allow rule edited
120,Asset added to RPC monitoring
121,Asset removed from RPC monitoring
122,User classification changed
123,Connect session extended
124,Asset marked as inactive by repo delete
125,Asset marked as active by repo revive
126,Asset marked as inactive by user
127,Asset marked as active by user
128,Break glass activated
129,Break glass deactivated
130,Asset marked as inactive by repo disable
131,Asset marked as active by repo enable
17,Inbound MFA policy created
18,Inbound MFA policy deleted
19,Inbound MFA policy edited
2,Asset segmented (network)
20,Inbound JIT rule created
21,Inbound JIT rule deleted
22,Inbound JIT rule expired
23,Inbound JIT rule revived
24,Inbound JIT rule edited
25,API Token created
26,API Token deleted
27,API Token regenerated
28,Asset segmentation date postponed (network)
29,Outbound block rule created
30,Outbound block rule deleted
31,Outbound block rule expired
32,Outbound block rule edited
33,Inbound block rule created
34,Inbound block rule deleted
35,Inbound block rule expired
36,Inbound block rule edited
39,Asset unsegmented (network) (overriding policy)
4,Asset is being unsegmented (network)
40,Asset is being unsegmented (network) (overriding policy)
41,Asset removed from learning (network) (overriding policy)
42,Asset is being segmented (network) (policy)
43,Asset segmented (network) (policy)
44,Asset added to learning (network) (policy)
45,Segmentation policy created
46,Segmentation policy deleted
47,Segmentation policy edited
48,Inbound JIT access rejected
49,Inbound JIT fallback rule created
5,Asset unsegmented (network)
50,Inbound JIT fallback rule deleted
51,Inbound JIT fallback rule expired
53,Outbound allow rule created
54,Outbound allow rule deleted
55,Outbound allow rule expired
56,Outbound allow rule edited
58,Admin portal role changed to admin
59,Admin portal role changed to viewer
60,Admin portal role revoked
61,Outbound JIT rule created
62,Outbound JIT rule deleted
63,Outbound JIT rule expired
64,Outbound MFA policy created
65,Outbound MFA policy deleted
66,Outbound MFA policy edited
67,Outbound JIT access rejected
68,Asset learning is done (network)
69,Asset learning (policy) is done (network)
7,Asset added to learning (network)
70,Manual Linux asset created
71,Manual OT/IoT asset created
72,Asset learning extended (network)
73,Admin portal logon
74,Asset manager added
75,Asset manager removed
76,Asset is monitored by Cloud connector
77,Asset is no longer monitored by Cloud connector
78,Asset is monitored by Segment server
79,Asset is back to learning (network)
8,Asset removed from learning (network)
80,Manual OT/IoT asset edited
81,Admin portal role changed to operator
82,Segment server deployed
83,AI inbound allow rule rejected
84,AI inbound block rule rejected
85,AI outbound allow rule rejected
86,AI outbound block rule rejected
87,AI inbound allow rule approved
88,AI inbound block rule approved
89,AI outbound allow rule approved
9,Inbound allow rule created
90,AI outbound block rule approved
91,AI inbound allow rule approved with changes
92,AI inbound block rule approved with changes
93,AI outbound allow rule approved with changes
94,AI outbound block rule approved with changes
95,Region created
96,Connect session created
97,Connect session expired
98,Connect session revoked
99,Connect session logout
