type,domain,intel
domain,traffic-systems.biz,botvrij.eu
domain,medtronic.pw,botvrij.eu
domain,www.kiwitemplates.com,botvrij.eu
domain,vuotando-tdiff.nyraclub.com,botvrij.eu
domain,opravnatramvaji.cz,botvrij.eu
domain,img.zolotcekatya.info,botvrij.eu
domain,gil.noglutendairysugar.com,botvrij.eu
domain,www.polarroute.com,botvrij.eu
domain,citrix.vipreclod.com,botvrij.eu
domain,capstoneturbine.com,botvrij.eu
domain,web.viprclod.com,botvrij.eu
domain,webvipr.clod.com,botvrij.eu
domain,viprclod.com,botvrij.eu
domain,oa.ameteksen.com,botvrij.eu
domain,ameteksen.com,botvrij.eu
domain,ameteksensors.com,botvrij.eu
domain,ametek.com,botvrij.eu
domain,asso.net,botvrij.eu
domain,gifas.assso.net,botvrij.eu
domain,gifas.asso.fr,botvrij.eu
domain,gifas.asso.net,botvrij.eu
domain,ssl-vait.com,botvrij.eu
domain,ssl-vaeit.com,botvrij.eu
domain,sharepoint-vaeit.com,botvrij.eu
domain,we11point.com,botvrij.eu
domain,healthslie.com,botvrij.eu
domain,prennera.com,botvrij.eu
domain,topsec2014.com,botvrij.eu
domain,qq.com,botvrij.eu
domain,googese.com,botvrij.eu
domain,163.com,botvrij.eu
domain,extcitrix.we11point.com,botvrij.eu
domain,asconline.we11point.com,botvrij.eu
domain,assso.net,botvrij.eu
domain,capstoneturbine.cechire.com,botvrij.eu
domain,caref1rst.com,botvrij.eu
domain,careflrst.com,botvrij.eu
domain,facefuture.us,botvrij.eu
domain,gifas.blogsite.org,botvrij.eu
domain,gifas.cechire.com,botvrij.eu
domain,truecryptrussia.ru,botvrij.eu
domain,extranet.qualityplanning.com,botvrij.eu
domain,www.illuminatistudios.net,botvrij.eu
domain,ff.whitebirchpaper.com,botvrij.eu
domain,visionresearch.com,botvrij.eu
domain,betawebservices.ntnonline.com,botvrij.eu
domain,staff.shasta.com,botvrij.eu
domain,secure.hgl.com,botvrij.eu
domain,illuminatistudios.net,botvrij.eu
domain,connectads.com,botvrij.eu
domain,kane-consulting.net,botvrij.eu
domain,edadmin.kearsney.com,botvrij.eu
domain,redbluffchamber.com,botvrij.eu
domain,www.cbppnews.com,botvrij.eu
domain,cdn.sanecat.com,botvrij.eu
domain,inocnation.com,botvrij.eu
domain,webmail.vipreclod.com,botvrij.eu
domain,capstone.homeftp.net,botvrij.eu
domain,alkavkaz.com,botvrij.eu
domain,cihaderi.net,botvrij.eu
domain,cis-criminal-report.com,botvrij.eu
domain,criminal-report.in,botvrij.eu
domain,violation-report.in,botvrij.eu
domain,latexfetishsex.com,botvrij.eu
domain,italy-girls.mobi,botvrij.eu
domain,volusion-cdn.com,botvrij.eu
domain,itaiwans.com,botvrij.eu
