ip,domain,intel
"195.110.124.133","vaccinoday.blog","malwarepatrol.net"
"184.168.131.241","thecovidcompiler.club","malwarepatrol.net"
"185.82.22.193","covid-test.berlin","malwarepatrol.net"
"209.141.38.71","covid.catering","malwarepatrol.net"
"192.161.187.200","covid.catering","malwarepatrol.net"
"107.161.23.204","covid.catering","malwarepatrol.net"
"66.96.162.128","covid-19.airforce","malwarepatrol.net"
"185.206.162.114","cashbackbharat.com","malwarepatrol.net"
"34.102.136.180","binaxcovidtest.com","malwarepatrol.net"
"72.167.191.69","bharatvivah.com","malwarepatrol.net"
"43.225.55.240","bharatstories.com","malwarepatrol.net"
"116.202.226.139","bharatrefrigeration.com","malwarepatrol.net"
"2.57.90.16","bharatoverseasedu.com","malwarepatrol.net"
"108.167.136.54","bharatgour.com","malwarepatrol.net"
"178.238.47.153","baltimorecovidtesting.com","malwarepatrol.net"
"34.98.99.30","arewevaccinatedyet.com","malwarepatrol.net"
"213.171.195.105","approvedcovidmouthwash.com","malwarepatrol.net"
"208.91.197.91","abhyudaybharatindustries.com","malwarepatrol.net"
"104.247.81.11","wwwessexcovid.org","malwarepatrol.net"
"185.81.4.203","vaccinoacasa.info","malwarepatrol.net"
"208.113.193.143","vaccinepassports.org","malwarepatrol.net"
"199.59.242.153","vaccine-passport.org","malwarepatrol.net"
"91.195.240.94","vaccinemate.org","malwarepatrol.net"
"217.160.123.68","vaccinationwatch.org","malwarepatrol.net"
"198.49.23.145","vaccinatedand.org","malwarepatrol.net"
"198.185.159.145","vaccinatedand.org","malwarepatrol.net"
"198.185.159.144","vaccinatedand.org","malwarepatrol.net"
"198.49.23.144","vaccinatedand.org","malwarepatrol.net"
"146.0.74.208","preventnetcovid19.org","malwarepatrol.net"
"23.227.38.71","pandemiceverything.org","malwarepatrol.net"
"34.66.17.47","nckupandemic.info","malwarepatrol.net"
"208.91.197.27","jwapandemicoutreach.org","malwarepatrol.net"
"91.184.0.100","goodbyecovid.party","malwarepatrol.net"
"192.254.187.76","exposecovid.info","malwarepatrol.net"
"62.149.128.151","covidvariante.net","malwarepatrol.net"
"62.149.128.160","covidvariante.net","malwarepatrol.net"
"62.149.128.154","covidvariante.net","malwarepatrol.net"
"62.149.128.157","covidvariante.net","malwarepatrol.net"
"62.149.128.166","covidvariante.net","malwarepatrol.net"
"62.149.128.163","covidvariante.net","malwarepatrol.net"
"18.158.9.148","covidtrack.life","malwarepatrol.net"
"54.150.72.8","covid-summary.site","malwarepatrol.net"
"23.227.38.73","covidhometest.shop","malwarepatrol.net"
"74.117.219.199","covidagenda.info","malwarepatrol.net"
"74.117.219.198","covidagenda.info","malwarepatrol.net"
"104.247.81.10","covid19vaccine.healthcare","malwarepatrol.net"
"191.101.50.140","covid19-icrc.org","malwarepatrol.net"
"185.182.56.12","coronavaccinatiewijzer.online","malwarepatrol.net"
"178.62.192.82","aftercorona.rocks","malwarepatrol.net"
"89.31.143.1","fincorona.com","malwarepatrol.net"
"213.186.33.5","easytestcovid.com","malwarepatrol.net"
"115.124.105.251","dhanwanbharat.com","malwarepatrol.net"
"164.138.218.177","covidvaks.com","malwarepatrol.net"
"96.126.123.244","covidteatingtoyou.com","malwarepatrol.net"
"45.33.23.183","covidteatingtoyou.com","malwarepatrol.net"
"45.33.2.79","covidteatingtoyou.com","malwarepatrol.net"
"198.58.118.167","covidteatingtoyou.com","malwarepatrol.net"
"45.79.19.196","covidteatingtoyou.com","malwarepatrol.net"
"45.56.79.23","covidteatingtoyou.com","malwarepatrol.net"
"23.227.38.32","covidstapo.com","malwarepatrol.net"
"37.97.254.27","covidsneltestloket.com","malwarepatrol.net"
"23.236.62.147","covidnurselife.com","malwarepatrol.net"
"35.204.150.5","covidnewssex.com","malwarepatrol.net"
"109.206.182.155","covidisdanger.com","malwarepatrol.net"
"66.147.238.141","covidinterventionfund.com","malwarepatrol.net"
"206.188.192.35","covid19variants.com","malwarepatrol.net"
"81.169.145.143","coronatest-bayern.com","malwarepatrol.net"
"81.169.145.64","coronatest-089.com","malwarepatrol.net"
"85.13.154.123","coronaschnelltestberlin.com","malwarepatrol.net"
"185.104.28.238","coronagorgeltest.com","malwarepatrol.net"
"74.220.199.6","coronafalsealarm.com","malwarepatrol.net"
"3.134.22.63","coronadocay.com","malwarepatrol.net"
"3.137.125.209","coronadocay.com","malwarepatrol.net"
"3.138.82.195","coronadocay.com","malwarepatrol.net"
"prod-sav-park-lb01-1919960993.us-east-2.elb.amazonaws.com.","coronadocay.com","malwarepatrol.net"
"64.98.145.30","coronacafeaustin.com","malwarepatrol.net"
"216.92.3.110","capecovidtesting.com","malwarepatrol.net"
"148.66.137.25","bharattoyhouse.com","malwarepatrol.net"
"63.250.38.14","bharatmehra.com","malwarepatrol.net"
"88.214.207.96","accesstocovid19vaccines.com","malwarepatrol.net"
"64.70.19.34","vaccines.center","malwarepatrol.net"
"178.33.23.25","febharat.com","malwarepatrol.net"
"35.186.238.101","covidtestingtruck.com","malwarepatrol.net"
"99.83.175.80","covidcommunitycare.com","malwarepatrol.net"
"206.188.193.100","covidbusterscalgary.com","malwarepatrol.net"
"216.239.38.21","covid20india.com","malwarepatrol.net"
"216.239.36.21","covid20india.com","malwarepatrol.net"
"216.239.32.21","covid20india.com","malwarepatrol.net"
"216.239.34.21","covid20india.com","malwarepatrol.net"
"89.252.190.169","covid19hastabakim.com","malwarepatrol.net"
"109.234.161.117","coronavoids.com","malwarepatrol.net"
"66.96.162.149","corona-istishericare.com","malwarepatrol.net"
"52.136.196.128","businessonholdincorona.com","malwarepatrol.net"
"192.0.78.25","bradentoncovid.com","malwarepatrol.net"
"192.0.78.24","bradentoncovid.com","malwarepatrol.net"
"91.195.240.117","bharatstainless.com","malwarepatrol.net"
"163.44.185.233","beyond-corona-nausicaa.com","malwarepatrol.net"
"217.160.0.150","covid-testcenter.com","malwarepatrol.net"
"66.96.147.102","covidnaturalremedy.com","malwarepatrol.net"
"5.77.41.136","coviddatatosee.com","malwarepatrol.net"
"44.230.192.199","covid20-pcr.com","malwarepatrol.net"
"116.202.66.60","covid-19healthpass.com","malwarepatrol.net"
"51.91.236.255","coronateam.black","malwarepatrol.net"
"116.202.9.166","corona-schnelltest-stuttgart.com","malwarepatrol.net"
"116.203.213.72","corona-schnelltest-stuttgart.com","malwarepatrol.net"
"217.160.0.9","coronaawork.com","malwarepatrol.net"
"68.65.122.43","claim-pandemicfund.com","malwarepatrol.net"
"91.195.241.137","checkvaccine.com","malwarepatrol.net"
"3.217.71.197","browardcovidvaccine.com","malwarepatrol.net"
"52.72.151.141","browardcovidvaccine.com","malwarepatrol.net"
"148.66.137.115","bharattradition.club","malwarepatrol.net"
"13.248.196.204","bharathijyotish.com","malwarepatrol.net"
"119.28.6.251","beeremovalcorona.com","malwarepatrol.net"
"151.106.96.87","akhandbharatlive.com","malwarepatrol.net"
"37.9.175.131","pandemic.christmas","malwarepatrol.net"
"217.70.184.38","covidclear.band","malwarepatrol.net"
"74.208.236.4","christmascorona2020.com","malwarepatrol.net"
"81.17.18.196","cdcvaccine-us.com","malwarepatrol.net"
"37.59.45.120","bharathinaturals.com","malwarepatrol.net"
"203.170.80.250","bharataqua.com","malwarepatrol.net"
"51.83.66.166","aides-covid.com","malwarepatrol.net"
"78.46.93.68","mentalvaccine.best","malwarepatrol.net"
"169.239.216.61","covid21.africa","malwarepatrol.net"
"217.160.184.89","covidescapeitalia.club","malwarepatrol.net"
"93.89.226.17","covid21.click","malwarepatrol.net"
"192.187.111.220","bharatcangaram.com","malwarepatrol.net"
"52.0.217.44","b117vaccine.com","malwarepatrol.net"
"67.205.44.183","athomecovidrapidtests.com","malwarepatrol.net"
"46.28.105.3","xn--covidvakcna-wcb.online","malwarepatrol.net"
"52.219.88.131","umassfight-covid-diningjobs.online","malwarepatrol.net"
"85.214.45.45","testnow-covid19.net","malwarepatrol.net"
"94.136.40.51","takethecovid19vaccine.org","malwarepatrol.net"
"81.169.145.148","schnelltest-corona.bayern","malwarepatrol.net"
"66.96.162.136","longcovidrelief.org","malwarepatrol.net"
"193.62.203.106","insight-covid19.org","malwarepatrol.net"
"193.62.203.105","insight-covid19.org","malwarepatrol.net"
"66.96.146.102","immune2covid.net","malwarepatrol.net"
"173.205.127.152","covidprophecy.net","malwarepatrol.net"
"185.26.105.244","covidotest.shop","malwarepatrol.net"
"51.178.17.221","covidinvaders.net","malwarepatrol.net"
"66.96.162.145","covidarmor.biz","malwarepatrol.net"
"148.66.137.119","covid19-pal.online","malwarepatrol.net"
"172.67.176.146","covid19live.club","malwarepatrol.net"
"104.27.184.185","covid19live.club","malwarepatrol.net"
"104.27.185.185","covid19live.club","malwarepatrol.net"
"185.221.37.139","covid1984.blog","malwarepatrol.net"
"207.154.235.140","covid-1984.blog","malwarepatrol.net"
"217.160.0.35","coronatest24.berlin","malwarepatrol.net"
"46.30.215.30","corona-schnelltest.bayern","malwarepatrol.net"
"198.187.31.193","coronamasks.icu","malwarepatrol.net"
"81.169.145.167","corona-datensammlung.info","malwarepatrol.net"
"205.178.189.131","bharatrealty.online","malwarepatrol.net"
"199.34.228.50","mypandemicarchive.blog","malwarepatrol.net"
"50.31.147.159","duelocovid.com","malwarepatrol.net"
"217.160.0.170","covidtester24.com","malwarepatrol.net"
"81.169.145.172","covidspeicheltest.com","malwarepatrol.net"
"81.169.145.65","covid-speicheltest.com","malwarepatrol.net"
"52.60.87.163","covid202x.com","malwarepatrol.net"
"3.17.228.65","covid19v.com","malwarepatrol.net"
"3.140.156.230","covid19v.com","malwarepatrol.net"
"3.139.14.45","covid19v.com","malwarepatrol.net"
"185.87.187.243","covid19pcr-diagnostics.com","malwarepatrol.net"
"3.17.26.27","covid19amplify.com","malwarepatrol.net"
"81.169.145.155","coronaspeicheltest.com","malwarepatrol.net"
"81.169.145.166","corona-speicheltest.com","malwarepatrol.net"
"76.76.21.21","coronacarol.com","malwarepatrol.net"
"52.0.7.30","zerocovid.club","malwarepatrol.net"
"35.169.225.248","zerocovid.club","malwarepatrol.net"
"34.202.122.77","zerocovid.club","malwarepatrol.net"
"217.76.128.34","infocovid.cat","malwarepatrol.net"
"74.208.236.168","covidochum.info","malwarepatrol.net"
"74.208.236.118","covidliving.info","malwarepatrol.net"
"151.101.1.195","covidvax.app","malwarepatrol.net"
"208.109.41.244","360covideos.com","malwarepatrol.net"
"108.167.182.245","26storiesonepandemic.com","malwarepatrol.net"
"217.160.0.204","after-corona-club.com","malwarepatrol.net"
"50.62.137.48","actualcovid.com","malwarepatrol.net"
"82.98.155.24","covidsalut.cat","malwarepatrol.net"
"63.250.43.10","bclawandcovid.com","malwarepatrol.net"
"63.250.43.9","bclawandcovid.com","malwarepatrol.net"
"74.207.236.136","atcovidtest.com","malwarepatrol.net"
"103.253.212.41","alkesccovid19.com","malwarepatrol.net"
"85.13.149.79","corona-testcenter.berlin","malwarepatrol.net"
"31.47.72.151","afectadosvacunacoronavirus.com","malwarepatrol.net"
"31.47.72.141","afectadosvacunacoronavirus.com","malwarepatrol.net"
"209.99.64.55","accuratecovidtestchicago.com","malwarepatrol.net"
"172.67.215.40","32247coronation.com","malwarepatrol.net"
"104.24.103.39","32247coronation.com","malwarepatrol.net"
"104.24.102.39","32247coronation.com","malwarepatrol.net"
"52.213.10.15","elsecretodesveladodelcoronavirus.com","malwarepatrol.net"
"54.246.236.226","elsecretodesveladodelcoronavirus.com","malwarepatrol.net"
"52.50.104.40","elsecretodesveladodelcoronavirus.com","malwarepatrol.net"
"54.229.198.190","elsecretodesveladodelcoronavirus.com","malwarepatrol.net"
"216.239.136.99","covidvaccinationbracelet.com","malwarepatrol.net"
"217.160.0.67","covidslave.com","malwarepatrol.net"
"162.0.209.189","covidmobilevaccines.com","malwarepatrol.net"
"162.241.194.34","covidmedicalheroes.com","malwarepatrol.net"
"217.160.0.122","covid-frankfurt.com","malwarepatrol.net"
"92.249.45.15","covidcopywriter.com","malwarepatrol.net"
"104.244.120.9","coronavirusems.com","malwarepatrol.net"
"74.208.71.35","coronagrow.com","malwarepatrol.net"
"104.31.72.237","dentist-corona.com","malwarepatrol.net"
"104.31.73.237","dentist-corona.com","malwarepatrol.net"
"172.67.161.189","dentist-corona.com","malwarepatrol.net"
"192.185.103.78","dedhamcovidtest.com","malwarepatrol.net"
"216.230.29.185","covid-vaccine-lawyer.com","malwarepatrol.net"
"13.56.209.40","covidtestingmi.com","malwarepatrol.net"
"91.195.240.103","covidtestingkc.com","malwarepatrol.net"
"195.34.83.112","covid-selbsttest.com","malwarepatrol.net"
"167.172.215.127","covidmapdata.com","malwarepatrol.net"
"104.248.78.24","covidmapdata.com","malwarepatrol.net"
"107.154.84.62","covidmakebelieve.com","malwarepatrol.net"
"107.154.154.62","covidmakebelieve.com","malwarepatrol.net"
"172.67.212.179","covidkontrol.com","malwarepatrol.net"
"104.18.32.50","covidkontrol.com","malwarepatrol.net"
"104.18.33.50","covidkontrol.com","malwarepatrol.net"
"40.89.162.151","covid-inde-mnisation.com","malwarepatrol.net"
"91.227.139.235","covidhometeszt.com","malwarepatrol.net"
"81.169.145.87","covidcenter-rheinmain.com","malwarepatrol.net"
"173.236.148.81","covidbusinessmemorial.com","malwarepatrol.net"
"172.67.171.182","covid19-tagebuch.com","malwarepatrol.net"
"104.27.134.204","covid19-tagebuch.com","malwarepatrol.net"
"104.27.135.204","covid19-tagebuch.com","malwarepatrol.net"
"185.199.111.153","covid19datamodels.com","malwarepatrol.net"
"185.199.108.153","covid19datamodels.com","malwarepatrol.net"
"185.199.109.153","covid19datamodels.com","malwarepatrol.net"
"185.199.110.153","covid19datamodels.com","malwarepatrol.net"
"139.162.186.93","coronazubairlap.com","malwarepatrol.net"
"104.247.81.12","coronatestrapid.com","malwarepatrol.net"
"217.160.0.245","corona-gin.com","malwarepatrol.net"
"34.242.137.121","connercoronation.com","malwarepatrol.net"
"54.72.94.244","connercoronation.com","malwarepatrol.net"
"8.29.155.197","casscovideo.com","malwarepatrol.net"
"104.130.255.68","brightstarcarecovidtest.biz","malwarepatrol.net"
"52.213.114.86","bodrumcovidtesti.com","malwarepatrol.net"
"217.160.0.199","covidvaccine.claims","malwarepatrol.net"
