JobType,JobTypeDescription
0,Backup Job
1,Replication Job
2,Backup Copy Job
3,SureBackup Job
8,Quick Migration
22,Rescan Job
24,File to Tape Job
28,Backup to Tape Job
50,Replication Job
51,Backup Copy Job
52,MS SQL Log Backup Job
54,Oracle Log Backup Job
60,HPE StoreOnce Replication Job
63,Backup Copy Job
65,Backup Copy Job
70,Backup Copy Job
74,PostgreSQL Log Backup Job
78,Entra ID Backup Job
100,Configuration Backup Job
104,Configuration Database Maintenance Job
198,Tape Verification Job
501,Tape Copy Job
202,Restore Job
203,Undo Failover Plan
290,Restore Job
316,CDP Policy
4000,Agent Backup Job (Backup Server)
12000,Agent Backup Job (Backup Server)
12002,Agent Backup Job (Backup Policy)
12003,Agent Backup Job (Backup Server)
12100,Enterprise Plug-in Backup Job
12101,Enterprise Plug-in Log Backup Job
13000,File Backup job
13003,File Backup Copy Job
14000,Backup Job
15000,Storage Snapshot Snapshot-Only Job
15001,Storage Snapshot Backup Job
15002,Storage Snapshot Copy Job
15004,Storage Snapshot Restore Session
18000,Archive Tier Backup Job
18001,Archive Tier Restore Session
18002,Archive Download Session
18003,Archive Tier Synchronization Job
18004,Archive Tier Backup Copy Job
18005,Archive Tier Archiving Job
18006,Publish Disk Session
18008,Object Storage Repository Synchronization Job
24002,Guest OS File Restore Session
33000,SureBackup Scan only
33001,SureBackup Scan only
40800,Configuration Restore Session Finished
