EventID,"orig_description"
1096,"Port blocking rule violation detected and NOT blocked"
1102,"Multiple extension heuristic detection - moved"
1103,"Prescan needed"
1104,"Multiple extension heuristic detection - delete on reboot"
1106,"Multiple extension heuristic detection - message deleted"
1301,"Multiple extension heuristic detection - clean error, quarantined successfully"
1302,"Multiple extension heuristic detection - move failed, clean error"
1303,"Multiple extension heuristic detection - clean error, deleted successfully"
1304,"Multiple extension heuristic detection - clean error, delete failed"
1305,"Multiple extension heuristic detection - clean error, denied access and continued"
1306,"Multiple extension heuristic detection - move failed, deleted successfully"
1307,"Multiple extension heuristic detection - move failed, delete failed"
1308,"Multiple extension heuristic detection - move failed, denied access and continued"
1309,"Multiple extension heuristic detection - delete failed, quarantined successfully"
1310,"Multiple extension heuristic detection - delete failed, quarantine failed"
1311,"Multiple extension heuristic detection - delete failed, denied access and continued"
1312,"Move failed, delete failed, file will be deleted on reboot"
1313,"Multiple extension heuristic detection - move failed, delete failed, file will be deleted on reboot"
1314,"Encrypted file - clean error, delete on reboot"
1315,"Heuristic detection - clean error, delete on reboot"
1316,"Multiple extension heuristic detection - clean error, delete on reboot"
1317,"No cleaner available - clean error, delete on reboot"
1318,"Undetermined - clean error, delete on reboot"
1319,"Undetermined - clean error, message deleted"
1320,"Encrypted - clean error, message deleted"
1321,"Heuristic detection - clean error, message deleted"
1322,"Multiple extension heuristic detection - clean error, message deleted"
1323,"Clean error, message deleted"
1324,"Move failed, message deleted"
1325,"Multiple extension heuristic detection - move failed, message deleted"
1326,"Clean error, message deleted"
1327,"Move failed, message deleted"
1328,"Move failed, message delete (multiple extensions)"
1400,"User defined object detected, no Action Taken"
1401,"Clean failed (user defined detection), no Action Taken"
1402,"Clean failed (user defined detection), Move failed"
1403,"Moved (user defined detection), Clean failed"
1404,"Clean failed (user defined detection), Delete failed"
1405,"Deleted (user defined detection), Clean failed"
1406,"Moved (user defined detection)"
1407,"Move failed(user defined detection), Delete failed"
1408,"Deleted (user defined detection), Move failed"
1409,"Move failed(user defined detection), no Action Taken"
1410,"Deleted (user defined detection)"
1411,"Delete failed (user defined detection), Move failed"
1412,"Moved (user defined detection), Delete failed"
1413,"Delete failed (user defined detection), no Action Taken"
1414,"Clean failed, delete failed, file (user defined detection) will be deleted on reboot"
1415,"Deleted failed, file (user defined detection) will be deleted on reboot"
1416,"Move failed, delete failed, file (user defined detection) will be deleted on reboot"
1417,"Email message deleted (user defined detection)"
1418,"Email message deleted (user defined detection), Clean failed"
1419,"Email message deleted (user defined detection), Move failed"
1420,"Email message deleted (user defined detection), Delete failed"
1421,"Clean error as no cleaner was available, and delete pending"
1422,"Clean failed for heuristic detection, delete pending"
1423,"Clean error (undetermined error), delete pending"
1424,"Clean failed for encrypted file, delete pending"
1425,"Clean error (multiple extension heuristic detection), delete pending"
1426,"Move failed, delete pending"
1427,"Move failed (multiple extension heuristic detection), delete pending"
1428,"Delete pending, a file still exists"
1429,"Delete pending (multiple extension heuristic detection)"
1430,"User-defined detection, delete pending"
1431,"User-defined detection, move failed, delete pending"
18051,"An unauthorized escalation of privilege was attempted and blocked (SMEP)"
18052,"Buffer Overflow detected and blocked (GBOP)"
18053,"An unauthorized escalation of privilege was attempted and blocked (GPEP)"
18054,"An exploit was attempted and blocked"
18055,"A suspicious call was detected and blocked"
18056,"Buffer Overflow detected and blocked (DEP)"
18057,"Tampering with Exploit Prevention has been detected."
18058,"Access Protection rule violation detected"
18059,"Network intrusion detected and handled"
18060,"Exploit Prevention Files/Process/Registry violation detected"
18600,"Browser navigation"
18601,"Browser file download"
34852,"On-Demand Scan Paused"
34853,"On-Demand Scan Auto-Paused"
34854,"On-Demand Scan Resumed"
34855,"On-Demand Scan Canceled or Stopped"
34857,"Client interface logon audit"
34865,"DLL Injection Event"
34900,"On-Demand Scan Deferred"
34910,"Quarantined Item Restored"
34920,"Roll back successful"
34921,"Roll back failed"
34922,"Roll back did not occur"
34923,"The item was corrupt"
34924,"The object was not scanned due to a sharing violation"
34925,"The object was not scanned because the scanner does not have enough rights to read it"
34926,"The object was not scanned because the file size exceeds the configured maximum file size to scan."
34928,"Threat Prevention False Positive Mitigation"
34935,"Script security violation detected and blocked by AMSI"
34936,"Script security violation detected and deleted by AMSI"
34937,"Script security violation detected, AMSI would block"
34938,"Script security violation detected, AMSI would delete"
35000,"Traffic allowed by Firewall"
35001,"Firewall intrusion detected and handled"
35002,"Traffic blocked by Firewall"
35003,"Firewall added adaptive rule"
35009,"Firewall is disabled from Mctray"
35010,"Firewall timed groups are enabled from McTray"
35011,"Firewall policy was corrupt and has been repaired"
35012,"Firewall policy has been replaced with a new copy"
35100,"Adaptive Threat Protection Access Protection Violation"
35101,"Adaptive Threat Protection False Positive Mitigation"
35102,"Adaptive Threat Protection Would Block"
35103,"Adaptive Threat Protection Would Allow"
35104,"Adaptive Threat Protection Block"
35105,"Adaptive Threat Protection Allow"
35106,"Adaptive Threat Protection Would Clean"
35107,"Adaptive Threat Protection Clean"
35111,"Threat Intelligence Would Contain"
35112,"Threat Intelligence Contain"
35113,"Threat Intelligence Would Release"
35114,"Threat Intelligence Release"
35116,"Adaptive Threat Protection Block Source"
35117,"Adaptive Threat Protection Would Block Source"
