technique_id,technique_name,type
T1001,Data Obfuscation,Enterprise
T1003,OS Credential Dumping,Enterprise
T1005,Data from Local System,Enterprise
T1006,Direct Volume Access,Enterprise
T1007,System Service Discovery,Enterprise
T1008,Fallback Channels,Enterprise
T1010,Application Window Discovery,Enterprise
T1011,Exfiltration Over Other Network Medium,Enterprise
T1012,Query Registry,Enterprise
T1014,Rootkit,Enterprise
T1016,System Network Configuration Discovery,Enterprise
T1018,Remote System Discovery,Enterprise
T1020,Automated Exfiltration,Enterprise
T1021,Remote Services,Enterprise
T1025,Data from Removable Media,Enterprise
T1027,Obfuscated Files or Information,Enterprise
T1029,Scheduled Transfer,Enterprise
T1030,Data Transfer Size Limits,Enterprise
T1033,System Owner/User Discovery,Enterprise
T1036,Masquerading,Enterprise
T1037,Boot or Logon Initialization Scripts,Enterprise
T1039,Data from Network Shared Drive,Enterprise
T1040,Network Sniffing,Enterprise
T1041,Exfiltration Over C2 Channel,Enterprise
T1046,Network Service Discovery,Enterprise
T1047,Windows Management Instrumentation,Enterprise
T1048,Exfiltration Over Alternative Protocol,Enterprise
T1049,System Network Connections Discovery,Enterprise
T1052,Exfiltration Over Physical Medium,Enterprise
T1053,Scheduled Task/Job,Enterprise
T1055,Process Injection,Enterprise
T1056,Input Capture,Enterprise
T1057,Process Discovery,Enterprise
T1059,Command and Scripting Interpreter,Enterprise
T1068,Exploitation for Privilege Escalation,Enterprise
T1069,Permission Groups Discovery,Enterprise
T1070,Indicator Removal,Enterprise
T1071,Application Layer Protocol,Enterprise
T1072,Software Deployment Tools,Enterprise
T1074,Data Staged,Enterprise
T1078,Valid Accounts,Enterprise
T1080,Taint Shared Content,Enterprise
T1082,System Information Discovery,Enterprise
T1083,File and Directory Discovery,Enterprise
T1087,Account Discovery,Enterprise
T1090,Proxy,Enterprise
T1091,Replication Through Removable Media,Enterprise
T1092,Communication Through Removable Media,Enterprise
T1095,Non-Application Layer Protocol,Enterprise
T1098,Account Manipulation,Enterprise
T1102,Web Service,Enterprise
T1104,Multi-Stage Channels,Enterprise
T1105,Ingress Tool Transfer,Enterprise
