type_uid,type_name,type_uid_description
100100,"File System Activity: Unknown",
100101,"File System Activity: Create","A request to create a new file on a file system."
100102,"File System Activity: Read","A request to read data from a file on a file system."
100103,"File System Activity: Update","A request to write data to a file on a file system."
100104,"File System Activity: Delete","A request to delete a file on a file system."
100105,"File System Activity: Rename","A request to rename a file on a file system."
100106,"File System Activity: Set Attributes","A request to set attributes for a file on a file system."
100107,"File System Activity: Set Security","A request to set security for a file on a file system."
100108,"File System Activity: Get Attributes","A request to get attributes for a file on a file system."
100109,"File System Activity: Get Security","A request to get security for a file on a file system."
100110,"File System Activity: Encrypt","A request to encrypt a file on a file system."
100111,"File System Activity: Decrypt","A request to decrypt a file on a file system."
100112,"File System Activity: Mount","A request to mount a file on a file system."
100113,"File System Activity: Unmount","A request to unmount a file from a file system."
100114,"File System Activity: Open","A request to create a file handle."
100199,"File System Activity: Other",
100500,"Module Activity: Unknown",
100501,"Module Activity: Load",
100502,"Module Activity: Unload",
100599,"Module Activity: Other",
100700,"Process Activity: Unknown",
100701,"Process Activity: Launch",
100702,"Process Activity: Terminate",
100703,"Process Activity: Open",
100704,"Process Activity: Inject",
100705,"Process Activity: Set User ID",
100799,"Process Activity: Other",
200100,"Security Finding: Unknown",
200101,"Security Finding: Create","A security finding is created."
200102,"Security Finding: Update","A security finding is updated."
200199,"Security Finding: Other",
300100,"Account Change: Unknown",
300101,"Account Change: Create",
300102,"Account Change: Enable",
300103,"Account Change: Password Change",
300104,"Account Change: Password Reset",
300105,"Account Change: Disable",
300106,"Account Change: Delete",
300107,"Account Change: Attach Policy",
300108,"Account Change: Detach Policy",
300109,"Account Change: Lock",
300199,"Account Change: Other",
300200,"Authentication: Unknown",
300201,"Authentication: Logon","A new logon session was requested."
300202,"Authentication: Logoff","A logon session was terminated and no longer exists."
300203,"Authentication: Authentication Ticket","A Kerberos authentication ticket (TGT) was requested."
300204,"Authentication: Service Ticket","A Kerberos service ticket was requested."
300299,"Authentication: Other",
300300,"Authorize Session: Unknown",
300301,"Authorize Session: Assign Privileges","Assign special privileges to a new logon."
300302,"Authorize Session: Assign Groups","Assign special groups to a new logon."
300399,"Authorize Session: Other",
