cos_action,cos_category,signature,action
going_online,HA,going_online,allowed
ignore,DNSCACHE,dns_cache_freeip4entry,teardown
lease_inactive,DHCPSERVER,lease_timeout,teardown
lease_released,DHCPSERVER,released_by_client,teardown
none,ALG,wcf_server_connected,allowed
none,CONN,ip_reputation,allowed
none,CONN,ip_reputation_query_timeout,teardown
none,IPREPUTATION,ipreputation_db_partial,allowed
none,IPREPUTATION,ipreputation_full_download_failed,blocked
none,IPREPUTATION,ipreputation_server_connect,allowed
none,SESMGR,sesmgr_session_removed,teardown
None,DOWNLOAD,download_verification_error,blocked
None,RULE,dns_no_record,blocked
reject,CONN,no_new_conn_for_this_packet,blocked
remove_entry,ARP,arp_resolution_failed,blocked
renew,DHCPSERVER,client_renewed,allowed
