sourcetype,viewLabel,viewName,description
System Services Statistics dashboards,CPU Uage ,CPU_usage,This dashboard shows the total CPU used per period, Rate of Change, Trend and Forecast of the Db2 CPU Usage metric for all the Db2 Subsystems found in the zMetricDb2 repository
System Services Statistics dashboards,Db2 Latch manager metrics,db2_latch_manager_metrics_index,zMetricsDb2 collects 33 Db2 Latch Manager activity metrics generated by the Db2 System Services.
System Services Statistics dashboards,Db2 Log manager metrics,db2_log_manager_metrics_index,zMetricsDb2 collects 22 Db2 Log Manager activity metrics generated by the Db2 System Services
System Services Statistics dashboards,Db2 Suspensions metrics,db2_suspensions_metrics_index,zMetricsDb2 collects 14 Db2 Suspensions activity metrics generated by the Db2 System Services
System Services Statistics dashboards,Db2 Subsystem services metrics,db2_subsystem_services_metrics_index,zMetricsDb2 collects 19 Db2 Subsystem Services activity metrics generated by the Db2 System Services
System Services Statistics dashboards,Db2 Checkpoint statistics,db2_checkpoint_stats,This dashboard shows the total checkpoints per "Time Span" period, Rate of Change, Trend and Forecast of the Db2 Checkpoint Counter metric for all the Db2 Subsystems found in the zMetricsDb2 repository
System Services Statistics dashboards,Db2 Storage manager metrics,db2_storage_manager_metrics_index,zMetricsDb2 collects 37 Db2 Storage Manager activity metrics generated by the Db2 Subsystem Services
System Services Statistics dashboards,Db2 DDF system metrics,db2_ddf_system_metrics_index,zMetricsDb2 collects 28 Db2 DDF System activity metrics generated by the Db2 System Services.
System Services Statistics dashboards,Db2 DDF Locations metrics,db2_ddf_location_metrics_index,zMetricsDb2 collects 19 Db2 DDF Location activity metrics generated by the Db2 System Services.
System Services Statistics dashboards,Db2 Commands metrics,db2_commands_metrics_index,zMetricsDb2 collects 50 Db2 Commands activity metrics generated by the Db2 System Services.
System Services Statistics dashboards,Db2 IFC counters metrics,db2_ifc_counters_metrics_index,zMetricsDb2 collects 18 Db2 IFC Counters activity metrics generated by the Db2 System Services
System Services Statistics dashboards,Db2 IFC destinations metrics,db2_ifc_destinations_metrics_index,zMetricsDb2 collects 6 Db2 IFC Destinations activity metrics generated by the Db2 System Services.
System Services Statistics dashboards,Db2 IFCID counters metrics,ifcid_counters_metrics_index,zMetricsDb2 collects 5 Db2 IFCID Counters activity metrics generated by the Db2 System Services
System Storage Usage dashboards,Db2 Address Spaces statistics,address_space_summary_qw0225,zMetricsDb2 collects 29 Db2 Address Spaces Storage Usage metrics generated by the Db2 Instrumentation Facility Component(IFC)
System Storage Usage dashboards,Db2 Threads statistics,thread_information_qw02252,zMetricsDb2 collects 8 Db2 Threads-related Storage Usage metrics generated by the Db2 Instrumentation Facility Component(IFC)
System Storage Usage dashboards,Db2 Shared Common Storage statitics,sharedcommon_storage_summary_qw02253,zMetricsDb2 collects 44 Db2 Shared/Common Storage Usage metrics generated by the Db2 Instrumentation Facility Component(IFC).
System Storage Usage dashboards,Db2 Statement cache and XPROCs statistics,statement_cache_and_xproc_detail,zMetricsDb2 collects 15 Db2 Statement Cache and xPROC Detail metrics generated by the Db2 Instrumentation Facility Component(IFC)
System Storage Usage dashboards,Db2 Pool statistics,pool_details,zMetricsDb2 collects 8 Db2 Pool Details metrics generated by the Db2 Instrumentation Facility Component(IFC)
Database Services Statistics dashboards,Db2 RDS SQL metrics,rds_sql_metrics_index,zMetricsDb2 collects 149 RDS SQL activity metrics generated by the Db2 Data Base Services.
Database Services Statistics dashboards,Db2 Service Controller metrics,service_controller_metrics_index,zMetricsDb2 collects 50 Service Controller activity metrics generated by the Db2 Data Base Services
Database Services Statistics dashboards,Db2 Buffer Manager metrics,buffer_manager_metrics_index,zMetricsDb2 collects 56 Buffer Manager metrics generated by the Db2 Data Base Services
Database Services Statistics dashboards,Db2 Data Manager metrics,data_manager_metrics_index,zMetricsDb2 collects 42 Data Manager activity metrics generated by the Db2 Data Base Services.
Database Services Statistics dashboards,Db2 Locking metrics,locking_metrics_index,zMetricsDb2 collects 21 Locking activity metrics generated by the Db2 Data Base Services.
Database Services Statistics dashboards,Db2 EDM pool metrics,edm_pool_metrics_index,zMetricsDb2 collects 40 EDM Pool activity metrics generated by the Db2 Data Base Services. 
Database Services Statistics dashboards,Db2 Buffer Manager datasharing metrics,buffer_manager_data_sharing_metrics_index,zMetricsDb2 collects 48 Buffer Manager Data Sharing metrics generated by the Db2 Data Base Services.
Database Services Statistics dashboards,Db2 Service Controller datasharing metrics,service_controller_data_sharing_metrics_index,zMetricsDb2 collects 21 Service Controller Dara Sharing activity metrics generated by the Db2 Data Base Services
Database Services Statistics dashboards,Language Environment(LE) metrics,language_environment_metrics_index,zMetricsDb2 collects 25 DB2 Language Environment(LE) activity metrics generated by the Db2 Data Base Services.
Database Services Statistics dashboards,Starjoin pool metrics,starjoin_pool_metrics_index,zMetricsDb2 collects 4 DB2 STARJOIN Pool activity metrics generated by the Db2 Data Base Services.
Database Services Statistics dashboards,Accelerator system metrics,accelerator_system_metrics,zMetricsDb2 collects 44 DB2 Accelerator System activity metrics generated by the Db2 Data Base Services
Accounting Statistics dashboards,Db2 IFC Accounting Information_metrics,ifc_accounting_information_metrics,zMetricsDb2 collects 86 transaction level IFC Accounting Information metrics generated by the Db2 Instrumentation Facility Component(IFC).
Accounting Statistics dashboards,Db2 SQL Accounting metrics,sql_accounting_metrics,zMetricsDb2 collects 149 transaction level SQL Accounting metrics generated by the Db2 Instrumentation Facility Component(IFC).
Accounting Statistics dashboards,Db2 Buffer Manager Accounting metrics,buffer_manager_accounting_metrics,zMetricsDb2 collects 9 transaction level Buffer Manager Accounting metrics generated by the Db2 IFC Services.
Accounting Statistics dashboards,Db2 Locking Accounting metrics,locking_accounting_metrics,zMetricsDb2 collects 21 Locking activity metrics generated by the Db2 Instrumentation Facility Component(IFC)
Accounting Statistics dashboards,Db2 DDF Accounting metrics,ddf_accounting_metrics,zMetricsDb2 collects 21 transaction level DDF Accounting metrics generated by the Db2 Instrumentation Facility Component(IFC)
Accounting Statistics dashboards,Db2 Change Data Capture Accounting metrics,cdc_accounting_metrics,zMetricsDb2 collects 12 transaction level Change Data Capture Accounting metrics generated by the Db2 Instrumentation Facility Component(IFC)
Accounting Statistics dashboards,Db2 Buffer Mmanager datasharing Accounting metrics,buffer_manager_data_sharing_accounting_metrics,zMetricsDb2 collects 22 transaction level Buffer Manager Data Sharing Accounting metrics generated by the Db2 IFC Services
Accounting Statistics dashboards,Db2 Datasharing Global Locking Accounting metrics,data_sharing_global_locking_accounting_metrics,zMetricsDb2 collects 12 transaction level Data Sharing Global Locking Accounting metrics generated by the Db2 IFC Services
Accounting Statistics dashboards,Db2 Accounting Data Overflow metrics,accounting_data_overflow_metrics,zMetricsDb2 collects 20 transaction level Accounting Data Overflow metrics generated by the Db2 Accounting Services
Accounting Statistics dashboards,Db2 Accelerator Services Accounting metrics,accelerator_services_accounting_metrics,zMetricsDb2 collects 19 transaction level Accelerator Services Accounting metrics generated by the Db2 Accounting Services
Package/DBRM Accounting Statistics dashboards,Db2 Package Level Accounting metrics,package_level_accounting,zMetricsDb2 collects 53 Package Level Accounting metrics generated by the Db2 Instrumentation Facility Component(IFC). 
Package/DBRM Accounting Statistics dashboards,Db2 Package Level RDS Accounting metrics,package_rds_accounting,zMetricsDb2 collects 11 Package Level RDS Accounting metrics generated by the Db2 Instrumentation Facility Component(IFC) via IFCID 239.
Package/DBRM Accounting Statistics dashboards,Db2 Package Level Buffer Manager Accounting metrics,package_buffer_manager_accounting,zMetricsDb2 collects 9 Package Level Buffer Manager Accounting metrics generated by the Db2 Instrumentation Facility Component(IFC) via IFCID 239
Package/DBRM Accounting Statistics dashboards,Db2 Package Level Locking Accounting metrics,package_locking_accounting,zMetricsDb2 collects 21 Package Level Locking Accounting metrics generated by the Db2 Instrumentation Facility Component(IFC) via IFCID 239


