source,metric_name,type,description
DSNDQ3ST,Q3STIDEN             ,OTHR,Successful identify requests
DSNDQ3ST,Q3STSIGN             ,OTHR,Successful signon events
DSNDQ3ST,Q3STCTHD             ,OTHR,Number of create thread requests 
DSNDQ3ST,Q3STTERM             ,OTHR,Successful terminate thread requests
DSNDQ3ST,Q3STRIUR             ,OTHR,Successful indoubt resolutions requests
DSNDQ3ST,Q3STPREP             ,OTHR,Successful prepare to commits requests
DSNDQ3ST,Q3STCOMM             ,OTHR,Successful Commits phase 2 requests 
DSNDQ3ST,Q3STABRT             ,OTHR,Number of successful rollbacks requests 
DSNDQ3ST,Q3STSYNC             ,OTHR,Number of successful single phase commits
DSNDQ3ST,Q3STEXIT             ,OTHR,Successful exit requests
DSNDQ3ST,Q3STINDT             ,OTHR,Total number of indoubt units of recovery
DSNDQ3ST,Q3STMEOT             ,OTHR,Abnormal allied memory end of task
DSNDQ3ST,Q3STMEOM             ,OTHR,Abnormal allied memory end of memory
DSNDQ3ST,Q3STSSSI             ,OTHR,Total number of SSI calls processed(SSSS) 
DSNDQ3ST,Q3STCTHW             ,OTHR,Number of create thread requests queued
DSNDQ3ST,Q3STRDON             ,OTHR,Number of read-only commits
DSNDQ3ST,Q3STHWIB             ,OTHR,Maximum number of connections to a single instance from batch or TSO background tasks
DSNDQ3ST,Q3STHWIF             ,OTHR,Maximum number of connections to a single instance from TSO foreground tasks
DSNDQ3ST,Q3STHWCT             ,OTHR,Highest number of batch CICS, IMS, and TSO tasks (CTHREAD) to a single instance
DSNDQ8AC,Q8ACCONN             ,OTHR,Number of Accelerator CONNECTS
DSNDQ8AC,Q8ACREQ              ,OTHR,Number of Accelerator requests
DSNDQ8AC,Q8ACTOUT             ,OTHR,Number of timed out requests
DSNDQ8AC,Q8ACFAIL             ,OTHR,Number of failed requests
DSNDQ8AC,Q8ACBYTS             ,OTHR,Number of bytes sent
DSNDQ8AC,Q8ACBYTR             ,OTHR,Number of bytes returned
DSNDQ8AC,Q8ACMSGS             ,OTHR,Number of messages sent
DSNDQ8AC,Q8ACMSGR             ,OTHR,Number of messages returned
DSNDQ8AC,Q8ACBLKS             ,OTHR,Number of blocks sent
DSNDQ8AC,Q8ACBLKR             ,OTHR,Number of blocks returned
DSNDQ8AC,Q8ACROWS             ,OTHR,Number of rows sent
DSNDQ8AC,Q8ACROWR             ,OTHR,Number of rows returned
DSNDQ8AC,Q8ACSCPU             ,OTHR,Accelerator services CPU time
DSNDQ8AC,Q8ACSELA             ,OTHR,Accelerator services Elapsed time
DSNDQ8AC,Q8ACTCPU             ,OTHR,Accelerator SVCS TCP/IP CPU time
DSNDQ8AC,Q8ACTELA             ,OTHR,Accelerator SVCS TCP/IP Elapsed time. NOTE: This elapsed time is a subset of Accounting CLASS 3 WAIT time for Acceleration services
DSNDQ8AC,Q8ACACPU             ,OTHR,Accumulated Accelerator CPU time
DSNDQ8AC,Q8ACAELA             ,OTHR,Accumulated Accelerator Elapsed time
DSNDQ8AC,Q8ACAWAT             ,OTHR,Accumulated Accelerator Wait time
DSNDQ8AC,Q8ACINSC             ,OTHR,Accumulated # of Insert statements sent to IDAA from Db2         
DSNDQ8AC,Q8ACUPDC             ,OTHR,Accumulated # of Update statements send to IDAA from Db2          
DSNDQ8AC,Q8ACDELC             ,OTHR,Accumulated # of Delete statements send to IDAA from Db2              
DSNDQ8AC,Q8ACDRPC             ,OTHR,Accumulated # of Drop statements send to IDAA from Db2          
DSNDQ8AC,Q8ACCRTC             ,OTHR,Accumulated # of Create statements send to IDAA from Db2              
DSNDQ8AC,Q8ACCMTC             ,OTHR,Accumulated # of Commit statements send to IDAA from Db2              
DSNDQ8AC,Q8ACRBKC             ,OTHR,Accumulated # of Rollback statements send to IDAA from Db2              
DSNDQ8AC,Q8ACOPNC             ,OTHR,Accumulated # of Open statements send to IDAA from Db2              
DSNDQ8AC,Q8ACROWI             ,OTHR,Accumulated # of rows Inserted to IDAA by Db2            
DSNDQ8AC,Q8ACROWU             ,OTHR,Accumulated # of rows Updated on IDAA by Db2          
DSNDQ8AC,Q8ACROWD             ,OTHR,Accumulated # of rows Deleted on IDAA by Db2            
DSNDQ8AC,Q8ACROWC             ,OTHR,Accumulated # of rows Returned by IDAA to Db2              
DSNDQ8AC,Q8ACTWDP             ,OTHR,Accumulated Time Waited for Delay Protocol            
DSNDQ8AC,Q8ACNWDP             ,OTHR,Accumulated # of statements with Wait time for Delay Protocol expired
DSNDQ8ST,Q8STCONN             ,OTHR,Number of accelerator connects
DSNDQ8ST,Q8STREQ              ,OTHR,Number of accelerator requests
DSNDQ8ST,Q8STTOUT             ,OTHR,Number of timed out requests
DSNDQ8ST,Q8STFAIL             ,OTHR,Number of failed requests
DSNDQ8ST,Q8STBYTS             ,OTHR,Number of bytes sent
DSNDQ8ST,Q8STBYTR             ,OTHR,Number of bytes returned
DSNDQ8ST,Q8STMSGS             ,OTHR,Number of messages sent
DSNDQ8ST,Q8STMSGR             ,OTHR,Number of messages returned
DSNDQ8ST,Q8STBLKS             ,OTHR,Number of blocks sent
DSNDQ8ST,Q8STBLKR             ,OTHR,Number of blocks returned
DSNDQ8ST,Q8STROWS             ,OTHR,Number of rows sent
DSNDQ8ST,Q8STROWR             ,OTHR,Number of rows returned
DSNDQ8ST,Q8STSCPU             ,OTHR,Accelerator services cpu time
DSNDQ8ST,Q8STSELA             ,OTHR,Accelerator services elapsed time
DSNDQ8ST,Q8STTCPU             ,OTHR,Accelerator SVCS TCP/IP cpu time 
DSNDQ8ST,Q8STTELA             ,OTHR,Accelerator SVCS TCP/IP elapsed time
DSNDQ8ST,Q8STACPU             ,OTHR,Accumulated accelerator cpu time
DSNDQ8ST,Q8STAELA             ,OTHR,Accumulated accelerator elapsed time
DSNDQ8ST,Q8STACTV             ,OTHR,Current active requests 
DSNDQ8ST,Q8STMAXA             ,OTHR,Maximum active requests 
DSNDQ8ST,Q8STAVGQ03           ,OTHR,Average query queue len lst 3 hrs 
DSNDQ8ST,Q8STMAXQ             ,OTHR,Query queue length high watermark 
DSNDQ8ST,Q8STCCPU             ,OTHR,Average cpu utilization on accelerator coordinator node      
DSNDQ8ST,Q8STSKEW             ,OTHR,Data Skew 
DSNDQ8ST,Q8STWCPU             ,OTHR,Average cpu utilization on accelerator worker nodes       
DSNDQ8ST,Q8STWNOD             ,OTHR,Number of active worker nodes 
DSNDQ8ST,Q8STAVGQ24           ,OTHR,Average query queue len lst 24 hrs 
DSNDQ8ST,Q8STQUEW             ,OTHR,Average accelerator queue wait elapsed
DSNDQ8ST,Q8STQUEM             ,OTHR,Maximum accelerator queue wait elapsed
DSNDQ8ST,Q8STMIPS             ,OTHR,Accelerator processing capacity
DSNDQ8ST,Q8STCORS             ,OTHR,Total amount of processors within the accelerator
DSNDQ8ST,Q8STSREQ             ,OTHR,Total number of successful query requests since accelerator start
DSNDQ8ST,Q8STFREQ             ,OTHR,Total number of failed query requests since accelerator start
DSNDQ8ST,Q8STFINV             ,OTHR,Number of failed query requests due to invalid state
DSNDQ8ST,Q8STDSKA             ,OTHR,Disk storage (MB) available
DSNDQ8ST,Q8STDSKU             ,OTHR,Disk storage (MB) in-use
DSNDQ8ST,Q8STDSKB             ,OTHR,Disk storage in-use for DB
DSNDQ8ST,Q8STCPMU             ,OTHR,Physical memory (MB) average usage on accelerator coordinator node
DSNDQ8ST,Q8STNMDS             ,OTHR,Number of data slices at the accelerator
DSNDQ8ST,Q8STWPMU             ,OTHR,Physical memory (MB) average usage on accelerator worker nodes
DSNDQ8ST,Q8STWSMA             ,OTHR,Shared memory (MB) data available on accelerator worker nodes
DSNDQ8ST,Q8STWSMU             ,OTHR,Shared memory (MB) data average usage on accelerator worker nodes
DSNDQ8ST,Q8STWSMM             ,OTHR,Maximum shared (MB) memory data in use on IWA worker nodes
DSNDQ8ST,Q8STAWAT             ,OTHR,Accumulated accelerator wait time
DSNDQ9ST,Q9STCTR0             ,OTHR,-DISPLAY DATABASE   
DSNDQ9ST,Q9STCTR1             ,OTHR,-DISPLAY THREAD   
DSNDQ9ST,Q9STCTR2             ,OTHR,-DISPLAY UTILITY   
DSNDQ9ST,Q9STCTR3             ,OTHR,-RECOVER BSDS   
DSNDQ9ST,Q9STCTR4             ,OTHR,-RECOVER INDOUBT   
DSNDQ9ST,Q9STCTR5             ,OTHR,-START DATABASE   
DSNDQ9ST,Q9STCTR6             ,OTHR,-START TRACE   
DSNDQ9ST,Q9STCTR7             ,OTHR,-START SUBSYSTEM   
DSNDQ9ST,Q9STCTR8             ,OTHR,-STOP DATABASE   
DSNDQ9ST,Q9STCTR9             ,OTHR,-STOP TRACE   
DSNDQ9ST,Q9STCTRA             ,OTHR,-STOP SUBSYSTEM   
DSNDQ9ST,Q9STCTRB             ,OTHR,-TERM UTILITY   
DSNDQ9ST,Q9STCTRC             ,OTHR,-DIS TRACE   
DSNDQ9ST,Q9STCTRD             ,OTHR,-RESET GENERICLU   
DSNDQ9ST,Q9STEROR             ,OTHR,UNRECOGNIZED COMMAND   
DSNDQ9ST,Q9STCTRE             ,OTHR,-START RLIMIT   
DSNDQ9ST,Q9STCTRF             ,OTHR,-STOP RLIMIT   
DSNDQ9ST,Q9STCTRG             ,OTHR,-DISPLAY RLIMIT   
