Description,"Dew Point",Humidity,Pressure,Temp,Visibility,Wind,"current.clouds","current.dt","current.feels_like","current.sunrise","current.sunset","current.uvi","current.weather{}.description","current.weather{}.icon","current.weather{}.id","current.weather{}.main","current.wind_deg","current.wind_gust",eventtype,ffirst,first,flast,host,index,last,lat,lfirst,linecount,llast,lon,name,punct,source,sourcetype,"splunk_server","splunk_server_group",timestamp,timezone,"timezone_offset","_raw","_time"
"Scattered Clouds","37.11",52,1023,"54.34",10000,"9.22",40,1713800078,"51.91",1713782507,1713830509,"5.59","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713800078,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.34,""feels_like"":51.91,""pressure"":1023,""humidity"":52,""dew_point"":37.11,""uvi"":5.59,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:35:38.000+0000"
"Scattered Clouds","37.11",52,1023,"54.34",10000,"9.22",40,1713800078,"51.91",1713782507,1713830509,"5.59","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713800078,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.34,""feels_like"":51.91,""pressure"":1023,""humidity"":52,""dew_point"":37.11,""uvi"":5.59,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:34:38.000+0000"
"Scattered Clouds","37.06",52,1023,"54.28",10000,"9.22",40,1713799958,"51.85",1713782507,1713830509,"5.59","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713799958,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.28,""feels_like"":51.85,""pressure"":1023,""humidity"":52,""dew_point"":37.06,""uvi"":5.59,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:33:38.000+0000"
"Scattered Clouds","37.06",52,1023,"54.28",10000,"9.22",40,1713799958,"51.85",1713782507,1713830509,"5.59","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713799958,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.28,""feels_like"":51.85,""pressure"":1023,""humidity"":52,""dew_point"":37.06,""uvi"":5.59,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:32:38.000+0000"
"Scattered Clouds","37.08",52,1023,"54.3",10000,"9.22",40,1713799896,"51.87",1713782507,1713830509,"5.59","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713799896,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.3,""feels_like"":51.87,""pressure"":1023,""humidity"":52,""dew_point"":37.08,""uvi"":5.59,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:31:36.000+0000"
"Scattered Clouds","36.91",52,1022,"54.12",10000,"9.22",40,1713799776,"51.67",1713782507,1713830509,"4.15","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713799776,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.12,""feels_like"":51.67,""pressure"":1022,""humidity"":52,""dew_point"":36.91,""uvi"":4.15,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:30:36.000+0000"
"Scattered Clouds","36.91",52,1022,"54.12",10000,"9.22",40,1713799776,"51.67",1713782507,1713830509,"4.15","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713799776,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.12,""feels_like"":51.67,""pressure"":1022,""humidity"":52,""dew_point"":36.91,""uvi"":4.15,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:29:36.000+0000"
"Scattered Clouds","37.38",53,1022,"54.1",10000,"9.22",40,1713799655,"51.71",1713782507,1713830509,"4.15","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713799655,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.1,""feels_like"":51.71,""pressure"":1022,""humidity"":53,""dew_point"":37.38,""uvi"":4.15,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:28:35.000+0000"
"Scattered Clouds","37.38",53,1022,"54.1",10000,"9.22",40,1713799655,"51.71",1713782507,1713830509,"4.15","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713799655,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.1,""feels_like"":51.71,""pressure"":1022,""humidity"":53,""dew_point"":37.38,""uvi"":4.15,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:27:35.000+0000"
"Scattered Clouds","37.38",53,1022,"54.1",10000,"9.22",40,1713799595,"51.71",1713782507,1713830509,"4.15","scattered clouds",03d,802,Clouds,30,,,s,scattered,c,"ip-172-31-20-185.ec2.internal",weather,clouds,"35.2358",cattered,1,louds,"-80.8964","scattered clouds","{"""":.,"""":-.,"""":""/"","""":-,"""":{"""":,"""":,"""":,"""":.,"""":.,","rest://Weather","_json","ip-172-31-20-185.ec2.internal",,none,"America/New_York","-14400","{""lat"":35.2358,""lon"":-80.8964,""timezone"":""America/New_York"",""timezone_offset"":-14400,""current"":{""dt"":1713799595,""sunrise"":1713782507,""sunset"":1713830509,""temp"":54.1,""feels_like"":51.71,""pressure"":1022,""humidity"":53,""dew_point"":37.38,""uvi"":4.15,""clouds"":40,""visibility"":10000,""wind_speed"":9.22,""wind_deg"":30,""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}]}}","2024-04-22T15:26:35.000+0000"
