Event Id,Event Name,Event Group,Severity,Default Severity
115,Tape Erase Job Started,Security,high,high
150,Backup Task Finished,Monitoring,unknown,unknown
151,File Backup Job Finished,Monitoring,unknown,unknown
190,Backup Job Finished,Monitoring,unknown,unknown
194,File To Tape Job Finished,Monitoring,unknown,unknown
390,SureBackup Job Finished,Monitoring,unknown,unknown
450,Backup Copy Task Finished,Monitoring,unknown,unknown
451,File Backup Copy Job Finished,Monitoring,unknown,unknown
490,Backup Copy Job Finished,Monitoring,unknown,unknown
652,Active Full Backup for Backup Policy Finished,Monitoring,unknown,unknown
790,Agent Backup Job Finished,Monitoring,unknown,unknown
21224,Connection to Backup Repository Lost,Security,critical,critical
23090,Job Deleted,Security,critical,critical
23420,Job No Longer Used as Second Destination,Security,high,high
24020,License Key Expiring,Security,informational,informational
24030,License Key Expired,Security,high,high
24040,License Support Expiring,Security,medium,medium
24050,License Support Expired,Security,high,high
24060,License Grace Period Started,Security,medium,medium
24070,License Limit Exceeded,Security,medium,medium
24080,License Key Removed,Security,high,high
25500,Credential Record Deleted,Security,critical,critical
26100,Failover Plan Deleted,Security,medium,medium
26110,Failover Plan Failed,Security,medium,medium
27000,Cloud Replica Permanent Failover Performed by Tenant,Security,high,high
28100,Backup Repository Settings Updated,Security,medium,medium
28200,Backup Repository Deleted,Security,critical,critical
28500,Host Deleted,Security,high,high
28920,File Share Deleted,Security,high,high
28950,File Server Deleted,Security,high,high
28970,Object Storage Settings Updated,Security,medium,medium
28980,Object Storage Deleted,Security,critical,critical
29120,Protection Group Deleted,Security,high,high
29150,Objects for Protection Group Deleted,Security,high,high
29800,Archive Repository Settings Updated,Security,medium,medium
29900,Archive Repository Deleted,Security,critical,critical
30100,Scale-Out Backup Repository Settings Updated,Security,high,high
30200,Scale-Out Backup Repository Deleted,Security,critical,critical
30400,Application Group Settings Updated,Security,informational,informational
30500,Application Group Deleted,Security,informational,informational
31200,User or Group Added,Security,high,high
31210,Adding User or Group Failed,Security,medium,medium
31400,User or Group Deleted,Security,critical,critical
31500,Configuration Backup Job Settings Updated,Security,informational,informational
31600,Encryption Password Added,Security,informational,informational
31700,Encryption Password Changed,Security,high,high
31800,Encryption Password Deleted,Security,critical,critical
31900,SSH Credentials Changed,Security,high,high
32120,Objects for Job Deleted,Security,high,high
32200,External Repository Deleted,Security,critical,critical
36013,Recovery Token Deleted,Security,medium,medium
36022,Backup Job for Application Backup Policy Finished,Monitoring,unknown,unknown
36023,Backup Task for Application Backup Policy Started,Monitoring,unknown,unknown
36024,Backup Task for Application Backup Policy Finished,Monitoring,unknown,unknown
36026,Log Backup Job for Application Backup Policy Finished,Monitoring,unknown,unknown
40201,Multi-Factor Authentication Disabled,Security,critical,critical
40204,Multi-Factor Authentication for User Disabled,Security,critical,critical
40205,Invalid Code for Multi-Factor Authentication Entered,Security,high,high
40290,Restore Session Finished,Monitoring,unknown,unknown
40400,Global VM Exclusions Added,Security,high,high
40500,Global VM Exclusions Deleted,Security,medium,medium
40600,Global VM Exclusions Changed,Security,high,high
40700,Configuration Backup Job Finished,Monitoring,unknown,unknown
41402,Storage Deleted,Security,critical,critical
41600,Malware Activity Detected,Security,critical,critical
41610,Object Marked as Clean,Security,informational,informational
41800,Attempt to Delete Backup Failed,Security,critical,critical
41810,Attempt to Update Security Object Failed,Security,critical,critical
42210,Malware Detection Session Finished,Security,informational,informational
42220,Restore Point Marked as Infected,Security,critical,critical
42230,Restore Point Marked as Clean,Security,informational,informational
42260,Objects Added to Malware Detection Exclusions,Security,high,high
42270,Objects Deleted from Malware Detection Exclusions,Security,informational,informational
42280,Malware Detection Exclusions List Updated,Security,high,high
42290,Malware Detection Settings Updated,Security,high,high
42301,KMS Server Deleted,Security,critical,critical
42302,KMS Server Settings Updated,Security,high,high
42401,Four-Eyes Authorization Disabled,Security,critical,critical
42402,Four-Eyes Authorization Request Created,Security,critical,critical
42403,Four-Eyes Authorization Request Approved,Monitoring,unknown,unknown
42404,Four-Eyes Authorization Request Rejected,Security,informational,informational
42405,Four-Eyes Authorization Request Expired,Security,high,high
42500,KMS Key Rotation Job Finished,Security,informational,informational
