Subnet,Site Name,City,Country,longitude,latitude
10.56.1.0,LOSAN,Los Angeles,USA,-118.2437,34.0522
10.80.67.64,SANTI,Santiago,Chile,-70.6693,-33.4489
10.0.144.0,JAKAR,Jakarta,Indonesia,106.8456,-6.2088
10.64.47.0,BOGOT,Bogota,Colombia,-74.0721,4.711
10.8.0.0,BANGK,Bangkok,Thailand,100.5018,13.7563
10.55.42.0,BOGTA,Bogota,Colombia,-74.0721,4.711
10.0.16.0,KUALA,Kuala Lumpur,Malaysia,101.6869,3.139
10.64.116.128,MEXIC,Mexico City,Mexico,-99.1332,19.4326
10.64.83.0,ADDIS,Addis Ababa,Ethiopia,38.7578,8.9806
10.64.60.0,PARIS,Paris,France,2.3522,48.8566
10.64.104.0,LISBO,Lisbon,Portugal,-9.1393,38.7223
10.64.248.0,JAKTA,Jakarta,Indonesia,106.8456,-6.2088
10.8.32.0,JOHAN,Johannesburg,South Africa,28.0473,-26.2041
10.64.238.0,TUNIS,Tunis,Tunisia,10.1815,36.8065
10.64.50.128,AKART,Jakarta,Indonesia,106.8456,-6.2088
10.64.55.0,KARTA,Jakarta,Indonesia,106.8456,-6.2088
10.64.253.0,ACCRA,Accra,Ghana,-0.187,5.6037
10.64.8.0,STJPX,Paris,France,2.3522,48.8566
10.64.149.0,LONDO,London,United Kingdom,-0.1278,51.5074
10.64.254.0,CAIRO,Cairo,Egypt,31.2357,30.0444
10.64.250.0,DUBAI,Dubai,UAE,55.2708,25.2048
10.16.18.0,MADRI,Madrid,Spain,-3.7038,40.4168
10.64.252.0,LOSES,Los Angeles,USA,-118.2437,34.0522
10.16.14.0,LISON,Lisbon,Portugal,-9.1393,38.7223
10.64.7.0,BUENO,Buenos Aires,Argentina,-58.3816,-34.6037
10.64.11.0,NEWYO,New York,USA,-74.006,40.7128
10.64.23.0,KIGAL,Kigali,Rwanda,30.1044,-1.9706
10.80.28.0,ISBON,Lisbon,Portugal,-9.1393,38.7223
10.128.0.0,ROMEX,Rome,Italy,12.4964,41.9028
10.64.145.0,SEOUL,Seoul,South Korea,126.978,37.5665
172.16.8.0,MADID,Madrid,Spain,-3.7038,40.4168
10.64.17.128,LAGOS,Lagos,Nigeria,3.3792,6.5244
10.60.0.0,CRMRJ,Cairo,Egypt,31.2357,30.0444
