signature,type_code,reason,action,dataset_name,result,result_id
Logged In.,1000,,success,authentication,,
Changed account password.,1001,,modified,change,User_ChangedPassword,1001
Enabled/updated two-step login.,1002,,updated,change,User_Updated2fa,1002
Disabled two-step login.,1003,,modified,change,User_Disabled2fa,1003
Recovered account from two-step login.,1004,,modified,change,User_Recovered2fa,1004
Login attempted failed with incorrect password.,1005,Incorrect_Password,failure,authentication,,
Login attempt failed with incorrect two-step login.,1006,Incorrect_Two-Factor,failure,authentication,,
User exported their individual vault items.,1007,,modified,change,User_ClientExportedVault,1007
User updated a password issued through account recovery.,1008,,updated,change,User_UpdatedTempPassword,1008
User migrated their decryption key with Key Connector.,1009,,modified,change,User_MigratedKeyToKeyConnector,1009
User requested device approval.,1010,,,,,
Created item item-identifier.,1100,,created,change,Cipher_Created,1100
Edited item item-identifier.,1101,,modified,change,Cipher_Updated,1101
Permanently Deleted item item-identifier.,1102,,deleted,change,Cipher_Deleted,1102
Created attachment for item item-identifier.,1103,,created,change,Cipher_AttachmentCreated,1103
Deleted attachment for item item-identifier.,1104,,deleted,change,Cipher_AttachmentDeleted,1104
Moved item item-identifier to an organization.,1105,,modified,change,Cipher_Shared,1105
Edited collections for item item-identifier,1106,,modified,change,Cipher_UpdatedCollections,1106
Viewed item item-identifier.,1107,,read,change,Cipher_ClientViewed,1107
Viewed password for item item-identifier.,1108,,read,change,Cipher_ClientToggledPasswordVisible,1108
Viewed hidden eld for item item-identifier.,1109,,read,change,Cipher_ClientToggledHiddenFieldVisible,1109
Viewed security code for item item-identifier.,1110,,read,change,Cipher_ClientToggledCardCodeVisible,1110
Copied password for item item-identifier.,1111,,read,change,Cipher_ClientCopiedPassword,1111
Copied hidden eld for item item-identifier.,1112,,read,change,Cipher_ClientCopiedHiddenField,1112
Copied security code for item item-identifier.,1113,,read,change,Cipher_ClientCopiedCardCode,1113
Autofilled item item-identifier.,1114,,,,,
Sent item item-identifier to trash.,1115,,deleted,change,Cipher_SoftDeleted,1115
Restored item item-identifier.,1116,,created,change,Cipher_Restored,1116
Viewed Card Number for item item-identifier.,1117,,read,change,Cipher_ClientToggledCardNumberVisible,1117
Created collection collection-identifier.,1300,,created,change,Collection_Created,1300
Edited collection collection-identifier.,1301,,modified,change,Collection_Updated,1301
Deleted collection collection-identifier.,1302,,deleted,change,Collection_Deleted,1302
Created group group-identifier.,1400,,created,change,Group_Created,1400
Edited group group-identifier.,1401,,modified,change,Group_Updated,1401
Deleted group group-identifier.,1402,,deleted,change,Group_Deleted,1402
Invited user user-identifier.,1500,,,,,
Confirmed user user-identifier.,1501,,,,,
Edited user user-identifier.,1502,,modified,change,OrganizationUser_Updated,1502
Removed user user-identifier.,1503,,deleted,change,OrganizationUser_Removed,1503
Edited groups for user user-identifier.,1504,,modified,change,OrganizationUser_UpdatedGroups,1504
Unlinked SSO for user user-identifier.,1505,,modified,change,OrganizationUser_UnlinkedSso,1505
user-identifier enrolled in account recovery.,1506,,modified,change,OrganizationUser_ResetPassword_Enroll,1506
user-identifier withdrew from account recovery.,1507,,modified,change,OrganizationUser_ResetPassword_Withdraw,1507
Master Password reset for user-identifier.,1508,,modified,change,OrganizationUser_AdminResetPassword,1508
Reset SSO link for user user-identifier.,1509,,modified,change,OrganizationUser_ResetSsoLink,1509
Revoked organization access for user-identifier,1511,,modified,change,OrganizationUser_Revoked,1511
Restored organization access for user-identifier,1512,,modified,change,OrganizationUser_Restored,1512
Deleted user user-identifier - an owner/admin deleted the user account.,1515,,deleted,change,,1515
Edited organization settings.,1600,,modified,change,Organization_Updated,1600
Purged organization vault.,1601,,deleted,change,Organization_PurgedVault,1601
Exported organization vault.,1602,,modified,change,Organization_ClientExportedVault,1602
Organization Vault access by a managing Provider.,1603,,read,change,Organization_VaultAccessed,1603
Organization enabled SSO.,1604,,modified,change,Organization_EnabledSso,1604
Organization disabled SSO.,1605,,modified,change,Organization_DisabledSso,1605
Organization enabled Key Connector.,1606,,modified,change,Organization_EnabledKeyConnector,1606
Organization disabled Key Connector.,1607,,modified,change,Organization_DisabledKeyConnector,1607
Families Sponsorships synced.,1608,,modified,change,Organization_SponsorshipsSynced,1608
Modified collection management setting.,1609,,modified,change,Organization_CollectionManagement_Updated,1609
Modified policy policy-identifier.,1700,,modified,change,Policy_Updated,1700
Added domain domain-name.,2000,,modified,change,OrganizationDomain_Added,2000
Removed domain domain-name.,2001,,deleted,change,OrganizationDomain_Removed,2001
Accessed secret secret-identifier.,2100,,view,change,Secret_Retrieved,2100
,1800,,modified,change,ProviderUser_Invited,1800
,1801,,,,ProviderUser_Confirmed,
,1802,,updated,change,ProviderUser_Updated,1802
,1803,,deleted,change,ProviderUser_Removed,1803
,1900,,created,change,ProviderOrganization_Created,1900
,1901,,modified,change,ProviderOrganization_Added,1901
,1902,,deleted,change,ProviderOrganization_Removed,1902
,1903,,read,change,ProviderOrganization_VaultAccessed,1903
