type,id,label,source,target,dest_port,action,Att01_trafficType,Att02_outcome,Att03_count,Att03_description,edgeColor,edgeWidth,edgeStyle
edge,,port 443,192.168.1.10,10.0.0.5,443,allow,web,allow,3,Normal web traffic,,,blue
edge,,port 22,192.168.1.15,10.0.0.10,22,allow,ssh,allow,2,Admin SSH session,,,blue
edge,,port 3389,192.168.1.20,10.0.0.5,3389,block,rdp,block,1,Blocked RDP attempt,red,4,dotted
edge,,port 22,203.0.113.45,10.0.0.5,22,block,ssh,block,9,Suspicious SSH attempt,red,4,dotted
edge,,port 22,203.0.113.45,10.0.0.10,22,block,ssh,block,9,Repeated SSH attempt,red,4,dotted
edge,,port 1433,198.51.100.23,10.0.0.5,1433,block,sql,block,200,SQL brute force attempt,red,4,dotted
edge,,port 445,198.51.100.23,10.0.0.10,445,block,smb,block,1,Suspicious SMB attempt,red,4,dotted
edge,,port 443,192.12.1.15,10.0.0.5,443,allow,web,allow,1,Normal web traffic,,,blue
edge,,port 443,189.111.78.62,10.0.0.5,443,allow,web,allow,2,Normal web traffic,,,blue
edge,,port 443,196.912.136.22,10.0.0.5,443,allow,web,allow,1,Normal web traffic,,,blue
edge,,port 443,89.362.76.812,10.0.0.5,443,allow,web,allow,1,Normal web traffic,,,blue
edge,,port 22,192.168.1.10,10.0.0.10,22,allow,ssh,allow,1,Admin SSH session,,,blue
node,192.168.1.10,192.168.1.10,,,,,,,,,,,
node,192.168.1.15,192.168.1.15,,,,,,,,,,,
node,192.168.1.20,192.168.1.20,,,,,,,,,,,
node,203.0.113.45,203.0.113.45,,,,,,,,,,,
node,198.51.100.23,198.51.100.23,,,,,,,,,,,
node,192.12.1.15,192.12.1.15,,,,,,,,,,,
node,189.111.78.62,189.111.78.62,,,,,,,,,,,
node,196.912.136.22,196.912.136.22,,,,,,,,,,,
node,89.362.76.812,89.362.76.812,,,,,,,,,,,
node,10.0.0.5,Firewall 1,,,,,,,,,,,
node,10.0.0.10,Firewall 2,,,,,,,,,,,
