type,id,label,source,target,width,nodeRepulsion,edgeElasticity,gravity,nodeColor,nodeShape,nodeWidth,nodeHeight,edgeColor,edgeWidth,edgeStyle,edgeFontBackgroundColor,edgeFontBackgroundTransparent,fontColor,fontSize,fontFamily,textWrap,advanced,displayDetails,url,Att01_nodeType,Att02_Building-Parking,Att03_Building-Facilities,Att04_Building-Use,Att05_City-Country,Att06_Employee-FullTime,Att07_Employee-Title,Att08_Employee-StartDate
node,london,London,,,,,,,#72B7B2,ellipse,140,20,,,,,,white,24,Arial,wrap,"""border-color"": ""blue"", ""border-width"": ""1""",Any Node or Edge can have a longer description of information that is visible using the Display Deails menu option\nAnd\nAny node can have a url link,https://www.splunk.com,City,,,,England,,,
node,cardiff,Cardiff,,,,,,,#72B7B2,rectangle,140,20,,,,,,white,24,Arial,wrap,,,https://www.splunk.com,City,,,,Wales,,,
node,company_house,Company House,,,,,,,#4C78A8,rectangle,auto,auto,,,,,,white,24,Arial,wrap,,Any Node or Edge can have a longer description of information that is visible using the Display Deails menu option\nAnd\nAny node can have a url link,,Building,No Parking,"Conference Room, Canteen, Meeting Rooms",Shared,,,,
node,office_block,Office Block,,,,,,,#4C78A8,rectangle,auto,auto,,,,,,white,24,Arial,wrap,,,,Building,Parking,Meeting Rooms,Shared,,,,
node,unti_1,Unit 1,,,,,,,#4C78A8,rectangle,auto,auto,,,,,,white,24,Arial,wrap,,,,Building,Parking,"Canteen, Meeting Rooms",Not Shared,,,,
node,sales,Sales,,,,,,,#F2CF5B,round-rectangle,auto,auto,,,,,,white,24,Arial,wrap,,,,Team,,,,,,,
node,hr,HR,,,,,,,#F2CF5B,round-rectangle,auto,auto,,,,,,white,24,Arial,wrap,,,,Team,,,,,,,
node,it,IT,,,,,,,#F2CF5B,round-rectangle,auto,auto,,,,,,white,24,Arial,wrap,,,,Team,,,,,,,
node,engineering,Engineering,,,,,,,#F2CF5B,rhomboid,auto,auto,,,,,,white,24,Arial,wrap,,,,Team,,,,,,,
node,sales_manager,Sales Manager,,,,,,,#A05195,rhomboid,300,20,,,,,,white,24,Arial,wrap,,,,Role,,,,,,,
