name,version,displayName,description,inputTokenLimit,outputTokenLimit,supportedGenerationMethods,temperature,topP,topK,maxTemperature,thinking
models/embedding-gecko-001,001,Embedding Gecko,Obtain a distributed representation of a text.,1024,1,"embedText, countTextTokens",,,,,
models/gemini-2.5-pro-preview-03-25,2.5-preview-03-25,Gemini 2.5 Pro Preview 03-25,Gemini 2.5 Pro Preview 03-25,1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-2.5-flash,001,Gemini 2.5 Flash,"Stable version of Gemini 2.5 Flash, our mid-size multimodal model that supports up to 1 million tokens, released in June of 2025.",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-2.5-pro-preview-05-06,2.5-preview-05-06,Gemini 2.5 Pro Preview 05-06,"Preview release (May 6th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-2.5-pro-preview-06-05,2.5-preview-06-05,Gemini 2.5 Pro Preview,"Preview release (June 5th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-2.5-pro,2.5,Gemini 2.5 Pro,"Stable release (June 17th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-2.0-flash-exp,2.0,Gemini 2.0 Flash Experimental,Gemini 2.0 Flash Experimental,1048576,8192,"generateContent, countTokens, bidiGenerateContent",1.0,0.95,40.0,2.0,
models/gemini-2.0-flash,2.0,Gemini 2.0 Flash,Gemini 2.0 Flash,1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,40.0,2.0,
models/gemini-2.0-flash-001,2.0,Gemini 2.0 Flash 001,"Stable version of Gemini 2.0 Flash, our fast and versatile multimodal model for scaling across diverse tasks, released in January of 2025.",1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,40.0,2.0,
models/gemini-2.0-flash-lite-001,2.0,Gemini 2.0 Flash-Lite 001,Stable version of Gemini 2.0 Flash-Lite,1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,40.0,2.0,
models/gemini-2.0-flash-lite,2.0,Gemini 2.0 Flash-Lite,Gemini 2.0 Flash-Lite,1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,40.0,2.0,
models/gemini-2.0-flash-lite-preview-02-05,preview-02-05,Gemini 2.0 Flash-Lite Preview 02-05,"Preview release (February 5th, 2025) of Gemini 2.0 Flash-Lite",1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,40.0,2.0,
models/gemini-2.0-flash-lite-preview,preview-02-05,Gemini 2.0 Flash-Lite Preview,"Preview release (February 5th, 2025) of Gemini 2.0 Flash-Lite",1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,40.0,2.0,
models/gemini-2.0-pro-exp,2.5-exp-03-25,Gemini 2.0 Pro Experimental,"Experimental release (March 25th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-2.0-pro-exp-02-05,2.5-exp-03-25,Gemini 2.0 Pro Experimental 02-05,"Experimental release (March 25th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-exp-1206,2.5-exp-03-25,Gemini Experimental 1206,"Experimental release (March 25th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-2.0-flash-thinking-exp-01-21,2.5-preview-05-20,Gemini 2.5 Flash Preview 05-20,"Preview release (April 17th, 2025) of Gemini 2.5 Flash",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-2.0-flash-thinking-exp,2.5-preview-05-20,Gemini 2.5 Flash Preview 05-20,"Preview release (April 17th, 2025) of Gemini 2.5 Flash",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
models/gemini-2.0-flash-thinking-exp-1219,2.5-preview-05-20,Gemini 2.5 Flash Preview 05-20,"Preview release (April 17th, 2025) of Gemini 2.5 Flash",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",1.0,0.95,64.0,2.0,True
