signature,technique_id,technique_name,tactic,description
Suricata DNS Query For .onion Domain,T1071.001,Application Layer Protocol: Web Protocols,Command and Control,DNS query for .onion domains (possible Tor usage).
ET POLICY Outbound Connection to TOR Network,T1090,Proxy,Command and Control,Outbound connection to known Tor entry nodes.
ET POLICY Suspicious HTTP User-Agent,T1056,Input Capture,Credential Access,Suspicious or uncommon HTTP User-Agent often used by malware.
ET INFO Suricata detected a possible intrusion attempt,T1059,Command and Scripting Interpreter,Execution,Generic signature indicating a possible command execution attempt.
Potential SSH scan,T1046,Network Service Discovery,Discovery,Scanning for SSH services
FTP Authentication Attempt,T1110,Brute Force,Credential Access,Credential stuffing or weak credentials being brute forced
SQL Injection Attempt,T1190,Exploit Public-Facing Application,Initial Access,Attempt to exploit SQL injection vulnerability
SYN port33 scan detected,T1046,Network Service Discovery,Discovery,Scanning for exposed services on TCP port 33.
ET SCAN Suspicious inbound to PostgreSQL port 5432,T1046,Network Service Discovery,Discovery,Inbound probing of PostgreSQL service on TCP port 5432.
ET SCAN Potential VNC Scan 5800-5820,T1046,Network Service Discovery,Discovery,Scanning for exposed VNC services across common ports 5800-5820.
SURICATA STREAM suspected RST injection,T1565,Data Manipulation,Impact,Suspected TCP reset injection intended to disrupt or alter network communications.
SURICATA STREAM excessive retransmissions,T1498,Network Denial of Service,Impact,Excessive retransmissions may indicate attempts to degrade or disrupt network availability.
