"_time","WELL_BORE_CODE",metric,value,min,max,"alert_reason"
"1774286124.809277","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774286124.809277","NO 15/9-F-12 H","AVG_WHP_P","109.283",,75,High
"1774286124.809075","NO 15/9-F-11 H","AVG_WHP_P","98.195",,75,High
"1774286124.812402","NO 15/9-F-15 D","AVG_WHP_P","78.219",,75,High
"1774286424.821948","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774286424.821948","NO 15/9-F-12 H","AVG_WHP_P","105.038",,75,High
"1774286424.821851","NO 15/9-F-11 H","AVG_WHP_P","100.252",,75,High
"1774286424.825460","NO 15/9-F-15 D","AVG_WHP_P","80.697",,75,High
"1774286724.831187","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774286724.831187","NO 15/9-F-12 H","AVG_WHP_P","109.391",,75,High
"1774286724.831089","NO 15/9-F-11 H","AVG_WHP_P","97.474",,75,High
"1774286724.836584","NO 15/9-F-15 D","AVG_WHP_P","80.401",,75,High
"1774287024.844763","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774287024.844763","NO 15/9-F-12 H","AVG_WHP_P","107.743",,75,High
"1774287024.844642","NO 15/9-F-11 H","AVG_WHP_P","97.458",,75,High
"1774287024.848719","NO 15/9-F-15 D","AVG_WHP_P","78.447",,75,High
"1774287325.046902","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774287325.046902","NO 15/9-F-12 H","AVG_WHP_P","105.892",,75,High
"1774287325.028890","NO 15/9-F-11 H","AVG_WHP_P","97.49",,75,High
"1774287325.072840","NO 15/9-F-15 D","AVG_WHP_P","79.372",,75,High
"1774287625.079758","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774287625.079758","NO 15/9-F-12 H","AVG_WHP_P","109.936",,75,High
"1774287625.079658","NO 15/9-F-11 H","AVG_WHP_P","97.064",,75,High
"1774287625.083220","NO 15/9-F-15 D","AVG_WHP_P","80.1",,75,High
"1774287925.093995","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774287925.093995","NO 15/9-F-12 H","AVG_WHP_P","108.569",,75,High
"1774287925.093654","NO 15/9-F-11 H","AVG_WHP_P","98.389",,75,High
"1774287925.097259","NO 15/9-F-15 D","AVG_WHP_P","78.002",,75,High
"1774288225.107796","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774288225.107796","NO 15/9-F-12 H","AVG_WHP_P","107.064",,75,High
"1774288225.107678","NO 15/9-F-11 H","AVG_WHP_P","97.244",,75,High
"1774288225.112612","NO 15/9-F-15 D","AVG_WHP_P","78.322",,75,High
"1774288525.118156","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774288525.118156","NO 15/9-F-12 H","AVG_WHP_P","110.139",,75,High
"1774288525.118061","NO 15/9-F-11 H","AVG_WHP_P","100.92",,75,High
"1774288525.121067","NO 15/9-F-15 D","AVG_WHP_P","79.442",,75,High
"1774288825.130669","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774288825.130669","NO 15/9-F-12 H","AVG_WHP_P","108.298",,75,High
"1774288825.130316","NO 15/9-F-11 H","AVG_WHP_P","100.345",,75,High
"1774288825.134248","NO 15/9-F-15 D","AVG_WHP_P","79.621",,75,High
"1774289125.132996","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774289125.132996","NO 15/9-F-12 H","AVG_WHP_P","106.394",,75,High
"1774289125.132901","NO 15/9-F-11 H","AVG_WHP_P","100.995",,75,High
"1774289125.135586","NO 15/9-F-15 D","AVG_WHP_P","76.796",,75,High
"1774289425.138929","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774289425.138929","NO 15/9-F-12 H","AVG_WHP_P","105.257",,75,High
"1774289425.138839","NO 15/9-F-11 H","AVG_WHP_P","96.982",,75,High
"1774289425.141685","NO 15/9-F-15 D","AVG_WHP_P","79.737",,75,High
"1774289725.146119","NO 15/9-F-12 H","AVG_DOWNHOLE_PRESSURE","0.0",220,,Low
"1774289725.146119","NO 15/9-F-12 H","AVG_WHP_P","109.426",,75,High
"1774289725.145974","NO 15/9-F-11 H","AVG_WHP_P","100.521",,75,High
"1774289725.149292","NO 15/9-F-15 D","AVG_WHP_P","77.065",,75,High
