DATEPRD,WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
1-Jan-15,NO 15/9-F-1 C,9.5,298.436,105.301,192.409,,44,%,106.027,21.337,77.947,94,"16,782",65,,production,OP
2-Jan-15,NO 15/9-F-1 C,24,292.15,107.43,191.886,,45.95212,%,100.264,45.621,71.457,791,"118,909",300,,production,OP
3-Jan-15,NO 15/9-F-1 C,24,279.989,107.896,184.55,,47.79895,%,95.439,60.845,66.337,917,"148,644",345,,production,OP
4-Jan-15,NO 15/9-F-1 C,24,271.298,107.912,184.71,,47.7101,%,86.589,57.436,57.671,789,"115,570",401,,production,OP
5-Jan-15,NO 15/9-F-1 C,24,265.07,107.94,183.376,,47.86731,%,81.694,56.254,52.702,790,"115,433",406,,production,OP
6-Jan-15,NO 15/9-F-1 C,24,258.827,107.946,182.744,,47.9725,%,76.084,59.488,47.361,784,"113,935",412,,production,OP
7-Jan-15,NO 15/9-F-1 C,24,254.714,107.882,183.962,,47.37565,%,70.751,53.002,42.013,574,"84,034",461,,production,OP
8-Jan-15,NO 15/9-F-1 C,24,251.043,107.878,182.461,,48.11145,%,68.583,54.208,39.637,626,"90,849",513,,production,OP
9-Jan-15,NO 15/9-F-1 C,17.67,247.724,107.561,188.739,,36.35494,%,58.985,48.257,31.619,356,"51,609",283,,production,OP
10-Jan-15,NO 15/9-F-1 C,20.67,244.412,107.638,179.178,,40.78885,%,65.234,54.088,38.019,423,"61,324",312,,production,OP
11-Jan-15,NO 15/9-F-1 C,24,243.65,107.788,183.947,,47.86851,%,59.703,54.042,30.228,487,"70,281",367,,production,OP
12-Jan-15,NO 15/9-F-1 C,24,239.913,107.881,177.744,,49.04302,%,62.17,53.399,32.878,597,"86,569",419,,production,OP
13-Jan-15,NO 15/9-F-1 C,24,234.206,107.908,174.696,,50.15571,%,59.51,56.32,30.121,610,"88,850",426,,production,OP
14-Jan-15,NO 15/9-F-1 C,24,230.074,107.536,188.148,,55.80191,%,41.925,43.698,17.784,581,"85,171",438,,production,OP
15-Jan-15,NO 15/9-F-1 C,24,230.811,107.82,184.952,,50.53954,%,45.859,53.748,23.546,461,"66,952",330,,production,OP
16-Jan-15,NO 15/9-F-1 C,24,229.089,107.822,178.166,,48.98548,%,50.923,52.478,21.419,453,"64,394",307,,production,OP
17-Jan-15,NO 15/9-F-1 C,24,228.883,107.817,178.496,,48.97446,%,50.387,52.669,20.969,419,"61,534",293,,production,OP
18-Jan-15,NO 15/9-F-1 C,24,228.883,107.817,178.496,,48.97446,%,50.387,52.669,20.969,442,"64,668",293,,production,OP
19-Jan-15,NO 15/9-F-1 C,24,228.883,107.817,178.496,,48.97446,%,50.387,52.669,20.969,447,"65,213",296,,production,OP
20-Jan-15,NO 15/9-F-1 C,18.67,224.075,107.209,173.063,,29.40022,%,51.012,52.243,20.406,226,"33,091",180,,production,OP
21-Jan-15,NO 15/9-F-1 C,1,226.79,106.085,208.584,,18.76533,%,18.206,18.183,0.412,8,"1,122",6,,production,OP
22-Jan-15,NO 15/9-F-1 C,0,234.755,103.117,202.911,,0,%,31.844,7.104,7.864,0,0,0,,production,OP
23-Jan-15,NO 15/9-F-1 C,0,239.532,102.257,193.241,,0,%,46.292,6.888,19.302,0,0,0,,production,OP
24-Jan-15,NO 15/9-F-1 C,0,243.039,101.578,177.818,,0,%,65.221,8.406,37.388,0,0,0,,production,OP
25-Jan-15,NO 15/9-F-1 C,0,249.684,101.358,165.8,,0,%,83.884,8.517,55.539,0,0,0,,production,OP
26-Jan-15,NO 15/9-F-1 C,0,261.648,101.595,168.766,,0,%,92.883,9.897,64.123,0,0,0,,production,OP
27-Jan-15,NO 15/9-F-1 C,0,265.823,101.495,170.763,,0,%,95.06,9.717,66.108,0,0,0,,production,OP
28-Jan-15,NO 15/9-F-1 C,0,268.731,101.377,172.067,,0,%,96.664,7.701,67.625,0,0,0,,production,OP
29-Jan-15,NO 15/9-F-1 C,13.69,258.506,103.736,226.872,,31.08472,%,31.634,12.263,3.263,0,0,0,,production,OP
30-Jan-15,NO 15/9-F-1 C,14.73,260.211,101.82,231.454,,33.57207,%,28.757,6.011,0.482,0,0,0,,production,OP
31-Jan-15,NO 15/9-F-1 C,0,263.146,100.63,207.142,,0,%,56.004,9.384,27.689,0,0,0,,production,OP
1-Feb-15,NO 15/9-F-1 C,0,265.351,100.465,193.004,,0,%,72.347,7.891,43.975,0,0,0,,production,OP
2-Feb-15,NO 15/9-F-1 C,0,267.762,100.43,183.958,,0,%,83.804,7.705,55.558,0,0,0,,production,OP
3-Feb-15,NO 15/9-F-1 C,0,276.378,100.719,183.552,,0,%,92.826,8.519,64.589,0,0,0,,production,OP
4-Feb-15,NO 15/9-F-1 C,0,282.14,100.736,217.459,,15.7353,%,64.681,7.72,45.355,0,0,0,,production,OP
5-Feb-15,NO 15/9-F-1 C,0,285.124,100.7,284.989,,16.22866,%,0.134,6.162,6.962,0,0,0,,production,OP
6-Feb-15,NO 15/9-F-1 C,0,286.917,100.659,286.776,,0,%,0.141,8.758,21.22,0,0,0,,production,OP
7-Feb-15,NO 15/9-F-1 C,0,288.278,100.615,288.11,,0,%,0.169,10.43,17.937,0,0,0,,production,OP
8-Feb-15,NO 15/9-F-1 C,0,289.512,100.573,289.296,,0,%,0.216,9.448,12.696,0,0,0,,production,OP
9-Feb-15,NO 15/9-F-1 C,10.48,273.925,107.035,222.662,,21.28229,%,51.263,42.989,23.065,125,"20,461",471,,production,OP
10-Feb-15,NO 15/9-F-1 C,24,266.945,107.795,205.706,,48.89648,%,61.239,62.482,32.592,402,"61,862",664,,production,OP
11-Feb-15,NO 15/9-F-1 C,24,259.991,107.911,199.304,,48.95931,%,60.687,56.308,32.162,474,"72,530",557,,production,OP
12-Feb-15,NO 15/9-F-1 C,24,254.664,107.941,196.072,,48.94512,%,58.591,58.908,30.123,466,"71,095",550,,production,OP
13-Feb-15,NO 15/9-F-1 C,24,248.494,107.055,192.85,,48.40793,%,55.644,58.42,27.307,423,"64,497",535,,production,OP
14-Feb-15,NO 15/9-F-1 C,24,247.161,107.928,193.389,,49.02483,%,53.772,62.621,25.173,421,"64,062",544,,production,OP
15-Feb-15,NO 15/9-F-1 C,24,242.392,106.969,191.192,,48.04527,%,51.201,58.068,22.877,419,"63,550",539,,production,OP
16-Feb-15,NO 15/9-F-1 C,24,242.438,107.906,192.422,,49.02818,%,50.016,56.411,21.455,420,"63,731",468,,production,OP
17-Feb-15,NO 15/9-F-1 C,24,240.784,107.897,192.219,,46.80373,%,48.565,53.986,19.97,410,"62,915",474,,production,OP
18-Feb-15,NO 15/9-F-1 C,24,237.658,107.979,188.092,,50.76397,%,49.566,54.728,20.958,520,"77,679",551,,production,OP
19-Feb-15,NO 15/9-F-1 C,24,230.46,108.072,180.775,,52.93472,%,49.685,62.201,21.087,653,"97,101",619,,production,OP
20-Feb-15,NO 15/9-F-1 C,24,226.449,108.035,179.563,,53.10688,%,46.885,64.837,18.078,638,"95,396",702,,production,OP
21-Feb-15,NO 15/9-F-1 C,24,223.744,108.019,179.723,,53.24234,%,44.022,68.061,15.424,625,"93,262",672,,production,OP
22-Feb-15,NO 15/9-F-1 C,24,222.108,108.01,180.588,,53.32469,%,41.519,63.3,12.915,476,"70,962",545,,production,OP
23-Feb-15,NO 15/9-F-1 C,24,221.137,107.998,181.788,,53.27325,%,39.35,56.296,10.717,410,"61,684",479,,production,OP
24-Feb-15,NO 15/9-F-1 C,24,219.292,108.041,179.897,,55.83619,%,39.396,63.127,10.438,626,"92,975",556,,production,OP
25-Feb-15,NO 15/9-F-1 C,24,211.716,108.177,170.841,,60.36797,%,40.875,74.279,12.052,941,"137,836",771,,production,OP
26-Feb-15,NO 15/9-F-1 C,24,208.736,108.164,171.626,,60.36062,%,37.11,68.831,8.465,738,"108,413",623,,production,OP
27-Feb-15,NO 15/9-F-1 C,18.94,208.16,108.104,174.593,,47.62035,%,33.568,61.428,4.964,400,"59,444",424,,production,OP
28-Feb-15,NO 15/9-F-1 C,0,214.945,104.493,159.586,,0,%,55.36,7.753,28.936,0,0,0,,production,OP
1-Mar-15,NO 15/9-F-1 C,0,220.501,103.265,158.603,,0,%,61.898,7.561,34.533,0,0,0,,production,OP
2-Mar-15,NO 15/9-F-1 C,0,225.388,102.678,158.707,,0,%,66.68,8.615,38.71,0,0,0,,production,OP
3-Mar-15,NO 15/9-F-1 C,0,230.093,102.319,160.069,,0,%,70.024,7.035,41.462,0,0,0,,production,OP
4-Mar-15,NO 15/9-F-1 C,0,225.526,97.88,154.946,,0,%,70.58,7.617,42.531,0,0,0,,production,OP
5-Mar-15,NO 15/9-F-1 C,0,239.261,101.761,162.051,,0,%,77.21,8.452,47.479,0,0,0,,production,OP
6-Mar-15,NO 15/9-F-1 C,0,243.178,101.472,164.537,,0.89994,%,78.641,8.413,49.404,0,0,0,,production,OP
7-Mar-15,NO 15/9-F-1 C,0,247.131,101.206,219.898,,0.10256,%,27.233,10.304,21.405,0,0,0,,production,OP
8-Mar-15,NO 15/9-F-1 C,0,254.258,100.795,178.609,,0,%,75.649,12.177,67.46,0,0,0,,production,OP
9-Mar-15,NO 15/9-F-1 C,0,264.922,101.115,177.238,,0,%,87.684,8.303,76.193,0,0,0,,production,OP
10-Mar-15,NO 15/9-F-1 C,0,269.466,101.092,178.508,,0,%,90.958,9.554,79.521,0,0,0,,production,OP
11-Mar-15,NO 15/9-F-1 C,0,272.238,101.035,179.278,,0,%,92.96,8.79,81.511,0,0,0,,production,OP
12-Mar-15,NO 15/9-F-1 C,0,275.019,100.972,180.061,,0,%,94.958,8.511,83.472,0,0,0,,production,OP
13-Mar-15,NO 15/9-F-1 C,0,277.665,100.909,180.78,,0,%,96.885,7.726,85.393,0,0,0,,production,OP
14-Mar-15,NO 15/9-F-1 C,0,280.231,100.847,181.448,,0,%,98.783,8.075,87.309,0,0,0,,production,OP
15-Mar-15,NO 15/9-F-1 C,0,282.771,100.79,182.077,,0,%,100.694,8.817,89.174,0,0,0,,production,OP
16-Mar-15,NO 15/9-F-1 C,0,284.848,100.734,182.593,,0,%,102.255,8.817,83.465,0,0,0,,production,OP
17-Mar-15,NO 15/9-F-1 C,0,286.797,100.683,183.057,,0,%,103.74,9.184,79.284,0,0,0,,production,OP
18-Mar-15,NO 15/9-F-1 C,8.21,269.115,106.697,231.804,,19.21894,%,37.312,47.54,18.623,92,"13,339",412,,production,OP
19-Mar-15,NO 15/9-F-1 C,24,260.264,107.953,222.062,,51.613,%,38.202,68.475,21.497,216,"31,636","1,040",,production,OP
20-Mar-15,NO 15/9-F-1 C,24,252.946,108.14,211.758,,51.83248,%,41.188,70.304,24.524,223,"32,484","1,131",,production,OP
