PRIORITY,NOTE NUMBER,NOTE DESCRIPTION,RELEASE DATE
3,3542698,[CVE-2025-0058] Information Disclosure vulnerability in SAP Business Workflow and SAP Flexible Workflow,14.01.2025
3,3502459,[CVE-2025-0056] Information Disclosure vulnerability in SAP GUI for Java,14.01.2025
3,3472837,[CVE-2025-0055] Information Disclosure vulnerability in SAP GUI for Windows,14.01.2025
3,3536461,[CVE-2025-0053] Information Disclosure Vulnerability in SAP NetWeaver Application Server for ABAP and ABAP Platform,14.01.2025
3,3540108,[CVE-2025-0067] Missing Authorization check in SAP NetWeaver Application Server Java,14.01.2025
1,3537476,[CVE-2025-0070] Improper Authentication in SAP NetWeaver ABAP Server and ABAP Platform,14.01.2025
3,3514421,[CVE-2025-0057] Cross-Site Scripting vulnerability in SAP NetWeaver AS JAVA (User Admin Application),14.01.2025
2,3550816,[CVE-2025-0063] SQL Injection vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform,14.01.2025
1,3550708,[CVE-2025-0066] Information Disclosure vulnerability in  SAP NetWeaver AS for ABAP and ABAP Platform(Internet Communication Framework),14.01.2025
3,3550674,[CVE-2025-0068] Missing Authorization check in Remote Function Call (RFC) in SAP NetWeaver Application Server ABAP,14.01.2025
2,3542533,[CVE-2025-0069] DLL Hijacking vulnerability in SAPSetup,14.01.2025
4,3492169,Multiple Buffer overflow vulnerabilities in SAP BusinessObjects Business Intelligence Platform (Crystal Reports for Enterprise),14.01.2025
3,3553753,[CVE-2025-24872] Missing Authorization check in SAP ABAP Platform (ABAP Build Framework),11.02.2025
3,3526203,[CVE-2025-0054] Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver Application Server Java,11.02.2025
3,3540273,[CVE-2024-45216] Multiple vulnerabilities in Apache Solr within SAP Commerce Cloud,11.02.2025
3,3532025,[CVE-2025-25241] Missing Authorization check in SAP Fiori Apps Reference Library (My Overtime Requests),11.02.2025
2,3417627,[CVE-2024-22126] Cross Site Scripting vulnerability in NetWeaver AS Java (User Admin Application),11.02.2025
3,3555364,[CVE-2025-24875] SameSite Defense in Depth not applied for some cookies in SAP Commerce,11.02.2025
3,3550027,[CVE-2025-24869] Information Disclosure vulnerability in SAP NetWeaver Application Server Java,11.02.2025
3,3547581,[CVE-2025-23190] Missing Authorization check in SAP NetWeaver and ABAP platform (ST-PI),11.02.2025
3,3546470,[CVE-2025-23187] Missing Authorization Check in SAP NetWeaver and ABAP Platform (SDCCN),11.02.2025
2,3567551,[CVE-2025-25243] Path traversal vulnerability in SAP Supplier Relationship Management (Master Data Management Catalog),11.02.2025
2,3567172,[CVE-2024-38819] Multiple vulnerabilities in SAP Enterprise Project Connection,11.02.2025
3,3445708,[CVE-2025-24867] Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence platform (BI Launchpad),11.02.2025
2,3563929,"[CVE-2025-24868] Open Redirect Vulnerability in SAP HANA extended application services, advanced model (User Account and Authentication Services)",11.02.2025
3,3562336,[CVE-2025-24870] Insecure Key & Secret Management vulnerability in SAP GUI for Windows,11.02.2025
3,3561264,[CVE-2025-23193] Information Disclosure vulnerability in SAP NetWeaver Application Server ABAP,11.02.2025
3,3559510,[CVE-2025-24874] Missing Defense in Depth Against Clickjacking in SAP Commerce (Backoffice),11.02.2025
3,3287784,[CVE-2023-24527] Improper Access Control in SAP NetWeaver AS Java for Deploy Service,11.02.2025
3,3557138,Update 1 to Security Note 3417627 - [CVE-2024-22126] Cross Site Scripting vulnerability in NetWeaver AS Java (User Admin Application),11.02.2025
3,3475427,[CVE-2024-41736] Information Disclosure vulnerability in SAP Permit to Work,26.02.2025
