CATEGORY,DESCRIPTION,NAME,PRIORITY,"TECHNICAL_NAME",seq
"ABAP Security Parameters","Profile parameter rec/client should be set to the value ALL","Activate/Deactivate table auditing",High,A0001,1
"ABAP Security Parameters","Additional authorization checks should be enabled for transactional (tRFC) and queued RFC (qRFC) calls to mitigate a privilege escalation vulnerability in AS ABAP during RFC playbacks. This can be enabled by setting the profile parameter rfc/authCheckInPlayback to 1 . Note that the vulnerability is only applicable to kernel versions 789, 793, 914 and 915. The Status of the finding can be set to Irrelevant if the kernel version is not relevant","Authorization checks for RFC playbacks",High,A0002,2
"ABAP Security Parameters","Profile parameter auth/rfc_authority_check should be set to the value 1 or 6","Authorization checks for RFMs",High,A0003,3
"ABAP Security Parameters","Profile parameter login/password_downwards_compatibility should be set to the value 0","Backward Compatibility of Passwords",High,A0004,4
"ABAP Security Parameters","Profile parameter login/no_automatic_user_sapstar should be set to the value 1","Control of the automatic login user SAP*	",High,A0005,5
"ABAP Security Parameters","Profile parameter ssl/client_ciphersuites should be set to the following value to activate TLS versions 1.2 and 1.3 only:

1584:PFS:HIGH::EC_X25519:EC_P256:EC_HIGH","Default configuration of available SSL/TLS cipher suites for the client side (outbound connections)",High,A0006,6
"ABAP Security Parameters","Profile parameter ssl/ciphersuites should be set to the following value to activate TLS versions 1.2 and 1.3 only:

1569:PFS:HIGH::EC_X25519:EC_P256:EC_HIGH","Default configuration of available SSL/TLS cipher suites for the server side (inbound connections)",High,A0007,7
"ABAP Security Parameters","Profile parameter snc/enable should be set to the value 1","Enable SNC Module (Secure Network Communications)",High,A0008,8
"ABAP Security Parameters","Profile parameter rsau/enable should be set to the value 1","Enable Security Audit",High,A0009,9
"ABAP Security Parameters","Profile parameter ms/acl_info should be set to the value 0","Enable/disable external monitor",High,A0010,10
"ABAP Security Parameters","Profile parameter login/ticket_only_by_https should be set to the value 1","Generate ticket that will only be sent via https",High,A0011,11
"ABAP Security Parameters","Profile  parameter login/password_hash_algorithm should be set to the following value:

encoding=RFC2307, algorithm=iSSHA-512, iterations=15000, saltsize=256","Hash procedure and the coding format for the calculation of new password hash values.",High,A0012,12
"ABAP Security Parameters","Profile parameter system/secure_communication should be set to the value ON","Saving internal communication with SSL",High,A0013,13
"ABAP Security Parameters","Profile parameter snc/gssapi_lib should be set to the following value:

$(DIR_LIBRARY)$(DIR_SEP)$(FT_DLL_PREFIX)sapcrypto$(FT_DLL)","File name for external GSS-API shared library",Low,A0014,14
"ABAP Security Parameters","Profile parameter gw/accept_remote_trace_level should be set to the value 0","Gateway trace levels",Low,A0015,15
"ABAP Security Parameters","Profile parameter login/password_change_waittime should be set to the value 1 or higher","Wait time between two password changes",Low,A0016,16
"ABAP Security Parameters","Profile parameter icm/accept_remote_trace_level should be set to the value 0","Accept external switch of trace level",Medium,A0017,17
"ABAP Security Parameters","Profile parameter snc/accept_insecure_cpic should be set to the value 0","Accept insecure incoming CPIC connections on an SNC-enabled application server",Medium,A0018,18
"ABAP Security Parameters","Profile parameter snc/accept_insecure_gui should be set to the value 1 or U","Accept logins from unprotected (non-SNC-secured) SAP GUIs into an SNC-enabled application server",Medium,A0019,19
"ABAP Security Parameters","Profile parameter snc/accept_insecure_rfc should be set to the value 1 or U","Accept non-secure incoming RFC connections on an SNC-enabled application server",Medium,A0020,20
"ABAP Security Parameters","Access control list rules should be enforced for proxy connections based on the settings in secinfo and reginfo files. This is the recommended setting for enhanced security available as of Kernel 7.89. ACL checks should be enforced by setting the profile parameter gw/acl_mode_proxy to the value 1","Access control checks for proxy connections",Medium,A0021,21
"ABAP Security Parameters","Profile parameter service/admin_users should be set to the following value:

daaadm sapadm dacadm","Additional OS users authorized for system administration",Medium,A0022,22
"ABAP Security Parameters","Maintenance of default authorization values and profiles should not be deactivated, This can be performed using the value setting Y for the profile parameter auth/no_check_in_some_cases","Authorization and role maintenance",Medium,A0023,23
"ABAP Security Parameters","Authorization checks should be enforced for the object S_TCODE when transactions are called from other transactions using the CALL TRANSACTION command. This can be enforced using the value setting 2 or 3 for the profile parameter auth/check_calltransaction.","Authorization checks for S_TCODE",Medium,A0024,24
"ABAP Security Parameters","Authorization checks should be enforced for database maintenance actions. This can be enforced using the value setting 1 for the profile parameter dbs/dba/ccms_maintenance.","Authorization checks for database maintenance actions",Medium,A0025,25
"ABAP Security Parameters","The parameter login/disable_cpic should be set to 1 to disable incoming CPIC connections.  CPIC was used  to connect SAP R_3 systems with SAP R_2 systems. This functionality is no longer required in most SAP systems","CPIC Connections",Medium,A0026,26
"ABAP Security Parameters","Profile parameter icm/security_log should be set to the following value:

LOGFILE=dev_icm_sec-%y%m,LEVEL=3,MAXSIZEKB=10000,SWITCHTF=month","Configuration of ICM security log",Medium,A0027,27
"ABAP Security Parameters","Profile parameter snc/data_protection/use should be set to the value 3","Default level of data protection for R/3-initiated connections.",Medium,A0028,28
"ABAP Security Parameters","Profile parameter ixml/dtd_restriction should be set to the value prohibited","Default processing restriction of iXML for DTDs",Medium,A0029,29
"ABAP Security Parameters","Profile parameter login/failed_user_auto_unlock should be set to the value 0","Disable automatic unlocking of locked user at midnight",Medium,A0030,30
"ABAP Security Parameters","Password validity checks during single sign-on logons should be enforced using the value setting 1 for profile parameter login/password_change_for_SSO","Expired password checks with SSO",Medium,A0031,31
"ABAP Security Parameters","Expired passwords for ICF users should be rejected using the value setting 1 for the profile parameter icf/reject_expired_passwd","Expired passwords for ICF users",Medium,A0032,32
"ABAP Security Parameters","Expired passwords for RFC users should be rejected using the value setting 1 for the profile parameter rfc/reject_expired_passwd. This will enforce the use of system user types for RFC users since passwords do not expire for system users.","Expired passwords for RFC users",Medium,A0033,33
"ABAP Security Parameters","HTTP debugging is permitted for external users. This should be blocked using setting 2 for profile parameter abap/ext_debugging_possible. Setting 0 is permitted for development and test environments","External HTTP debugging",Medium,A0034,34
"ABAP Security Parameters","Profile parameter gw/reg_info should be set to the following value:

$(DIR_GLOBAL)$(DIR_SEP)reginfo$(FT_DAT)","External security filename for gateway",Medium,A0035,35
"ABAP Security Parameters","Profile parameter rdisp/accept_remote_trace_level should be set to the value 0","External switch of trace level",Medium,A0036,36
"ABAP Security Parameters","Profile parameter ms/acl_info should be set to the following value:

$(DIR_GLOBAL)$(DIR_SEP)$(FN_MS_ACL_INFO)","File with access control list for message server",Medium,A0037,37
"ABAP Security Parameters","Profile parameter is/HTTP/show_detailed_errors should be set to the value FALSE","Form of HTTP error pages",Medium,A0038,38
"ABAP Security Parameters","Profile parameter gw/acl_mode should include the option and value ACTION=SsPXM if you are not using the Cybersecurity Extension for SAP.

If you are using the Cybersecurity Extension for SAP, the option and value should be ACTION=SsPXMZEXR.","Gateway Logging",Medium,A0039,39
"ABAP Security Parameters","Profile parameter gw/prxy_info should be set to the following value:

$(DIR_GLOBAL)$(DIR_SEP)prxyinfo$(FT_DAT)","Gateway proxy settings",Medium,A0040,40
"ABAP Security Parameters","Profile parameter auth/object_disabling_active should be set to the value N","Global authorization checks",Medium,A0041,41
"ABAP Security Parameters","Profile parameter is/HTTP/show_server_header should be set to the value FALSE","HTTP headers with the server entries",Medium,A0042,42
"ABAP Security Parameters","Profile parameter icm/HTTP/redirect_0 should be set to the following value:

PREFIX=/, FROM=*, FROMPROT=http, PROT=https, HOST=$(SAPLOCALHOSTFULL), PORT=443$$","HTTP redirect specification",Medium,A0043,43
"ABAP Security Parameters","Sensitive information should not be disclosed in HTTP traces. This can be enforced using the value setting 1 or ON for profile parameter rdisp/TRACE_HIDE_SEC_DATA","HTTP trace information",Medium,A0044,44
"ABAP Security Parameters","Parameter rdisp/gui_auto_logout should be set to a value between 1 and 7200","Inactive users are logged off after the specified period expires",Medium,A0045,45
"ABAP Security Parameters","Profile parameter snc/data_protection/max should be set to the value 3","Limit on the data protection of Secure Network Communications",Medium,A0046,46
"ABAP Security Parameters","Profile parameter icf/user_recheck should be set to the value 1","Logon data check for HTTP queries for an existing HTTP session",Medium,A0047,47
"ABAP Security Parameters","Logon error settings should be securely maintained to prevent the disclosure of sensitive information. This can be enforced using the value setting 0 for login/show_detailed_errors","Logon error messages",Medium,A0048,48
