attack_type,attack_category,attack_description
unknown,Benign,No attack signature triggered
sqli,Injection,SQL Injection
xss,Injection,Cross-Site Scripting
rce,Injection,Remote Code Execution
cmd_inject,Injection,OS Command Injection
lfi,Path Traversal,Local File Inclusion
rfi,Path Traversal,Remote File Inclusion
path_traversal,Path Traversal,Path / Directory Traversal
xxe,Injection,XML External Entity
ssrf,Server-Side,Server-Side Request Forgery
ssti,Injection,Server-Side Template Injection
deserialization,Injection,Insecure Deserialization
file_upload,File,Malicious File Upload
webshell,File,Webshell Upload / Access
scanner,Recon,Vulnerability Scanner
crawler,Recon,Automated Crawler / Bot
brute_force,Auth,Credential Brute Force
csrf,Web,Cross-Site Request Forgery
open_redirect,Web,Open Redirect
http_smuggling,Protocol,HTTP Request Smuggling
protocol,Protocol,Protocol Anomaly
dos,Availability,Denial of Service
rate_limit,Availability,Rate Limit Exceeded
acl,Policy,Access Control / Policy Block
geo,Policy,Geographic Restriction
ip_reputation,Policy,IP Reputation Block
custom,Policy,Custom Rule
