dest_int,src_zone
igb0,Building 1
igb0.121,Fanni
igb0.122,Telemetry
igb1,Building 2
igb1.211,Ravabet
igb1.221,Moshtarakin
igb1.222,Gharardad
igb1.231,Bahrebardari
igb2,Router_122
igb3,to_WAF
igb5,FiberOmur5
igb6,Dolat
igb8,Tehran_Sherkat_Mohandesi
igb8.200,Tehran_Sherkat_Mohandesi200
igb8.201,Tehran_Sherkat_Mohandesi201
igb9,intmokhaberat9
igb10,Building3
igb10.40,APKSWAP
igb10.44,Farzan
igb10.80,Switch80
igb10.95,vlandolat
igb10.131,Mail
igb10.321,IT
igb10.600,Monitoring
igb10.601,PatchManager
igb10.602,DnsServer
igb10.603,NetFlow
igb10.604,ADManager
igb10.605,Splunk
igb10.606,SplunkLIC
igb13,MGMT_Vlan
igb14,internet_mita
igb15,hiwebnet15
bge0,WAF_WAN
bge1.20,WAF_servers
bge1.501,MoshtarakinAPP
bge1.502,MoshtarakinDB
bge1.503,MoshtarakinDBREP
bge1.504,Moshtarakin_Tax
bge1.505,WebPersoneli
bge1.506,WebPersoneli
bge1.507,ArchiveAPP
bge1.508,ArchiveDB
bge1.509,Dashboard
bge1.510,MailServer
bge1.511,MailGateway
bge1.100,WAF_MGMT
bge1.533,Mail_Temp
